date,country_or_territory_name,confirmed_cases,probable_cases,confirmed_deaths,probable_deaths,recovered,percentage_increase_confirmed,transmission_type
2020-04-18,Mexico,6875,,546.0,,699.0,9.0,Community transmission
2020-04-18,United States of America (the)†‡,695353,,32427.0,"4,309",44230.0,5.0,Community transmission
2020-04-18,Belize,18,,2.0,,,0.0,Sporadic cases
2020-04-18,Costa Rica,649,,4.0,,88.0,1.0,Clusters of cases
2020-04-18,El Salvador,190,,7.0,,43.0,7.0,Clusters of cases
2020-04-18,Guatemala,235,,7.0,,21.0,10.0,Clusters of cases
2020-04-18,Honduras,457,,46.0,,7.0,3.0,Clusters of cases
2020-04-18,Nicaragua,9,,1.0,,6.0,0.0,Undetermined
2020-04-18,Panama,4210,,115.0,,122.0,5.0,Community transmission
2020-04-18,Central America,5768,0.0,182.0,0,287.0,5.0,
2020-04-18,Argentina,2784,,129.0,,685.0,3.0,Community transmission
2020-04-18,Bolivia,493,,31.0,,31.0,6.0,Clusters of cases
2020-04-18,Brazil,33682,,2141.0,,14026.0,11.0,Community transmission
2020-04-18,Chile,9730,,126.0,,4035.0,5.0,Community transmission
2020-04-18,Colombia,3439,,153.0,,634.0,6.0,Community transmission
2020-04-18,Ecuador§,9022,,456.0,731,922.0,7.0,Community transmission
2020-04-18,Paraguay,202,,8.0,35,30.0,2.0,Community transmission
2020-04-18,Peru¶,13489,,300.0,,,0.0,Community transmission
2020-04-18,Uruguay,508,,9.0,,294.0,1.0,Clusters of cases
2020-04-18,Venezuela (Bolivarian Republic of),204,,9.0,,111.0,0.0,Clusters of cases
2020-04-18,South America,73553,0.0,3362.0,766,20768.0,7.0,
2020-04-18,Anguilla,3,,,,1.0,0.0,Sporadic cases
2020-04-18,Antigua and Barbuda,23,,2.0,,3.0,0.0,Clusters of cases
2020-04-18,Aruba,96,,2.0,,43.0,0.0,Clusters of cases
2020-04-18,Bahamas (the),54,,9.0,,9.0,0.0,Clusters of cases
2020-04-18,Barbados,75,,5.0,,15.0,0.0,Clusters of cases
2020-04-18,Bermuda,83,,5.0,,35.0,0.0,Clusters of cases
2020-04-18,"Bonaire, Sint Eustatius, and Saba",5,,,,,0.0,Sporadic cases
2020-04-18,Cayman Islands,61,,1.0,,7.0,0.0,Clusters of cases
2020-04-18,Cuba,986,,32.0,,227.0,7.0,Clusters of cases
2020-04-18,Curacao,14,1.0,1.0,,10.0,0.0,Sporadic cases
2020-04-18,Dominica,16,,,,8.0,0.0,Clusters of cases
2020-04-18,Dominican Republic (the),4335,,217.0,,312.0,5.0,Community transmission
2020-04-18,Falkland Islands (the) [Malvinas],11,,,,1.0,0.0,Clusters of cases
2020-04-18,French Guiana,96,,0.0,,61.0,0.0,Clusters of cases
2020-04-18,Grenada**,13,,,,7.0,-7.0,Clusters of cases
2020-04-18,Guadeloupe,145,,11.0,,70.0,0.0,Clusters of cases
2020-04-18,Guyana,63,,6.0,,9.0,11.0,Clusters of cases
2020-04-18,Haiti,44,,3.0,,,2.0,Clusters of cases
2020-04-18,Jamaica,163,,5.0,,25.0,14.0,Clusters of cases
2020-04-18,Martinique,163,,12.0,,73.0,3.0,Clusters of cases
2020-04-18,Montserrat,11,,,,1.0,0.0,Sporadic cases
2020-04-18,Puerto Rico,1118,,60.0,,,5.0,Clusters of cases
2020-04-18,Saint Barthelemy,6,,,,5.0,0.0,Sporadic cases
2020-04-18,Saint Kitts and Nevis,14,,,,,0.0,Sporadic cases
2020-04-18,Saint Lucia,15,,,,11.0,0.0,Sporadic cases
2020-04-18,Saint Martin,37,,2.0,,19.0,6.0,Sporadic cases
2020-04-18,Saint Pierre and Miquelon,1,,,,,0.0,Sporadic cases
2020-04-18,Saint Vincent and the Grenadines,12,,,,1.0,0.0,Sporadic cases
2020-04-18,Sint Maarten,57,1.0,9.0,,12.0,0.0,Clusters of cases
2020-04-18,Suriname,10,,1.0,,4.0,0.0,Sporadic cases
2020-04-18,Trinidad and Tobago,114,,8.0,,21.0,0.0,Sporadic cases
2020-04-18,Turks and Caicos,11,,1.0,,0.0,0.0,Sporadic cases
2020-04-18,Virgin Islands (UK),3,,,,2.0,0.0,Sporadic cases
2020-04-18,Virgin Islands (US),53,,3.0,,46.0,4.0,Clusters of cases
2020-04-18,"Caribbean and Atlantic 
Ocean Islands",7911,2.0,395.0,0,1038.0,5.0,
2020-04-18,All Americas,821860,14.0,38258.0,"5,075",76293.0,5.0,
