index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80849,5,3199,0,66934,10716,3226,562,2020-03-15,,,
1,Italy,24747,3590,1809,368,2335,20603,1672,4093,2020-03-15,,,
2,Iran,13938,1209,724,113,4590,8624,0,1659,2020-03-15,,,
3,S. Korea,8162,76,75,3,834,7253,59,1592,2020-03-15,,,
4,Spain,7843,1452,292,96,517,7034,272,1677,2020-03-15,,,
5,Germany,5813,1214,11,2,46,5756,2,694,2020-03-15,,,
6,France,5423,924,127,36,12,5284,400,831,2020-03-15,,,
7,USA,3666,723,68,11,59,3539,10,111,2020-03-15,,,
8,Switzerland,2217,842,14,1,4,2199,0,2562,2020-03-15,,,
9,UK,1391,251,35,14,20,1336,20,205,2020-03-15,,,
10,Norway,1254,145,3,0,1,1250,27,2313,2020-03-15,,,
11,Netherlands,1135,176,20,8,2,1113,45,662,2020-03-15,,,
12,Sweden,1040,79,3,1,1,1036,2,1030,2020-03-15,,,
13,Belgium,886,197,4,0,1,881,33,764,2020-03-15,,,
14,Denmark,864,28,2,1,1,861,2,1492,2020-03-15,,,
15,Austria,860,205,1,0,6,853,1,955,2020-03-15,,,
16,Japan,839,35,24,2,144,671,36,66,2020-03-15,,,
17,Diamond Princess,696,0,7,0,456,233,15,0,2020-03-15,,,
18,Malaysia,428,190,0,0,42,386,9,132,2020-03-15,,,
19,Qatar,401,64,0,0,4,397,0,1392,2020-03-15,,,
20,Greece,331,103,4,1,8,319,5,318,2020-03-15,,,
21,Canada,321,69,1,0,11,309,1,85,2020-03-15,,,
22,Australia,300,52,5,2,27,268,1,118,2020-03-15,,,
23,Czechia,293,104,0,0,0,293,2,274,2020-03-15,,,
24,Portugal,245,76,0,0,2,243,9,240,2020-03-15,,,
25,Finland,244,19,0,0,10,234,0,440,2020-03-15,,,
26,Singapore,226,14,0,0,105,121,11,386,2020-03-15,,,
27,Slovenia,219,38,1,0,0,218,3,1053,2020-03-15,,,
28,Bahrain,214,2,0,0,77,137,2,1258,2020-03-15,,,
29,Israel,213,20,0,0,4,209,2,246,2020-03-15,,,
30,Brazil,200,49,0,0,1,199,2,9,2020-03-15,,,
31,Iceland,180,19,0,0,0,180,1,0,2020-03-15,,,
32,Estonia,171,56,0,0,1,170,0,1289,2020-03-15,,,
33,Ireland,170,41,2,0,1,167,6,344,2020-03-15,,,
34,Hong Kong,149,7,4,0,81,64,4,199,2020-03-15,,,
35,Philippines,140,29,11,3,2,127,1,13,2020-03-15,,,
36,Romania,139,16,0,0,9,130,1,72,2020-03-15,,,
37,Egypt,126,16,2,0,27,97,0,12,2020-03-15,,,
38,Poland,125,21,3,0,13,109,3,33,2020-03-15,,,
39,Iraq,124,14,10,0,26,88,0,31,2020-03-15,,,
40,Saudi Arabia,118,15,0,0,2,116,0,34,2020-03-15,,,
41,Indonesia,117,21,5,0,8,104,0,4,2020-03-15,,,
42,Thailand,114,32,1,0,35,78,1,16,2020-03-15,,,
43,India,112,12,2,0,13,97,0,1,2020-03-15,,,
44,Kuwait,112,8,0,0,9,103,4,262,2020-03-15,,,
45,San Marino,109,8,7,2,4,98,11,0,2020-03-15,,,
46,Lebanon,99,6,3,0,1,95,3,145,2020-03-15,,,
47,UAE,98,13,0,0,20,78,2,99,2020-03-15,,,
48,Luxembourg,77,26,1,0,0,76,0,0,2020-03-15,,,
49,Chile,75,14,0,0,0,75,0,39,2020-03-15,,,
50,Peru,71,28,0,0,0,71,0,22,2020-03-15,,,
51,Russia,63,4,0,0,8,55,0,4,2020-03-15,,,
52,Slovakia,61,17,0,0,0,61,0,112,2020-03-15,,,
53,South Africa,61,23,0,0,0,61,0,10,2020-03-15,,,
54,Taiwan,59,6,1,0,20,38,0,25,2020-03-15,,,
55,Vietnam,56,3,0,0,16,40,0,6,2020-03-15,,,
56,Pakistan,53,20,0,0,2,51,0,2,2020-03-15,,,
57,Bulgaria,51,10,2,0,0,49,0,73,2020-03-15,,,
58,Brunei,50,10,0,0,0,50,0,0,2020-03-15,,,
59,Croatia,49,10,0,0,2,47,0,119,2020-03-15,,,
60,Algeria,48,9,4,1,10,34,0,11,2020-03-15,,,
61,Serbia,48,2,0,0,1,47,1,55,2020-03-15,,,
62,Argentina,46,1,2,0,0,44,1,10,2020-03-15,,,
63,Panama,43,0,1,0,0,42,0,100,2020-03-15,,,
64,Mexico,43,17,0,0,4,39,1,3,2020-03-15,,,
65,Albania,42,4,1,0,0,41,2,146,2020-03-15,,,
66,Palestine,38,0,0,0,0,38,0,74,2020-03-15,,,
67,Ecuador,37,9,2,0,0,35,1,21,2020-03-15,,,
68,Costa Rica,35,8,0,0,0,35,3,69,2020-03-15,,,
69,Colombia,34,10,0,0,0,34,0,7,2020-03-15,,,
70,Georgia,33,3,0,0,1,32,1,83,2020-03-15,,,
71,Cyprus,33,7,0,0,0,33,1,273,2020-03-15,,,
72,Hungary,32,2,1,1,1,30,0,33,2020-03-15,,,
73,Latvia,30,4,0,0,1,29,0,159,2020-03-15,,,
74,Morocco,28,10,1,0,1,26,1,8,2020-03-15,,,
75,Belarus,27,0,0,0,3,24,0,29,2020-03-15,,,
76,Armenia,26,6,0,0,0,26,0,88,2020-03-15,,,
77,Senegal,24,0,0,0,2,22,0,14,2020-03-15,,,
78,Bosnia and Herzegovina,24,3,0,0,0,24,0,73,2020-03-15,,,
79,Azerbaijan,23,4,1,0,6,16,0,23,2020-03-15,,,
80,Moldova,23,11,0,0,0,23,0,57,2020-03-15,,,
81,Oman,22,2,0,0,9,13,0,43,2020-03-15,,,
82,Malta,21,3,0,0,2,19,0,0,2020-03-15,,,
83,Tunisia,20,2,0,0,0,20,2,17,2020-03-15,,,
84,North Macedonia,19,0,0,0,1,18,0,91,2020-03-15,,,
85,Sri Lanka,18,8,0,0,1,17,0,8,2020-03-15,,,
86,Turkey,18,12,0,0,0,18,0,2,2020-03-15,,,
87,Venezuela,17,15,0,0,0,17,0,6,2020-03-15,,,
88,Afghanistan,16,5,0,0,1,15,0,4,2020-03-15,,,
89,Maldives,13,3,0,0,0,13,0,0,2020-03-15,,,
90,Cambodia,12,5,0,0,1,11,0,7,2020-03-15,,,
91,Lithuania,12,3,0,0,1,11,0,44,2020-03-15,,,
92,Macao,11,1,0,0,10,1,0,0,2020-03-15,,,
93,Dominican Republic,11,0,0,0,0,11,0,10,2020-03-15,,,
94,Faeroe Islands,11,1,0,0,0,11,0,0,2020-03-15,,,
95,Jordan,10,9,0,0,1,9,0,10,2020-03-15,,,
96,Bolivia,10,0,0,0,0,10,0,9,2020-03-15,,,
97,Jamaica,10,2,0,0,2,8,0,34,2020-03-15,,,
98,Martinique,10,0,0,0,0,10,0,0,2020-03-15,,,
99,Kazakhstan,9,3,0,0,0,9,0,5,2020-03-15,,,
100,New Zealand,8,0,0,0,0,8,0,17,2020-03-15,,,
101,French Guiana,7,0,0,0,0,7,0,0,2020-03-15,,,
102,Liechtenstein,7,3,0,0,0,7,0,0,2020-03-15,,,
103,Paraguay,7,0,0,0,0,7,1,10,2020-03-15,,,
104,Réunion,7,1,0,0,0,7,0,0,2020-03-15,,,
105,Ghana,6,4,0,0,0,6,0,2,2020-03-15,,,
106,Uruguay,6,0,0,0,0,6,0,17,2020-03-15,,,
107,Andorra,5,4,0,0,0,5,0,0,2020-03-15,,,
108,Bangladesh,5,0,0,0,2,3,0,0,2020-03-15,,,
109,Rwanda,5,4,0,0,0,5,0,4,2020-03-15,,,
110,Guyana,4,3,1,0,0,3,0,0,2020-03-15,,,
111,Cameroon,4,1,0,0,0,4,0,2,2020-03-15,,,
112,Ivory Coast,4,2,0,0,0,4,0,2,2020-03-15,,,
113,Cuba,4,0,0,0,0,4,0,4,2020-03-15,,,
114,Ethiopia,4,3,0,0,0,4,0,0,2020-03-15,,,
115,Puerto Rico,4,0,0,0,0,4,0,14,2020-03-15,,,
116,Uzbekistan,4,4,0,0,0,4,0,1,2020-03-15,,,
117,Ukraine,3,0,1,0,0,2,0,1,2020-03-15,,,
118,Burkina Faso,3,1,0,0,0,3,0,1,2020-03-15,,,
119,Channel Islands,3,0,0,0,0,3,0,0,2020-03-15,,,
120,French Polynesia,3,0,0,0,0,3,0,0,2020-03-15,,,
121,Guadeloupe,3,0,0,0,0,3,0,0,2020-03-15,,,
122,Guam,3,3,0,0,0,3,0,0,2020-03-15,,,
123,Honduras,3,0,0,0,0,3,0,3,2020-03-15,,,
124,Kenya,3,2,0,0,0,3,0,1,2020-03-15,,,
125,Seychelles,3,1,0,0,0,3,0,0,2020-03-15,,,
126,Monaco,2,0,0,0,0,2,0,0,2020-03-15,,,
127,Nigeria,2,0,0,0,1,1,0,0,2020-03-15,,,
128,Aruba,2,0,0,0,0,2,0,0,2020-03-15,,,
129,Curaçao,2,0,0,0,0,2,0,0,2020-03-15,,,
130,DRC,2,0,0,0,0,2,0,0,2020-03-15,,,
131,Namibia,2,0,0,0,0,2,0,8,2020-03-15,,,
132,Saint Lucia,2,1,0,0,0,2,0,0,2020-03-15,,,
133,Saint Martin,2,0,0,0,0,2,0,0,2020-03-15,,,
134,Trinidad and Tobago,2,0,0,0,0,2,0,14,2020-03-15,,,
135,Guatemala,1,0,1,1,0,0,0,1,2020-03-15,,,
136,Sudan,1,0,1,0,0,0,0,0,2020-03-15,,,
137,Nepal,1,0,0,0,1,0,0,0,2020-03-15,,,
138,Antigua and Barbuda,1,0,0,0,0,1,0,0,2020-03-15,,,
139,Bahamas,1,1,0,0,0,1,0,0,2020-03-15,,,
140,Bhutan,1,0,0,0,0,1,0,0,2020-03-15,,,
141,Cayman Islands,1,0,0,0,0,1,0,0,2020-03-15,,,
142,CAR,1,1,0,0,0,1,0,2,2020-03-15,,,
143,Congo,1,1,0,0,0,1,0,2,2020-03-15,,,
144,Equatorial Guinea,1,0,0,0,0,1,0,7,2020-03-15,,,
145,Gabon,1,0,0,0,0,1,0,4,2020-03-15,,,
146,Gibraltar,1,0,0,0,1,0,0,0,2020-03-15,,,
147,Guinea,1,0,0,0,0,1,0,1,2020-03-15,,,
148,Vatican City,1,0,0,0,0,1,0,0,2020-03-15,,,
149,Mauritania,1,0,0,0,0,1,0,2,2020-03-15,,,
150,Mayotte,1,0,0,0,0,1,0,0,2020-03-15,,,
151,Mongolia,1,0,0,0,0,1,0,3,2020-03-15,,,
152,St. Barth,1,0,0,0,0,1,0,0,2020-03-15,,,
153,St. Vincent Grenadines,1,0,0,0,0,1,0,0,2020-03-15,,,
154,Suriname,1,0,0,0,0,1,0,0,2020-03-15,,,
155,Eswatini,1,0,0,0,0,1,0,9,2020-03-15,,,
156,Togo,1,0,0,0,0,1,0,1,2020-03-15,,,
157,U.S. Virgin Islands,1,0,0,0,0,1,0,0,2020-03-15,,,
