index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,1150083,30969,66909,2645,182400,900774,19937,0,0,0,0,2020-04-29
1,Europe,1347038,24332,132881,2805,483885,730272,24182,0,0,0,0,2020-04-29
2,Asia,507169,12395,18258,348,255468,233443,5777,0,0,0,0,2020-04-29
3,South America,165812,10609,8144,576,57261,100407,9749,0,0,0,0,2020-04-29
4,Oceania,8322,10,108,1,6974,1240,41,0,0,0,0,2020-04-29
5,Africa,37663,1985,1591,64,12598,23474,122,0,0,0,0,2020-04-29
6,,721,0,15,0,645,61,4,0,0,0,0,2020-04-29
7,World,3216808,80300,227906,6439,999231,1989671,59812,413,292,0,0,2020-04-29
8,USA,1063351,27586,61618,2352,147114,854619,18671,3213,186,6128012,18513,2020-04-29
9,Spain,236899,4771,24275,453,132929,79695,7764,5067,519,1414477,30253,2020-04-29
10,Italy,203591,2086,27682,323,71252,104657,1795,3367,458,1910761,31603,2020-04-29
11,France,166420,509,24087,427,48228,94105,4207,2550,369,463662,7103,2020-04-29
12,UK,165221,4076,26097,765,0,138780,1559,2434,384,818539,12058,2020-04-29
13,Germany,161197,1285,6405,91,120400,34392,2415,1924,76,2547052,30400,2020-04-29
14,Turkey,117589,2936,3081,89,44040,70468,1574,1394,37,991613,11757,2020-04-29
15,Russia,99399,5841,972,105,10286,88141,2300,681,7,3303717,22638,2020-04-29
16,Iran,93657,1073,5957,80,73791,13909,2965,1115,71,453386,5398,2020-04-29
17,Brazil,79361,6462,5511,448,34132,39718,8318,373,26,339552,1597,2020-04-29
18,Canada,51597,1571,2996,137,20327,28274,557,1367,79,754800,19999,2020-04-29
19,Belgium,47859,525,7501,170,11283,29075,797,4129,647,226724,19563,2020-04-29
20,Netherlands,38802,386,4711,145,0,33841,804,2265,275,213372,12453,2020-04-29
21,Peru,33931,2741,943,89,10037,22951,623,1029,29,296262,8985,2020-04-29
22,India,33062,1738,1079,71,8437,23546,0,24,8,770764,559,2020-04-29
23,Switzerland,29407,143,1716,17,22600,5091,185,3398,198,260500,30100,2020-04-29
24,Ecuador,24675,417,883,12,1557,22235,146,1399,50,61529,3487,2020-04-29
25,Portugal,24505,183,973,25,1470,22062,169,2403,95,379551,37223,2020-04-29
26,Saudi Arabia,21402,1325,157,5,2953,18292,125,615,5,200000,5745,2020-04-29
27,Sweden,20302,681,2462,107,1005,16835,479,2010,244,119500,11833,2020-04-29
28,Ireland,20253,376,1190,31,13386,5677,129,4102,241,153954,31179,2020-04-29
29,Mexico,16752,1223,1569,135,11423,3760,378,130,12,77005,597,2020-04-29
30,Israel,15834,106,215,5,8233,7386,115,1829,25,364467,42108,2020-04-29
31,Singapore,15641,690,14,0,1188,14439,22,2674,2,143919,24600,2020-04-29
32,Pakistan,15525,913,343,31,3425,11757,111,70,2,165911,751,2020-04-29
33,Austria,15402,45,580,11,12779,2043,131,1710,64,247754,27509,2020-04-29
34,Chile,14885,520,216,9,8057,6612,377,779,11,172619,9030,2020-04-29
35,Japan,13736,0,394,0,1899,11443,300,109,3,160546,1269,2020-04-29
36,Belarus,13181,973,84,5,2072,11025,92,1395,9,168986,17883,2020-04-29
37,Poland,12640,422,624,28,3025,8991,160,334,16,324527,8575,2020-04-29
38,Qatar,12564,643,10,0,1243,11311,72,4361,3,91415,31730,2020-04-29
39,Romania,11978,362,693,30,3569,7716,247,623,36,166993,8681,2020-04-29
40,UAE,11929,549,98,9,2329,9502,1,1206,10,1122000,113443,2020-04-29
41,S. Korea,10761,9,246,2,8922,1593,55,210,5,614197,11980,2020-04-29
42,Ukraine,9866,456,250,11,1103,8513,129,226,6,104544,2390,2020-04-29
43,Indonesia,9771,260,784,11,1391,7596,0,36,3,86985,318,2020-04-29
44,Denmark,9008,157,443,9,6366,2199,66,1555,76,180062,31087,2020-04-29
45,Serbia,8724,227,173,5,1292,7259,78,998,20,78942,9035,2020-04-29
46,Philippines,8212,254,558,28,1023,6631,31,75,5,98941,903,2020-04-29
