index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,141781,18203,2471,251,4435,134875,2970,428,7,2020-03-29,,
1,Italy,97689,5217,10779,756,13030,73880,3906,1616,178,2020-03-29,,
2,Spain,80110,6875,6803,821,14709,58598,4165,1713,146,2020-03-29,,
3,Germany,62095,4400,533,100,9211,52351,1979,741,6,2020-03-29,,
4,France,40174,2599,2606,292,7202,30366,4632,615,40,2020-03-29,,
5,Iran,38309,2901,2640,123,12391,23278,3206,456,31,2020-03-29,,
6,UK,19522,2433,1228,209,135,18159,163,288,18,2020-03-29,,
7,Switzerland,14829,753,300,36,1595,12934,301,1713,35,2020-03-29,,
8,Netherlands,10866,1104,771,132,250,9845,972,634,45,2020-03-29,,
9,Belgium,10836,1702,431,78,1359,9046,867,935,37,2020-03-29,,
10,S. Korea,9583,105,152,8,5033,4398,59,187,3,2020-03-29,,
11,Turkey,9217,1815,131,23,105,8981,568,109,2,2020-03-29,,
12,Austria,8788,517,86,18,479,8223,187,976,10,2020-03-29,,
13,Canada,6280,625,65,5,573,5642,120,166,2,2020-03-29,,
14,Portugal,5962,792,119,19,43,5800,89,585,12,2020-03-29,,
15,Norway,4284,269,25,2,7,4252,91,790,5,2020-03-29,,
16,Brazil,4256,352,136,22,6,4114,296,20,6,2020-03-29,,
17,Israel,4247,628,15,3,132,4100,74,491,2,2020-03-29,,
18,Australia,4163,528,17,3,226,3920,28,163,7,2020-03-29,,
19,Sweden,3700,253,110,5,16,3574,255,366,11,2020-03-29,,
20,Czechia,2817,186,16,5,11,2790,45,263,1,2020-03-29,,
21,Ireland,2615,200,46,10,5,2564,59,530,9,2020-03-29,,
22,Malaysia,2470,150,35,8,388,2047,73,76,1,2020-03-29,,
23,Denmark,2395,194,72,7,1,2322,113,413,12,2020-03-29,,
24,Chile,2139,230,7,1,75,2057,7,112,4,2020-03-29,,
25,Luxembourg,1950,119,21,3,40,1889,25,3115,34,2020-03-29,,
26,Ecuador,1924,101,58,10,3,1863,58,109,3,2020-03-29,,
27,Japan,1866,173,54,2,424,1388,56,15,4,2020-03-29,,
28,Poland,1862,224,22,4,7,1833,3,49,6,2020-03-29,,
29,Romania,1815,363,43,6,206,1566,31,94,2,2020-03-29,,
30,Pakistan,1597,102,14,2,29,1554,11,7,6,2020-03-29,,
31,Russia,1534,270,8,4,64,1462,8,11,5,2020-03-29,,
32,Philippines,1418,343,71,3,42,1305,1,13,6,2020-03-29,,
33,Thailand,1388,143,7,1,97,1284,11,20,1,2020-03-29,,
34,Saudi Arabia,1299,96,8,4,66,1225,12,37,2,2020-03-29,,
35,Indonesia,1285,130,114,12,64,1107,0,5,4,2020-03-29,,
36,South Africa,1280,93,2,1,31,1247,7,22,3,2020-03-29,,
37,Finland,1240,73,11,2,10,1219,32,224,2,2020-03-29,,
38,Greece,1156,95,39,7,52,1065,66,111,4,2020-03-29,,
39,India,1024,37,27,3,95,902,0,7,2,2020-03-29,,
40,Iceland,1020,57,2,0,135,883,25,2989,6,2020-03-29,,
41,Panama,989,88,24,7,4,961,36,229,6,2020-03-29,,
42,Dominican Republic,859,140,39,11,3,817,0,79,4,2020-03-29,,
43,Peru,852,181,18,2,16,818,40,26,5,2020-03-29,,
44,Mexico,848,131,16,4,4,828,1,7,1,2020-03-29,,
45,Singapore,844,42,3,1,212,629,19,144,5,2020-03-29,,
