index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,8837124,50295,309285,1181,5672596,2855243,17363,0,0,0,0,2020-09-29
1,Asia,10507113,112522,192860,1908,8811080,1503173,20724,0,0,0,0,2020-09-29
2,South America,8014267,54853,251369,1570,6872269,890629,17349,0,0,0,0,2020-09-29
3,Europe,4955645,56024,221674,833,2518497,2215474,8509,0,0,0,0,2020-09-29
4,Africa,1480934,7509,35729,217,1225806,219399,1621,0,0,0,0,2020-09-29
5,Oceania,31209,162,923,8,28432,1854,21,0,0,0,0,2020-09-29
6,,721,0,15,0,651,55,4,0,0,0,0,2020-09-29
7,World,33827013,281365,1011855,5717,25129331,7685827,65591,4340,1298,0,0,2020-09-29
8,USA,7403588,41669,210731,923,4645303,2547554,14144,22335,636,106093835,320062,2020-09-29
9,India,6223519,80500,97529,1178,5184634,941356,8944,4499,71,73110041,52852,2020-09-29
10,Brazil,4780317,31990,143010,849,4135088,502219,8318,22450,672,17900000,84066,2020-09-29
11,Russia,1167805,8232,20545,160,952399,194861,2300,8001,141,45600000,312436,2020-09-29
12,Colombia,824042,5839,25828,187,734154,64060,2220,16153,506,3702605,72579,2020-09-29
13,Peru,808714,0,32324,0,670989,105401,1354,24445,977,3865360,116839,2020-09-29
14,Spain,758172,9906,31614,203,0,0,1535,16214,676,12723989,272117,2020-09-29
15,Argentina,736609,13477,16519,406,585857,134233,3768,16262,365,1951789,43089,2020-09-29
16,Mexico,733717,3400,76603,173,527278,129836,2334,5676,593,1918800,14844,2020-09-29
17,South Africa,672572,903,16667,81,606520,49385,539,11306,280,4164491,70003,2020-09-29
18,France,550690,8051,31893,85,96327,422470,1204,8432,488,10806709,165470,2020-09-29
19,Chile,461300,1629,12725,27,434794,13781,865,24081,664,3294806,171996,2020-09-29
20,Iran,453637,3677,25986,207,378727,48924,4079,5384,308,3986720,47318,2020-09-29
21,UK,446156,7143,42072,71,0,0,297,6564,619,24249112,356743,2020-09-29
22,Bangladesh,362043,1488,5219,26,273698,83126,0,2193,32,1934251,11716,2020-09-29
23,Iraq,358290,4724,9122,70,288812,60356,559,8860,226,2244081,55496,2020-09-29
24,Saudi Arabia,334187,539,4739,27,318542,10906,1005,9563,136,6444173,184412,2020-09-29
25,Turkey,317272,1427,8130,68,278504,30638,1583,3752,96,10268163,121431,2020-09-29
26,Italy,313011,1648,35875,24,226506,50630,271,5179,594,11228358,185778,2020-09-29
27,Pakistan,311516,675,6474,8,296340,8702,419,1404,29,3482206,15691,2020-09-29
28,Philippines,309303,2025,5448,68,252930,50925,1758,2814,50,3680659,33481,2020-09-29
29,Germany,290466,1848,9556,11,254200,26710,353,3464,114,15642654,186555,2020-09-29
30,Indonesia,282724,4002,10601,128,210437,61686,0,1031,39,3276402,11948,2020-09-29
31,Israel,236926,3661,1528,21,167804,67594,797,25760,166,3424497,372325,2020-09-29
32,Ukraine,204932,3627,4065,69,90250,110617,177,4693,93,2226508,50987,2020-09-29
33,Canada,156961,1660,9291,13,133737,13933,110,4150,246,7295024,192873,2020-09-29
34,Ecuador,135749,784,11312,32,112296,12141,360,7666,639,424533,23975,2020-09-29
35,Bolivia,134223,322,7900,42,94324,31999,71,11461,675,298536,25491,2020-09-29
36,Qatar,125533,222,214,0,122448,2871,53,44709,76,770213,274311,2020-09-29
37,Romania,125414,1470,4792,44,100636,19986,551,6530,250,2393670,124634,2020-09-29
38,Morocco,121183,2076,2152,39,100253,18778,440,3274,58,2598486,70198,2020-09-29
39,Netherlands,117551,3011,6393,13,0,0,153,6857,373,2449577,142881,2020-09-29
40,Belgium,115353,1174,9987,7,19301,86065,140,9942,861,3157822,272178,2020-09-29
41,Dominican Republic,111900,234,2101,3,86998,22801,185,10290,193,474030,43591,2020-09-29
42,Panama,111853,576,2364,16,88202,21287,113,25825,546,477033,110141,2020-09-29
43,Kazakhstan,107833,58,1699,0,102805,3329,221,5726,90,2895805,153777,2020-09-29
44,Kuwait,104568,587,607,2,96049,7912,127,24399,142,742797,173315,2020-09-29
45,Egypt,103079,124,5914,13,96094,1071,41,1003,58,135000,1313,2020-09-29
46,Oman,98585,528,935,11,88528,9122,190,19190,182,376700,73326,2020-09-29
47,UAE,93090,995,416,3,82538,10136,0,9385,42,9602111,968015,2020-09-29
48,Sweden,92466,0,5890,5,0,0,20,9142,582,1661484,164264,2020-09-29
49,Guatemala,90968,705,3238,4,79654,8076,5,5055,180,318931,17723,2020-09-29
50,Poland,89962,1326,2483,36,68955,18524,141,2378,66,3267844,86368,2020-09-29
