index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,9175860,50239,316711,681,5983587,2875562,17497,0,0,0,0,2020-10-05
1,Asia,11181383,95454,203126,1622,9476142,1502115,20729,0,0,0,0,2020-10-05
2,South America,8324078,36463,262182,746,7187105,874791,17424,0,0,0,0,2020-10-05
3,Europe,5438458,61884,225689,537,2899644,2313125,9451,0,0,0,0,2020-10-05
4,Africa,1527905,4977,36697,128,1268405,222803,1638,0,0,0,0,2020-10-05
5,Oceania,31832,278,937,1,29033,1862,14,0,0,0,0,2020-10-05
6,,721,0,15,0,651,55,4,0,0,0,0,2020-10-05
7,World,35680237,249295,1045357,3715,26844567,7790313,66757,4577,1341,0,0,2020-10-05
8,USA,7676933,39121,214970,359,4888499,2573464,14193,23157,648,112373952,338976,2020-10-05
9,India,6682073,59893,103600,886,5659110,919363,8944,4830,75,79982394,57810,2020-10-05
10,Brazil,4940499,25210,146773,398,4295302,498424,8318,23200,689,17900000,84056,2020-10-05
11,Russia,1225889,10888,21475,117,982324,222090,2300,8399,147,48042343,329168,2020-10-05
12,Colombia,862158,7106,26844,132,766300,69014,2220,16897,526,3930262,77028,2020-10-05
13,Spain,852838,2099,32225,46,0,0,1580,18239,689,13689776,292770,2020-10-05
14,Peru,829999,1830,32834,92,712888,84277,1269,25083,992,3961345,119713,2020-10-05
15,Argentina,798486,0,21018,0,636672,140796,3950,17625,464,2064250,45565,2020-10-05
16,Mexico,761665,3712,79088,208,550053,132524,2401,5891,612,2003141,15494,2020-10-05
17,South Africa,682215,926,17016,40,615684,49515,539,11465,286,4280340,71936,2020-10-05
18,France,624274,5084,32299,69,98680,493295,1415,9558,495,11616000,177855,2020-10-05
19,UK,515571,12594,42369,19,0,0,368,7584,623,25865851,380495,2020-10-05
20,Iran,475674,3902,27192,235,392293,56189,4167,5645,323,4151445,49263,2020-10-05
21,Chile,471746,1567,13037,58,443453,15256,853,24623,680,3502751,182826,2020-10-05
22,Iraq,382949,3808,9464,65,312158,61327,556,9467,234,2371348,58621,2020-10-05
23,Bangladesh,370132,1442,5375,27,283182,81575,0,2242,33,2001431,12121,2020-10-05
24,Saudi Arabia,336766,379,4898,23,322055,9813,938,9635,140,6725148,192403,2020-10-05
25,Italy,327586,2257,36002,16,232681,58903,323,5420,596,11844346,195974,2020-10-05
26,Turkey,326046,1603,8498,57,286370,31178,1412,3855,100,10931917,129258,2020-10-05
27,Philippines,324762,2291,5840,64,273123,45799,1758,2954,53,3914732,35602,2020-10-05
28,Pakistan,315260,644,6517,4,299836,8907,515,1420,29,3678534,16571,2020-10-05
29,Indonesia,307120,3622,11253,102,232593,63274,0,1120,41,3515165,12816,2020-10-05
30,Germany,304657,3086,9616,14,263700,31341,447,3633,115,16999253,202724,2020-10-05
31,Israel,272309,5534,1757,38,204355,66197,880,29607,191,3733880,405963,2020-10-05
32,Ukraine,230236,3774,4430,33,101252,124554,177,5273,101,2382259,54559,2020-10-05
33,Canada,168960,2804,9504,23,142334,17122,126,4466,251,7695259,203426,2020-10-05
34,Ecuador,141339,305,11681,34,120511,9147,356,7980,659,455122,25696,2020-10-05
35,Netherlands,140471,4579,6461,7,0,0,177,8193,377,2603166,151834,2020-10-05
36,Romania,137491,1591,5048,45,108526,23917,592,7160,263,2516746,131057,2020-10-05
37,Bolivia,136868,299,8101,28,97547,31220,71,11684,692,307040,26211,2020-10-05
38,Morocco,134695,1423,2369,39,113336,18990,457,3638,64,2731907,73788,2020-10-05
39,Belgium,130235,2612,10064,20,19679,100492,186,11224,867,3402761,293269,2020-10-05
40,Qatar,126692,194,216,0,123664,2812,59,45121,77,800519,285105,2020-10-05
41,Panama,115919,633,2430,7,92423,21066,119,26757,561,508442,117362,2020-10-05
42,Dominican Republic,115054,574,2144,10,90942,21968,169,10579,197,496200,45623,2020-10-05
43,Kazakhstan,108236,59,1725,0,103277,3234,221,5747,92,2973489,157872,2020-10-05
44,Kuwait,107592,567,628,4,99549,7415,129,25098,146,761025,177526,2020-10-05
45,Egypt,103781,98,5990,9,97398,393,41,1009,58,135000,1313,2020-10-05
46,Poland,102080,2006,2659,29,73552,25869,219,2698,70,3465605,91596,2020-10-05
47,Oman,101814,544,985,8,90600,10229,207,19810,192,376700,73296,2020-10-05
48,UAE,99733,932,429,3,89410,9894,0,10052,43,10220534,1030157,2020-10-05
49,Sweden,94283,0,5895,0,0,0,20,9320,583,1661484,164248,2020-10-05
50,Guatemala,94182,219,3302,9,82828,8052,5,5232,183,338692,18816,2020-10-05
51,Nepal,89263,2440,554,19,65202,23507,0,3050,19,1088229,37178,2020-10-05
52,Japan,85739,400,1599,2,78609,5531,131,678,13,2173035,17195,2020-10-05
53,Czechia,85566,3120,758,31,46636,38172,245,7986,71,1457315,136017,2020-10-05
54,Costa Rica,81129,1947,987,37,49703,30439,212,15888,193,243276,47643,2020-10-05
55,Belarus,80696,401,862,5,75303,4531,0,8541,91,1949656,206346,2020-10-05
56,Portugal,79885,734,2018,13,50454,27413,106,7840,198,2647756,259869,2020-10-05
57,Honduras,79629,841,2422,23,29305,47902,30,8007,244,186350,18738,2020-10-05
58,Ethiopia,79437,618,1230,8,34016,44191,292,687,11,1307632,11303,2020-10-05
59,Venezuela,78434,0,653,0,68917,8864,215,2760,23,1965367,69168,2020-10-05
60,Bahrain,73116,454,261,1,67933,4922,61,42602,152,1488703,867412,2020-10-05
61,Nigeria,59465,120,1113,0,50951,7401,7,287,5,535733,2583,2020-10-05
62,Uzbekistan,58946,334,485,5,55633,2828,252,1755,14,1377915,41016,2020-10-05
63,Singapore,57819,7,27,0,57597,195,0,9863,5,2885545,492217,2020-10-05
64,Moldova,56901,322,1375,9,41467,14059,744,14114,341,293824,72882,2020-10-05
65,Switzerland,55932,1548,2078,1,45800,8054,32,6450,240,1417260,163446,2020-10-05
66,Armenia,52677,181,984,7,44710,6983,0,17768,332,308019,103895,2020-10-05
67,Algeria,52270,134,1768,8,36672,13830,23,1187,40,0,0,2020-10-05
68,Austria,48896,750,818,5,39058,9020,101,5421,91,1698268,188281,2020-10-05
69,Kyrgyzstan,47635,207,1066,0,43521,3048,24,7270,163,276522,42205,2020-10-05
70,Ghana,46829,0,303,0,46060,466,4,1499,10,488427,15636,2020-10-05
71,Lebanon,45657,1175,414,8,20243,25000,167,6697,61,896623,131521,2020-10-05
72,Paraguay,44182,0,929,0,27203,16050,145,6175,130,288502,40321,2020-10-05
73,Palestine,41957,459,339,9,35182,6436,0,8176,66,437500,85258,2020-10-05
74,Azerbaijan,40788,97,598,2,38587,1603,0,4013,59,1140194,112191,2020-10-05
75,Kenya,39449,22,735,4,27035,11679,0,730,14,564078,10432,2020-10-05
76,Afghanistan,39422,81,1466,4,32879,5077,93,1007,37,112278,2868,2020-10-05
77,Ireland,38549,517,1810,0,23364,13375,20,7784,366,1245263,251462,2020-10-05
78,Libya,37437,628,596,4,22076,14765,0,5429,86,222054,32203,2020-10-05
79,Serbia,33952,51,756,2,31536,1660,20,3890,87,1159806,132883,2020-10-05
80,Hungary,31480,905,833,11,8165,22482,40,3261,86,765598,79305,2020-10-05
81,Denmark,30057,377,659,1,23122,6276,30,5184,114,4084612,704540,2020-10-05
82,El Salvador,29539,89,865,2,24406,4268,37,4548,133,408212,62852,2020-10-05
83,Bosnia and Herzegovina,28449,95,888,9,22032,5529,0,8686,271,248975,76014,2020-10-05
84,Australia,27149,13,894,0,24892,1363,6,1061,35,7794939,304769,2020-10-05
85,S. Korea,24164,73,422,1,21886,1856,107,471,8,2352378,45872,2020-10-05
86,Tunisia,22230,0,321,0,5032,16877,116,1876,27,250479,21136,2020-10-05
87,Bulgaria,21870,283,854,10,15179,5837,59,3154,123,546789,78851,2020-10-05
88,Cameroon,20924,0,420,0,19764,740,30,783,16,149000,5578,2020-10-05
89,Greece,20142,300,417,8,9989,9736,83,1935,40,1355126,130182,2020-10-05
90,Ivory Coast,19885,3,120,0,19490,275,0,749,5,166699,6280,2020-10-05
91,North Macedonia,18873,83,760,4,15487,2626,3,9059,365,195541,93859,2020-10-05
92,Myanmar,18781,987,444,32,5548,12789,0,345,8,332875,6107,2020-10-05
93,Croatia,17797,138,300,2,16031,1466,24,4342,73,328392,80125,2020-10-05
94,Jordan,17464,1824,110,9,5292,12062,48,1707,11,1311436,128202,2020-10-05
95,Madagascar,16570,12,233,1,15601,736,14,595,8,73053,2621,2020-10-05
96,Senegal,15122,28,312,0,12870,1940,6,897,19,183115,10864,2020-10-05
97,Zambia,15089,37,334,1,14306,449,0,815,18,164951,8910,2020-10-05
98,Norway,14605,148,275,0,11190,3140,3,2689,51,1095488,201662,2020-10-05
99,Albania,14410,144,400,4,8825,5185,23,5009,139,88622,30804,2020-10-05
100,Sudan,13653,0,836,0,6764,6053,0,310,19,0,0,2020-10-05
101,Slovakia,13492,353,55,0,4865,8572,37,2471,10,496284,90889,2020-10-05
102,Malaysia,12813,432,137,0,10340,2336,32,395,4,1581208,48693,2020-10-05
103,Montenegro,12359,232,182,3,8308,3869,17,19677,290,72393,115260,2020-10-05
104,Namibia,11654,28,125,2,9451,2078,8,4565,49,103854,40684,2020-10-05
105,Guinea,10800,46,67,1,10161,572,24,817,5,33676,2547,2020-10-05
106,DRC,10778,18,274,0,10239,265,0,119,3,0,0,2020-10-05
107,Finland,10702,164,346,1,8100,2256,8,1931,62,1084319,195620,2020-10-05
108,Maldives,10567,37,34,0,9427,1106,12,19461,63,150743,277619,2020-10-05
109,French Guiana,10057,28,68,1,9710,279,4,33452,226,67833,225631,2020-10-05
110,Tajikistan,9974,39,78,0,8794,1102,0,1040,8,0,0,2020-10-05
111,Mozambique,9296,100,66,0,6104,3126,0,295,2,1446106,45944,2020-10-05
112,Uganda,8965,157,82,1,5078,3805,0,194,2,493595,10707,2020-10-05
113,Luxembourg,8925,35,127,1,7793,1005,2,14198,202,856798,1363037,2020-10-05
114,Haiti,8827,8,229,0,6992,1606,0,772,20,28916,2528,2020-10-05
115,Gabon,8808,11,54,0,8135,619,3,3934,24,185889,83021,2020-10-05
116,Georgia,8696,578,54,4,4619,4023,0,2181,14,679169,170340,2020-10-05
117,Zimbabwe,7898,10,228,0,6424,1246,0,529,15,160162,10736,2020-10-05
118,Mauritania,7523,3,162,0,7204,157,3,1607,35,81120,17331,2020-10-05
119,Jamaica,7012,117,120,0,2635,4257,12,2365,40,81132,27367,2020-10-05
120,Slovenia,6573,75,156,1,4314,2103,26,3162,75,237545,114259,2020-10-05
121,Cabo Verde,6433,73,68,3,5524,841,0,11538,122,87076,156175,2020-10-05
122,Cuba,5845,36,123,1,5232,490,1,516,11,651035,57488,2020-10-05
123,Malawi,5794,8,180,1,4541,1073,4,301,9,54472,2829,2020-10-05
124,Eswatini,5579,10,112,1,5141,326,11,4796,96,45325,38963,2020-10-05
125,Angola,5530,128,199,4,2591,2740,16,167,6,85213,2573,2020-10-05
126,Guadeloupe,5528,0,57,0,2199,3272,24,13815,142,55187,137919,2020-10-05
127,Djibouti,5421,2,61,0,5352,8,0,5466,62,78079,78732,2020-10-05
128,Lithuania,5285,100,94,0,2497,2694,0,1949,35,801362,295483,2020-10-05
129,Nicaragua,5170,0,151,0,2913,2106,0,778,23,0,0,2020-10-05
130,Hong Kong,5125,11,105,0,4864,156,11,682,14,3311279,440750,2020-10-05
131,Congo,5089,0,89,0,3887,1113,0,917,16,0,0,2020-10-05
132,Equatorial Guinea,5045,0,83,0,4879,83,4,3567,59,60916,43066,2020-10-05
133,Suriname,4954,13,106,0,4755,93,6,8425,180,14770,25119,2020-10-05
134,Rwanda,4867,1,29,0,3226,1612,0,373,2,506658,38874,2020-10-05
135,CAR,4845,0,62,0,1914,2869,2,999,13,32263,6650,2020-10-05
136,Trinidad and Tobago,4766,3,81,0,2884,1801,14,3403,58,32354,23099,2020-10-05
137,Bahamas,4452,43,96,0,2375,1981,96,11293,244,21592,54771,2020-10-05
138,Syria,4411,45,207,2,1168,3036,0,251,12,0,0,2020-10-05
