index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,date,tests_1m_pop
144,Ethiopia,111,3,3,0,16,92,1,10,3,7953,2020-04-20,
145,Sudan,107,41,12,2,8,87,0,2,3,0,2020-04-20,
146,Liberia,99,8,8,0,7,84,0,20,2,0,2020-04-20,
147,Aruba,97,0,2,0,49,46,4,909,19,1442,2020-04-20,
148,French Guiana,97,1,1,1,69,27,2,325,3,0,2020-04-20,
149,Monaco,94,0,3,0,23,68,3,2395,76,0,2020-04-20,
150,Bermuda,86,0,5,0,37,44,10,1381,80,651,2020-04-20,
151,Togo,84,0,6,1,53,25,0,10,7,4381,2020-04-20,
152,Liechtenstein,81,0,1,0,55,25,0,2124,26,900,2020-04-20,
153,Equatorial Guinea,79,0,0,0,7,72,0,56,0,854,2020-04-20,
154,Barbados,75,0,5,0,23,47,4,261,17,1063,2020-04-20,
155,Maldives,69,17,0,0,16,53,1,128,0,4139,2020-04-20,
156,Sint Maarten,67,0,10,0,12,45,6,1563,233,163,2020-04-20,
157,Cabo Verde,67,6,1,0,1,65,0,121,2,0,2020-04-20,
158,Cayman Islands,66,5,1,0,7,58,3,1004,15,778,2020-04-20,
159,Guyana,65,0,7,0,9,49,4,83,9,322,2020-04-20,
160,Zambia,65,4,3,0,35,27,1,4,2,2586,2020-04-20,
161,Bahamas,60,0,9,0,11,40,1,153,23,0,2020-04-20,
162,Haiti,57,10,3,0,0,54,0,5,3,618,2020-04-20,
163,French Polynesia,56,1,0,0,19,37,1,199,0,1515,2020-04-20,
164,Uganda,56,1,0,0,38,18,0,1,0,12565,2020-04-20,
165,Benin,54,19,1,0,27,26,0,4,8,0,2020-04-20,
166,Libya,51,0,1,0,15,35,0,7,1,808,2020-04-20,
167,Guinea-Bissau,50,0,0,0,3,47,0,25,0,1500,2020-04-20,
168,Macao,45,0,0,0,22,23,1,69,0,0,2020-04-20,
169,Sierra Leone,43,8,0,0,6,37,0,5,0,0,2020-04-20,
170,Syria,39,0,3,0,5,31,0,2,2,0,2020-04-20,
171,Eritrea,39,0,0,0,3,36,0,11,0,0,2020-04-20,
172,Mozambique,39,0,0,0,8,31,0,1,0,1037,2020-04-20,
173,Saint Martin,37,0,2,0,19,16,5,957,52,0,2020-04-20,
174,Chad,33,0,0,0,8,25,0,2,0,0,2020-04-20,
175,Mongolia,33,1,0,0,7,26,0,10,0,1554,2020-04-20,
176,Nepal,31,0,0,0,4,27,0,1,0,29567,2020-04-20,
177,Zimbabwe,25,0,3,0,2,20,0,2,2,2851,2020-04-20,
178,Angola,24,0,2,0,6,16,0,7,6,0,2020-04-20,
179,Eswatini,24,2,1,0,8,15,0,21,9,714,2020-04-20,
180,Antigua and Barbuda,23,0,3,0,3,17,1,235,31,73,2020-04-20,
181,Timor-Leste,22,3,0,0,1,21,0,17,0,0,2020-04-20,
182,Botswana,20,0,1,0,0,19,0,9,4,4432,2020-04-20,
183,Laos,19,0,0,0,2,17,0,3,0,1349,2020-04-20,
184,Belize,18,0,2,0,2,14,1,45,5,651,2020-04-20,
185,Fiji,18,1,0,0,3,15,0,20,0,0,2020-04-20,
186,New Caledonia,18,0,0,0,15,3,1,63,0,3399,2020-04-20,
187,Malawi,17,0,2,0,3,12,1,9,1,429,2020-04-20,
188,Dominica,16,0,0,0,8,8,0,222,0,345,2020-04-20,
189,Namibia,16,0,0,0,6,10,0,6,0,524,2020-04-20,
