index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,42670,1016,4318,2020-02-11,,,,,,,,
1,Japan,163,0,4,2020-02-11,,,,,,,,
2,Hong Kong,49,1,0,2020-02-11,,,,,,,,
3,Singapore,47,0,9,2020-02-11,,,,,,,,
4,Thailand,33,0,10,2020-02-11,,,,,,,,
5,S. Korea,28,0,4,2020-02-11,,,,,,,,
6,Taiwan,18,0,1,2020-02-11,,,,,,,,
7,Malaysia,18,0,3,2020-02-11,,,,,,,,
8,Germany,16,0,0,2020-02-11,,,,,,,,
9,Vietnam,15,0,6,2020-02-11,,,,,,,,
10,Australia,15,0,5,2020-02-11,,,,,,,,
11,USA,13,0,3,2020-02-11,,,,,,,,
12,France,11,0,0,2020-02-11,,,,,,,,
13,Macao,10,0,1,2020-02-11,,,,,,,,
14,U.A.E.,8,0,1,2020-02-11,,,,,,,,
15,U.K.,8,0,1,2020-02-11,,,,,,,,
16,Canada,7,0,1,2020-02-11,,,,,,,,
17,Philippines,3,1,2,2020-02-11,,,,,,,,
18,Italy,3,0,0,2020-02-11,,,,,,,,
19,India,3,0,0,2020-02-11,,,,,,,,
20,Russia,2,0,0,2020-02-11,,,,,,,,
21,Spain,2,0,0,2020-02-11,,,,,,,,
22,Sweden,1,0,0,2020-02-11,,,,,,,,
23,Sri Lanka,1,0,1,2020-02-11,,,,,,,,
24,Nepal,1,0,0,2020-02-11,,,,,,,,
25,Finland,1,0,1,2020-02-11,,,,,,,,
26,Cambodia,1,0,1,2020-02-11,,,,,,,,
27,Belgium,1,0,0,2020-02-11,,,,,,,,
