index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,10370312,83678,339965,1521,6918229,3112118,19249,0,0,0,0,2020-10-22
1,Asia,12883846,97089,230114,1517,11304972,1348760,21027,0,0,0,0,2020-10-22
2,South America,9217888,63205,284752,1325,8177737,755399,17612,0,0,0,0,2020-10-22
3,Europe,7755460,217410,245508,1796,3345799,4164153,14976,0,0,0,0,2020-10-22
4,Africa,1696414,10966,40760,216,1390784,264870,1995,0,0,0,0,2020-10-22
5,Oceania,35188,26,958,0,31128,3102,18,0,0,0,0,2020-10-22
6,,721,0,15,0,659,47,4,0,0,0,0,2020-10-22
7,World,41959829,472374,1142072,6375,31169308,9648449,74881,5383,1465,0,0,2020-10-22
8,USA,8654307,68957,228292,884,5647280,2778735,15740,26099,688,129725492,391210,2020-10-22
9,India,7759640,54482,117336,683,6946325,695979,8944,5606,85,98670363,71285,2020-10-22
10,Brazil,5332634,31985,155962,503,4785297,391375,8318,25033,732,17900000,84028,2020-10-22
11,Russia,1463306,15971,25242,290,1107988,330076,2300,10026,173,55683929,381517,2020-10-22
12,Spain,1090521,20986,34521,155,0,0,1966,23321,738,15503165,331545,2020-10-22
13,Argentina,1053650,16325,27957,438,851854,173839,4611,23248,617,2741416,60486,2020-10-22
14,France,999043,41622,34210,162,108599,856234,2319,15295,524,14182285,217126,2020-10-22
15,Colombia,990270,8570,29636,172,893712,66922,2115,19398,581,4615614,90416,2020-10-22
16,Peru,879876,2991,33984,47,796719,49173,1092,26573,1026,4316879,130373,2020-10-22
17,Mexico,867559,6845,87415,522,632037,148107,2617,6707,676,2229212,17234,2020-10-22
18,UK,810467,21242,44347,189,0,0,711,11919,652,30809168,453103,2020-10-22
19,South Africa,710515,2156,18843,102,642560,49112,546,11934,316,4633671,77829,2020-10-22
20,Iran,550757,5471,31650,304,442674,76433,4895,6532,375,4628866,54896,2020-10-22
21,Chile,497131,1494,13792,73,469765,13574,759,25937,720,4005923,209006,2020-10-22
22,Italy,465726,16079,36968,136,259456,169302,992,7706,612,14132421,233848,2020-10-22
23,Iraq,442164,3899,10465,47,371826,59873,446,10919,258,2705941,66823,2020-10-22
24,Germany,403874,12519,10044,45,306100,87730,1030,4816,120,19276507,229847,2020-10-22
25,Bangladesh,394827,1696,5747,24,310532,78548,0,2390,35,2221369,13447,2020-10-22
26,Indonesia,377541,4432,12959,102,301006,63576,0,1376,47,4211138,15346,2020-10-22
27,Philippines,363888,1664,6783,38,312333,44772,1562,3307,62,4482723,40743,2020-10-22
28,Turkey,355528,2102,9584,71,310027,35917,1599,4202,113,12876267,152172,2020-10-22
29,Saudi Arabia,343774,401,5250,15,330181,8343,791,9828,150,7562663,216208,2020-10-22
30,Pakistan,325480,736,6702,10,309136,9642,591,1465,30,4177270,18801,2020-10-22
31,Ukraine,322879,7053,6043,116,134898,181938,177,7397,138,2880105,65979,2020-10-22
32,Israel,308247,912,2319,28,288337,17591,582,33514,252,4347493,472677,2020-10-22
33,Netherlands,262405,9271,6919,46,0,0,483,15304,404,2872319,167515,2020-10-22
34,Belgium,253386,13227,10539,50,21717,221130,525,21834,908,4287303,369430,2020-10-22
35,Czechia,223065,14150,1845,106,87225,133995,735,20818,172,1929608,180083,2020-10-22
36,Poland,214686,12107,4019,168,102204,108463,812,5674,106,4159590,109944,2020-10-22
37,Canada,209148,3194,9862,36,175805,23481,215,5527,261,8853898,233960,2020-10-22
38,Romania,196004,4902,6163,98,141089,48752,778,10210,321,2961562,154268,2020-10-22
39,Morocco,186731,4151,3132,53,154481,29118,652,5041,85,3130766,84514,2020-10-22
