index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,24399,491,1022,2020-02-05,,,,,,,,
1,Japan,35,0,0,2020-02-05,,,,,,,,
2,Singapore,28,0,1,2020-02-05,,,,,,,,
3,Thailand,25,0,8,2020-02-05,,,,,,,,
4,Hong Kong,21,1,0,2020-02-05,,,,,,,,
5,S. Korea,19,0,1,2020-02-05,,,,,,,,
6,Australia,14,0,3,2020-02-05,,,,,,,,
7,Malaysia,12,0,0,2020-02-05,,,,,,,,
8,Germany,12,0,0,2020-02-05,,,,,,,,
9,USA,11,0,0,2020-02-05,,,,,,,,
10,Taiwan,11,0,0,2020-02-05,,,,,,,,
11,Macao,10,0,0,2020-02-05,,,,,,,,
12,Vietnam,10,0,3,2020-02-05,,,,,,,,
13,France,6,0,0,2020-02-05,,,,,,,,
14,Canada,5,0,0,2020-02-05,,,,,,,,
15,U.A.E.,5,0,0,2020-02-05,,,,,,,,
16,Philippines,3,1,0,2020-02-05,,,,,,,,
17,India,3,0,0,2020-02-05,,,,,,,,
18,U.K.,2,0,0,2020-02-05,,,,,,,,
19,Italy,2,0,0,2020-02-05,,,,,,,,
20,Russia,2,0,0,2020-02-05,,,,,,,,
21,Finland,1,0,0,2020-02-05,,,,,,,,
22,Nepal,1,0,0,2020-02-05,,,,,,,,
23,Sweden,1,0,0,2020-02-05,,,,,,,,
24,Sri Lanka,1,0,1,2020-02-05,,,,,,,,
25,Cambodia,1,0,0,2020-02-05,,,,,,,,
26,Spain,1,0,0,2020-02-05,,,,,,,,
27,Belgium,1,0,0,2020-02-05,,,,,,,,
