index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,5708581,56502,222797,900,2988108,2497676,26125,0,0,0,0,2020-08-03
1,South America,4285550,41076,148327,1510,2917750,1219473,13138,0,0,0,0,2020-08-03
2,Asia,4523351,73503,100679,1355,3357771,1064901,19122,0,0,0,0,2020-08-03
3,Europe,2923590,16238,204059,244,1754104,965427,5154,0,0,0,0,2020-08-03
4,Africa,972061,10673,20661,311,632853,318547,1149,0,0,0,0,2020-08-03
5,Oceania,20107,398,246,13,12276,7585,43,0,0,0,0,2020-08-03
6,,721,0,15,0,651,55,4,0,0,0,0,2020-08-03
7,World,18433961,198390,696784,4333,11663513,6073664,64735,2365,894,0,0,2020-08-03
8,USA,4861522,47970,158906,545,2445854,2256762,18725,14680,480,60935176,183996,2020-08-03
9,Brazil,2751665,17988,94702,572,1912319,744644,8318,12937,445,13196132,62043,2020-08-03
10,India,1855331,50629,38971,810,1230440,585920,8944,1343,28,20202858,14627,2020-08-03
11,Russia,856264,5394,14207,79,653593,188464,2300,5867,97,29029900,198916,2020-08-03
12,South Africa,516862,5377,8539,173,358037,150286,539,8705,144,3058695,51516,2020-08-03
13,Mexico,439046,4853,47746,274,289394,101906,3944,3402,370,1005498,7791,2020-08-03
14,Peru,433100,4250,19811,197,298091,115198,1419,13120,600,2417857,73243,2020-08-03
15,Chile,361493,1762,9707,99,333976,17810,235,18896,507,1697558,88735,2020-08-03
16,Spain,344134,3044,28472,9,0,0,617,7360,609,6678414,142834,2020-08-03
17,Colombia,327850,10199,11017,367,173727,143106,1493,6437,216,1685530,33095,2020-08-03
18,Iran,312035,2598,17405,215,270228,24402,4104,3711,207,2534658,30144,2020-08-03
19,UK,305623,928,46210,9,0,0,86,4500,680,16717684,246145,2020-08-03
20,Saudi Arabia,280093,1258,2949,32,242055,35089,2017,8035,85,3473715,99648,2020-08-03
21,Pakistan,280029,331,5984,8,248873,25172,1064,1266,27,2010170,9086,2020-08-03
22,Italy,248229,159,35166,12,200589,12474,41,4106,582,6940801,114812,2020-08-03
23,Bangladesh,242102,1356,3184,30,137905,101013,0,1469,19,1193544,7241,2020-08-03
24,Turkey,233851,995,5747,19,217497,10607,580,2770,68,4927217,58367,2020-08-03
25,Germany,212320,858,9232,6,193600,9488,270,2533,110,8006135,95529,2020-08-03
26,Argentina,206743,4824,3813,165,91302,111628,1150,4571,84,747907,16535,2020-08-03
27,France,191295,556,30294,22,81500,79501,371,2930,464,2982302,45680,2020-08-03
28,Iraq,131886,2735,4934,66,94111,32841,514,3273,122,1042806,25879,2020-08-03
29,Canada,117031,147,8947,2,101597,6487,2253,3098,237,4178195,110618,2020-08-03
30,Indonesia,113134,1679,5302,66,70237,37595,0,413,19,1552141,5669,2020-08-03
