index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80894,0,3237,0,69614,8043,2622,56,2020-03-18,,,
1,Italy,35713,4207,2978,475,4025,28710,2257,591,2020-03-18,,,
2,Iran,17361,1192,1135,147,5710,10516,0,207,2020-03-18,,,
3,Spain,14769,2943,638,105,1081,13050,563,316,2020-03-18,,,
4,Germany,12327,2960,28,2,105,12194,2,147,2020-03-18,,,
5,USA,9257,2846,150,41,106,9001,64,28,2020-03-18,,,
6,France,9134,1404,264,89,602,8268,931,140,2020-03-18,,,
7,S. Korea,8413,93,84,3,1540,6789,59,164,2020-03-18,,,
8,Switzerland,3115,373,33,6,15,3067,0,360,2020-03-18,,,
9,UK,2626,676,104,33,65,2457,20,39,2020-03-18,,,
10,Netherlands,2051,346,58,15,2,1991,45,120,2020-03-18,,,
11,Austria,1646,314,4,0,9,1633,12,183,2020-03-18,,,
12,Norway,1590,119,6,3,1,1583,27,293,2020-03-18,,,
13,Belgium,1486,243,14,4,31,1441,33,128,2020-03-18,,,
14,Sweden,1292,96,10,2,15,1267,12,128,2020-03-18,,,
15,Denmark,1057,80,4,0,1,1052,24,182,2020-03-18,,,
16,Japan,899,21,29,0,144,726,41,7,2020-03-18,,,
17,Malaysia,790,117,2,0,60,728,15,24,2020-03-18,,,
18,Canada,727,129,9,1,12,706,1,19,2020-03-18,,,
19,Diamond Princess,712,0,7,0,456,249,14,0,2020-03-18,,,
20,Portugal,642,194,2,1,4,636,18,63,2020-03-18,,,
21,Australia,596,141,6,1,43,547,1,23,2020-03-18,,,
22,Czechia,522,88,0,0,3,519,5,49,2020-03-18,,,
23,Brazil,509,163,4,3,2,503,18,2,2020-03-18,,,
24,Qatar,452,10,0,0,4,448,0,157,2020-03-18,,,
25,Israel,433,96,0,0,11,422,6,50,2020-03-18,,,
26,Greece,418,31,5,0,14,399,13,40,2020-03-18,,,
27,Ireland,366,74,2,0,5,359,6,74,2020-03-18,,,
28,Finland,359,37,0,0,10,349,2,65,2020-03-18,,,
29,Singapore,313,47,0,0,114,199,14,54,2020-03-18,,,
30,Pakistan,307,60,2,2,13,292,0,1,2020-03-18,,,
31,Poland,287,49,5,0,1,281,3,8,2020-03-18,,,
32,Slovenia,286,11,1,0,0,285,6,138,2020-03-18,,,
33,Romania,260,43,0,0,19,241,5,14,2020-03-18,,,
34,Estonia,258,33,0,0,1,257,1,194,2020-03-18,,,
35,Bahrain,255,14,1,0,95,159,3,150,2020-03-18,,,
36,Iceland,250,3,0,0,5,245,1,733,2020-03-18,,,
37,Saudi Arabia,238,67,0,0,6,232,0,7,2020-03-18,,,
38,Chile,238,37,0,0,0,238,3,12,2020-03-18,,,
39,Indonesia,227,55,19,12,11,197,0,8,2020-03-18,,,
40,Thailand,212,35,1,0,41,170,1,3,2020-03-18,,,
41,Egypt,210,14,6,0,28,176,0,2,2020-03-18,,,
42,Luxembourg,203,63,2,1,0,201,1,324,2020-03-18,,,
43,Philippines,202,15,17,3,4,181,1,2,2020-03-18,,,
44,Turkey,191,93,2,1,0,189,0,2,2020-03-18,,,
45,Hong Kong,181,13,4,0,92,85,4,24,2020-03-18,,,
46,India,169,26,3,0,14,152,0,1,2020-03-18,,,
47,Ecuador,168,57,3,1,0,165,2,10,2020-03-18,,,
48,Iraq,164,10,12,1,41,111,0,4,2020-03-18,,,
49,Russia,147,33,0,0,8,139,0,1,2020-03-18,,,
50,Peru,145,28,0,0,1,144,8,4,2020-03-18,,,
51,Kuwait,142,12,0,0,15,127,4,33,2020-03-18,,,
52,San Marino,140,21,14,3,4,122,11,4126,2020-03-18,,,
53,Lebanon,133,9,4,0,4,125,3,19,2020-03-18,,,
54,South Africa,116,31,0,0,0,116,0,2,2020-03-18,,,
55,UAE,113,0,0,0,26,87,2,11,2020-03-18,,,
56,Armenia,110,32,0,0,1,109,2,37,2020-03-18,,,
57,Slovakia,105,8,0,0,0,105,2,19,2020-03-18,,,
58,Taiwan,100,23,1,0,20,79,0,4,2020-03-18,,,
59,Argentina,97,18,2,0,3,92,1,2,2020-03-18,,,
60,Mexico,93,11,0,0,4,89,1,7,2020-03-18,,,
61,Colombia,93,28,0,0,1,92,0,2,2020-03-18,,,
62,Bulgaria,92,11,2,0,0,90,0,13,2020-03-18,,,
63,Croatia,89,20,0,0,5,84,0,22,2020-03-18,,,
64,Serbia,89,17,0,0,1,88,4,10,2020-03-18,,,
65,Panama,86,17,1,0,0,85,7,20,2020-03-18,,,
66,Vietnam,76,10,0,0,16,60,0,8,2020-03-18,,,
67,Algeria,75,14,7,2,32,36,0,2,2020-03-18,,,
68,Latvia,71,11,0,0,1,70,0,38,2020-03-18,,,
69,Costa Rica,69,19,1,1,0,68,2,14,2020-03-18,,,
70,Brunei,68,12,0,0,0,68,2,155,2020-03-18,,,
71,Albania,59,4,2,1,0,57,2,21,2020-03-18,,,
72,Hungary,58,8,1,0,2,55,4,6,2020-03-18,,,
73,Cyprus,58,9,0,0,0,58,1,48,2020-03-18,,,
74,Faeroe Islands,58,11,0,0,1,57,0,1187,2020-03-18,,,
75,Uruguay,58,8,0,0,0,58,0,17,2020-03-18,,,
76,Jordan,56,8,0,0,1,55,0,5,2020-03-18,,,
77,Morocco,54,10,2,0,1,51,1,1,2020-03-18,,,
78,Andorra,53,14,0,0,1,52,0,686,2020-03-18,,,
79,Belarus,51,15,0,0,5,46,0,5,2020-03-18,,,
80,Sri Lanka,51,7,0,0,3,48,0,2,2020-03-18,,,
81,Malta,48,10,0,0,2,46,0,109,2020-03-18,,,
82,Palestine,44,0,0,0,0,44,0,9,2020-03-18,,,
83,North Macedonia,43,12,0,0,1,42,1,21,2020-03-18,,,
84,Oman,39,6,0,0,13,26,0,8,2020-03-18,,,
85,Bosnia and Herzegovina,39,5,0,0,2,37,0,12,2020-03-18,,,
86,Georgia,38,4,0,0,1,37,1,10,2020-03-18,,,
87,Cambodia,37,4,0,0,1,36,0,2,2020-03-18,,,
88,Moldova,36,6,1,1,1,34,2,9,2020-03-18,,,
89,Senegal,36,9,0,0,2,34,0,2,2020-03-18,,,
90,Kazakhstan,36,3,0,0,0,36,0,2,2020-03-18,,,
91,Venezuela,36,3,0,0,0,36,0,1,2020-03-18,,,
92,Dominican Republic,34,13,2,1,0,32,0,3,2020-03-18,,,
93,Azerbaijan,34,0,1,0,6,27,0,3,2020-03-18,,,
94,Lithuania,34,8,0,0,1,33,1,12,2020-03-18,,,
95,Tunisia,29,2,0,0,1,28,2,2,2020-03-18,,,
96,Liechtenstein,28,9,0,0,0,28,0,734,2020-03-18,,,
97,Guadeloupe,27,9,0,0,0,27,0,67,2020-03-18,,,
98,Martinique,23,8,1,0,0,22,0,61,2020-03-18,,,
99,Afghanistan,22,0,0,0,1,21,0,6,2020-03-18,,,
100,Burkina Faso,20,5,1,1,0,19,0,10,2020-03-18,,,
101,New Zealand,20,0,0,0,0,20,0,4,2020-03-18,,,
102,Uzbekistan,18,7,0,0,0,18,0,5,2020-03-18,,,
103,Macao,17,4,0,0,10,7,0,26,2020-03-18,,,
104,Ukraine,16,2,2,0,0,14,0,4,2020-03-18,,,
105,Jamaica,15,2,1,1,2,12,0,5,2020-03-18,,,
106,Bangladesh,14,4,1,1,3,10,0,9,2020-03-18,,,
107,Cameroon,13,3,0,0,0,13,0,5,2020-03-18,,,
108,Maldives,13,0,0,0,0,13,0,24,2020-03-18,,,
109,Bolivia,12,0,0,0,0,12,0,1,2020-03-18,,,
110,Réunion,12,3,0,0,0,12,0,13,2020-03-18,,,
111,French Guiana,11,0,0,0,0,11,0,37,2020-03-18,,,
112,Paraguay,11,2,0,0,0,11,1,2,2020-03-18,,,
113,Rwanda,11,4,0,0,0,11,0,8,2020-03-18,,,
114,Cuba,10,3,1,1,0,9,0,9,2020-03-18,,,
115,Monaco,9,0,0,0,0,9,0,229,2020-03-18,,,
116,Ivory Coast,9,5,0,0,1,8,0,3,2020-03-18,,,
117,Honduras,9,1,0,0,0,9,0,9,2020-03-18,,,
118,Guatemala,8,0,1,0,0,7,0,4,2020-03-18,,,
119,Nigeria,8,5,0,0,1,7,0,4,2020-03-18,,,
120,Gibraltar,8,5,0,0,2,6,0,237,2020-03-18,,,
121,Guam,8,3,0,0,0,8,0,47,2020-03-18,,,
122,Montenegro,8,6,0,0,0,8,0,13,2020-03-18,,,
123,Channel Islands,7,1,0,0,0,7,0,40,2020-03-18,,,
124,DRC,7,4,0,0,0,7,0,8,2020-03-18,,,
125,Ghana,7,0,0,0,0,7,0,2,2020-03-18,,,
126,Kenya,7,3,0,0,0,7,0,1,2020-03-18,,,
127,Trinidad and Tobago,7,2,0,0,0,7,0,5,2020-03-18,,,
128,Ethiopia,6,0,0,0,0,6,0,5,2020-03-18,,,
129,Mongolia,6,1,0,0,0,6,0,2,2020-03-18,,,
130,Puerto Rico,6,1,0,0,0,6,0,2,2020-03-18,,,
131,Seychelles,6,2,0,0,0,6,0,61,2020-03-18,,,
132,Guyana,4,0,1,0,0,3,0,5,2020-03-18,,,
133,Aruba,4,1,0,0,0,4,0,37,2020-03-18,,,
134,Equatorial Guinea,4,3,0,0,0,4,0,3,2020-03-18,,,
135,Curaçao,3,0,0,0,0,3,0,18,2020-03-18,,,
136,French Polynesia,3,0,0,0,0,3,0,11,2020-03-18,,,
137,Gabon,3,0,0,0,0,3,0,1,2020-03-18,,,
138,Kyrgyzstan,3,3,0,0,0,3,0,5,2020-03-18,,,
139,Mauritius,3,3,0,0,0,3,0,2,2020-03-18,,,
140,Mayotte,3,0,0,0,0,3,0,11,2020-03-18,,,
141,St. Barth,3,0,0,0,0,3,0,304,2020-03-18,,,
142,Saint Martin,3,1,0,0,0,3,0,78,2020-03-18,,,
143,Tanzania,3,2,0,0,0,3,0,5,2020-03-18,,,
144,Sudan,2,1,1,0,0,1,0,5,2020-03-18,,,
145,Barbados,2,0,0,0,0,2,0,7,2020-03-18,,,
146,Benin,2,1,0,0,0,2,0,2,2020-03-18,,,
147,Bermuda,2,2,0,0,0,2,0,32,2020-03-18,,,
148,Greenland,2,1,0,0,0,2,0,35,2020-03-18,,,
149,Liberia,2,0,0,0,0,2,0,4,2020-03-18,,,
150,Mauritania,2,1,0,0,0,2,0,4,2020-03-18,,,
151,Namibia,2,0,0,0,0,2,0,8,2020-03-18,,,
152,New Caledonia,2,2,0,0,0,2,0,7,2020-03-18,,,
153,Saint Lucia,2,0,0,0,0,2,0,11,2020-03-18,,,
154,U.S. Virgin Islands,2,0,0,0,0,2,0,19,2020-03-18,,,
155,Zambia,2,2,0,0,0,2,0,1,2020-03-18,,,
156,Cayman Islands,1,0,1,0,0,0,0,15,2020-03-18,,,
157,Nepal,1,0,0,0,1,0,0,3,2020-03-18,,,
158,Antigua and Barbuda,1,0,0,0,0,1,0,10,2020-03-18,,,
159,Bahamas,1,0,0,0,0,1,0,3,2020-03-18,,,
160,Bhutan,1,0,0,0,0,1,0,1,2020-03-18,,,
161,CAR,1,0,0,0,0,1,0,2,2020-03-18,,,
162,Congo,1,0,0,0,0,1,0,2,2020-03-18,,,
163,Djibouti,1,1,0,0,0,1,0,1,2020-03-18,,,
164,Gambia,1,0,0,0,0,1,0,4,2020-03-18,,,
165,Guinea,1,0,0,0,0,1,0,8,2020-03-18,,,
166,Vatican City,1,0,0,0,0,1,0,1248,2020-03-18,,,
167,Montserrat,1,1,0,0,0,1,0,200,2020-03-18,,,
168,St. Vincent Grenadines,1,0,0,0,0,1,0,9,2020-03-18,,,
169,Sint Maarten,1,1,0,0,0,1,0,23,2020-03-18,,,
170,Somalia,1,0,0,0,0,1,0,6,2020-03-18,,,
171,Suriname,1,0,0,0,0,1,0,2,2020-03-18,,,
172,Eswatini,1,0,0,0,0,1,0,9,2020-03-18,,,
173,Togo,1,0,0,0,0,1,0,1,2020-03-18,,,
