index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,7461374,51534,274619,1956,4333796,2852959,19450,0,0,0,0,2020-09-02
1,South America,6467306,78693,206645,2050,5100338,1160323,15268,0,0,0,0,2020-09-02
2,Asia,7297325,108836,145652,1565,5855752,1295921,18830,0,0,0,0,2020-09-02
3,Europe,3646393,35078,208567,393,2099216,1338610,5842,0,0,0,0,2020-09-02
4,Africa,1272564,8147,30346,242,1010558,231660,1278,0,0,0,0,2020-09-02
5,Oceania,28825,169,692,6,23910,4223,35,0,0,0,0,2020-09-02
6,,721,0,15,0,651,55,4,0,0,0,0,2020-09-02
7,World,26174508,282457,866536,6212,18424221,6883751,60707,3358,1112,0,0,2020-09-02
8,USA,6297659,40088,189929,1029,3537272,2570458,15134,19007,573,84036917,253631,2020-09-02
9,Brazil,4001422,48632,123899,1218,3210405,667118,8318,18802,582,14352484,67440,2020-09-02
10,India,3848968,82860,67486,1026,2967396,814086,8944,2784,49,44337201,32075,2020-09-02
11,Russia,1005000,4952,17414,115,821169,166417,2300,6886,119,37100000,254205,2020-09-02
12,Peru,663437,6308,29259,191,480177,154001,1500,20074,885,3256711,98542,2020-09-02
13,Colombia,633339,9270,20348,296,479568,133423,1493,12425,399,2810137,55128,2020-09-02
14,South Africa,630595,2336,14389,126,553456,62750,539,10610,242,3726721,62703,2020-09-02
15,Mexico,606036,6476,65241,827,421373,119422,3275,4692,505,1360123,10530,2020-09-02
16,Spain,479554,8581,29194,42,0,0,874,10256,624,9210337,196979,2020-09-02
17,Argentina,439172,10933,9118,199,315530,114524,2359,9702,201,1300866,28738,2020-09-02
18,Chile,414739,1594,11344,23,387683,15712,947,21664,593,2481508,129622,2020-09-02
19,Iran,378752,1858,21797,125,326801,30154,3693,4500,259,3281961,38990,2020-09-02
20,UK,338676,1508,41514,10,0,0,60,4984,611,16273209,239497,2020-09-02
21,Bangladesh,317528,2582,4351,35,211016,102161,0,1925,26,1577616,9563,2020-09-02
22,Saudi Arabia,317486,816,3956,27,292510,21020,1523,9096,113,5026127,143997,2020-09-02
23,Pakistan,296590,441,6318,20,281459,8813,584,1338,29,2662508,12015,2020-09-02
24,France,293024,7017,30686,25,86963,175375,446,4487,470,7500000,114857,2020-09-02
25,Turkey,273301,1596,6462,45,246876,19963,1017,3235,76,7355862,87059,2020-09-02
26,Italy,271515,1326,35497,6,208201,27817,109,4492,587,8828868,146061,2020-09-02
27,Germany,247391,1390,9393,12,223100,14898,228,2951,112,11208091,133700,2020-09-02
28,Iraq,242284,3946,7201,78,184205,50878,527,6002,178,1647454,40809,2020-09-02
29,Philippines,226440,2218,3623,27,158610,64207,837,2062,33,2666941,24283,2020-09-02
30,Indonesia,180646,3075,7616,111,129971,43059,0,659,28,2301628,8400,2020-09-02
31,Canada,129923,498,9135,3,115050,5738,52,3437,242,5545549,146713,2020-09-02
32,Ukraine,125789,2495,2656,51,58817,64316,177,2879,61,1597707,36571,2020-09-02
33,Israel,121464,2926,969,12,97234,23261,423,13206,105,2354222,255961,2020-09-02
34,Qatar,119206,212,199,1,116111,2896,60,42455,71,639742,227844,2020-09-02
35,Bolivia,117267,669,5101,74,62124,50042,71,10023,436,243331,20798,2020-09-02
36,Ecuador,115457,1148,6619,48,101867,6971,363,6527,374,334945,18936,2020-09-02
37,Kazakhstan,105944,72,1588,0,97371,6985,221,5631,84,2434444,129391,2020-09-02
38,Egypt,99280,165,5461,21,74626,19193,41,967,53,135000,1315,2020-09-02
39,Dominican Republic,95627,648,1765,27,69519,24343,217,8800,162,376121,34613,2020-09-02
40,Panama,94084,532,2030,12,67487,24567,168,21748,469,347147,80245,2020-09-02
41,Romania,89891,1298,3721,40,38701,47469,519,4678,194,1852088,96388,2020-09-02
42,Kuwait,86478,667,535,1,78209,7734,92,20200,125,626041,146232,2020-09-02
43,Oman,85928,0,689,0,81024,4215,154,16758,134,309212,60302,2020-09-02
44,Belgium,85487,251,9897,2,18457,57133,68,7371,853,2289784,197424,2020-09-02
45,Sweden,84532,0,5820,5,0,0,14,8361,576,1094856,108294,2020-09-02
46,Guatemala,75644,751,2790,12,63688,9166,5,4209,155,249569,13888,2020-09-02
47,Belarus,72141,179,691,5,70900,550,0,7635,73,1543966,163404,2020-09-02
48,Netherlands,71863,734,6235,5,0,0,32,4192,364,1455274,84898,2020-09-02
49,UAE,71540,735,387,3,62029,9124,0,7219,39,7257053,732254,2020-09-02
50,Japan,69001,609,1307,11,58428,9266,225,546,10,1510462,11949,2020-09-02
51,Poland,68517,595,2078,20,47865,18574,83,1811,55,2777601,73405,2020-09-02
52,Morocco,65453,1672,1216,32,50357,13880,31,1770,33,1978840,53505,2020-09-02
