index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,76923,635,2441,96,22691,11477,2020-02-22,,,,,
1,Diamond Princess,634,0,2,0,17,27,2020-02-22,,,,,
2,S. Korea,433,224,2,0,18,9,2020-02-22,,,,,
3,Japan,134,25,1,0,22,6,2020-02-22,,,,,
4,Singapore,89,3,0,0,49,5,2020-02-22,,,,,
5,Italy,79,58,2,1,2,18,2020-02-22,,,,,
6,Hong Kong,70,1,2,0,11,6,2020-02-22,,,,,
7,Thailand,35,0,0,0,20,2,2020-02-22,,,,,
8,USA,35,0,0,0,6,0,2020-02-22,,,,,
9,Iran,29,11,6,2,0,0,2020-02-22,,,,,
10,Taiwan,26,0,1,0,2,1,2020-02-22,,,,,
11,Malaysia,22,0,0,0,17,0,2020-02-22,,,,,
12,Australia,21,2,0,0,11,0,2020-02-22,,,,,
13,Germany,16,0,0,0,14,0,2020-02-22,,,,,
14,Vietnam,16,0,0,0,15,0,2020-02-22,,,,,
15,U.A.E.,13,2,0,0,3,2,2020-02-22,,,,,
16,France,12,0,1,0,10,0,2020-02-22,,,,,
17,Macao,10,0,0,0,6,0,2020-02-22,,,,,
18,Canada,9,0,0,0,3,0,2020-02-22,,,,,
19,U.K.,9,0,0,0,8,0,2020-02-22,,,,,
20,Philippines,3,0,1,0,2,0,2020-02-22,,,,,
21,India,3,0,0,0,3,0,2020-02-22,,,,,
22,Russia,2,0,0,0,2,0,2020-02-22,,,,,
23,Spain,2,0,0,0,2,0,2020-02-22,,,,,
24,Belgium,1,0,0,0,1,0,2020-02-22,,,,,
25,Cambodia,1,0,0,0,1,0,2020-02-22,,,,,
26,Egypt,1,0,0,0,1,0,2020-02-22,,,,,
27,Finland,1,0,0,0,1,0,2020-02-22,,,,,
28,Israel,1,0,0,0,0,0,2020-02-22,,,,,
29,Lebanon,1,0,0,0,0,0,2020-02-22,,,,,
30,Nepal,1,0,0,0,1,0,2020-02-22,,,,,
31,Sri Lanka,1,0,0,0,1,0,2020-02-22,,,,,
32,Sweden,1,0,0,0,0,0,2020-02-22,,,,,
33,Iraq,1,1,0,0,0,0,2020-02-22,,,,,
