index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,8185305,52499,294954,1213,5074155,2816196,17987,0,0,0,0,2020-09-17
1,Asia,9099804,128815,171716,1833,7387983,1540105,19610,0,0,0,0,2020-09-17
2,South America,7351756,59281,234197,1537,6093963,1023596,15400,0,0,0,0,2020-09-17
3,Europe,4273324,53685,214850,615,2296849,1761625,6922,0,0,0,0,2020-09-17
4,Africa,1388800,8567,33484,176,1138062,217254,1457,0,0,0,0,2020-09-17
5,Oceania,30295,41,867,8,26455,2973,24,0,0,0,0,2020-09-17
6,,721,0,15,0,651,55,4,0,0,0,0,2020-09-17
7,World,30330005,302888,950083,5382,22018118,7361804,61404,3891,1219,0,0,2020-09-17
8,USA,6870529,42228,202141,807,4149402,2518986,14283,20731,610,95148949,287099,2020-09-17
9,India,5212686,96793,84404,1174,4109828,1018454,8944,3769,61,60565728,43797,2020-09-17
10,Brazil,4457443,35757,135031,857,3753082,569330,8318,20939,634,14617980,68668,2020-09-17
11,Russia,1085281,5762,19061,144,895868,170352,2300,7436,131,41748928,286054,2020-09-17
12,Peru,744400,0,31051,0,587717,125632,1452,22511,939,3592221,108632,2020-09-17
13,Colombia,743945,7568,23665,187,615457,104823,863,14588,464,3298415,64679,2020-09-17
14,Mexico,680931,4444,71978,300,485024,123929,2747,5270,557,1545572,11961,2020-09-17
15,South Africa,655572,2128,15772,67,585303,54497,539,11024,265,3983533,66989,2020-09-17
16,Spain,625651,11291,30405,162,0,0,1331,13380,650,10756835,230050,2020-09-17
17,Argentina,601713,12701,12460,344,456347,132906,3108,13288,275,1653616,36517,2020-09-17
18,Chile,441150,1863,12142,84,413928,15080,895,23036,634,2942651,153656,2020-09-17
19,France,415481,10593,31095,50,90840,293546,800,6362,476,10000000,153129,2020-09-17
20,Iran,413149,2815,23808,176,353848,35493,3848,4906,283,3667551,43548,2020-09-17
21,UK,381614,3395,41705,21,0,0,124,5615,614,20521243,301952,2020-09-17
22,Bangladesh,344264,1593,4859,36,250412,88993,0,2086,29,1783779,10808,2020-09-17
23,Saudi Arabia,328144,593,4399,30,307207,16538,1180,9395,126,5917184,169417,2020-09-17
24,Iraq,307385,4326,8332,84,241100,57953,586,7607,206,1998295,49454,2020-09-17
25,Pakistan,303634,545,6399,6,291169,6066,593,1369,29,3056795,13783,2020-09-17
26,Turkey,298039,1648,7315,66,263745,26979,1372,3526,87,8965165,106059,2020-09-17
27,Italy,293025,1585,35658,13,215954,41413,212,4848,590,10146324,167867,2020-09-17
28,Philippines,276289,3375,4785,53,208096,63408,1048,2514,44,3234856,29438,2020-09-17
29,Germany,269042,2177,9457,8,241300,18285,237,3209,113,14557136,173627,2020-09-17
30,Indonesia,232628,3635,9222,122,166686,56720,0,849,34,2796924,10203,2020-09-17
31,Israel,175256,4791,1169,8,126329,47758,573,19055,127,2931763,318753,2020-09-17
32,Ukraine,166244,3584,3400,60,73913,88931,177,3806,78,1925482,44085,2020-09-17
33,Canada,140539,792,9199,6,122836,8504,55,3717,243,6354657,168059,2020-09-17
34,Bolivia,128872,586,7478,31,87031,34363,71,11009,639,280523,23963,2020-09-17
35,Qatar,122693,244,208,0,119613,2872,58,43697,74,709132,252557,2020-09-17
36,Ecuador,122257,732,11029,33,97063,14165,375,6908,623,370864,20954,2020-09-17
37,Romania,108690,1679,4312,27,43244,61134,460,5658,224,2160669,112478,2020-09-17
38,Kazakhstan,107056,72,1671,0,101455,3930,221,5687,89,2733455,145213,2020-09-17
39,Dominican Republic,106136,615,2022,13,79363,24751,210,9763,186,422070,38826,2020-09-17
40,Panama,104138,672,2213,15,77881,24044,152,24056,511,417620,96473,2020-09-17
41,Egypt,101641,141,5715,19,87158,8768,41,989,56,135000,1314,2020-09-17
42,Kuwait,97824,825,575,4,87911,9338,94,22836,134,695556,162371,2020-09-17
43,Belgium,95948,1153,9935,5,18810,67203,74,8271,856,2711919,233779,2020-09-17
44,Morocco,94504,2488,1714,28,74930,17860,261,2554,46,2295811,62045,2020-09-17
45,Oman,91753,557,818,13,84648,6287,180,17875,159,309212,60240,2020-09-17
46,Netherlands,88073,1753,6266,6,0,0,66,5138,366,2042887,119167,2020-09-17
47,Sweden,87885,0,5864,5,0,0,15,8691,580,1393161,137764,2020-09-17
48,Guatemala,83664,740,3036,27,73260,7368,5,4652,169,283578,15768,2020-09-17
49,UAE,82568,786,402,0,72117,10049,0,8327,41,8464974,853715,2020-09-17
50,Japan,77009,561,1473,12,69253,6283,167,609,12,1786342,14133,2020-09-17
51,Poland,76571,837,2253,16,62725,11593,84,2024,60,3060844,80894,2020-09-17
52,Belarus,74987,224,771,4,72967,1249,0,7936,82,1686218,178461,2020-09-17
53,Honduras,69660,1040,2102,15,19983,47575,26,7010,212,161483,16250,2020-09-17
54,Ethiopia,66913,689,1060,15,27085,38768,300,579,9,1176252,10180,2020-09-17
55,Portugal,66396,770,1888,10,44794,19714,59,6516,185,2345680,230188,2020-09-17
56,Venezuela,63416,0,511,0,51274,11631,146,2232,18,1864663,65614,2020-09-17
57,Bahrain,63189,705,217,1,56087,6885,40,36881,127,1301170,759438,2020-09-17
58,Costa Rica,60818,1302,666,17,22662,37490,245,11916,130,190570,37338,2020-09-17
59,Nepal,59573,1246,383,4,42949,16241,0,2037,13,882915,30190,2020-09-17
60,Singapore,57532,18,27,0,57039,466,0,9818,5,2498073,426287,2020-09-17
61,Nigeria,56735,131,1093,2,48092,7550,7,274,5,482321,2328,2020-09-17
62,Uzbekistan,49627,612,413,6,45970,3244,243,1478,12,1377915,41046,2020-09-17
63,Algeria,49194,228,1654,9,34675,12865,31,1118,38,0,0,2020-09-17
64,Switzerland,48795,530,2042,3,39900,6853,27,5629,236,1237621,142780,2020-09-17
65,Armenia,46671,295,925,2,42231,3515,0,15744,312,252158,85061,2020-09-17
66,Ghana,45714,59,294,0,44896,524,5,1465,9,454912,14578,2020-09-17
67,Kyrgyzstan,45153,81,1063,0,41317,2773,24,6897,162,267718,40895,2020-09-17
68,Moldova,44983,622,1170,11,33239,10574,549,11157,290,246764,61202,2020-09-17
69,Czechia,44155,3123,489,7,23377,20289,91,4122,46,1123221,104844,2020-09-17
70,Afghanistan,38872,17,1436,0,32505,4931,93,994,37,107858,2758,2020-09-17
71,Azerbaijan,38777,119,571,2,36289,1917,0,3817,56,1035286,101914,2020-09-17
72,Kenya,36576,183,642,5,23611,12323,44,677,12,504988,9349,2020-09-17
73,Austria,35853,780,758,0,28044,7051,55,3976,84,1395111,154715,2020-09-17
74,Palestine,33843,837,244,1,23060,10539,0,6603,48,359873,70210,2020-09-17
75,Serbia,32695,82,738,2,31512,445,21,3745,85,1056256,120995,2020-09-17
76,Ireland,32023,224,1789,1,23364,6870,14,6470,361,1001647,202378,2020-09-17
77,Paraguay,30419,0,566,0,15740,14113,145,4254,79,239172,33446,2020-09-17
78,El Salvador,27249,86,801,5,20392,6056,94,4197,123,357309,55028,2020-09-17
79,Australia,26813,34,832,8,23792,2189,16,1049,33,7173728,280640,2020-09-17
80,Lebanon,26768,685,263,4,10217,16288,128,3926,39,689210,101075,2020-09-17
81,Libya,25822,886,409,15,13908,11505,0,3747,59,173161,25129,2020-09-17
82,Bosnia and Herzegovina,24605,394,747,11,17219,6639,0,7510,228,215696,65834,2020-09-17
83,S. Korea,22657,153,372,5,19543,2742,160,442,7,2191892,42745,2020-09-17
84,Denmark,21393,453,635,1,16918,3840,3,3691,110,3191967,550666,2020-09-17
85,Cameroon,20303,0,415,0,18837,1051,30,761,16,149000,5585,2020-09-17
86,Ivory Coast,19158,26,120,0,18330,708,0,723,5,147565,5566,2020-09-17
87,Bulgaria,18544,154,749,10,13391,4404,37,2673,108,482823,69601,2020-09-17
88,North Macedonia,16274,186,675,7,13635,1964,3,7811,324,171155,82154,2020-09-17
89,Madagascar,15925,54,216,1,14547,1162,25,572,8,66036,2372,2020-09-17
90,Hungary,15170,710,663,9,4227,10280,21,1571,69,580072,60080,2020-09-17
91,Senegal,14618,50,300,1,10923,3395,31,868,18,162811,9672,2020-09-17
92,Greece,14400,359,325,9,3804,10271,69,1383,31,1170292,112398,2020-09-17
93,Croatia,14279,250,238,2,11933,2108,24,3483,58,242886,59244,2020-09-17
94,Zambia,13928,41,326,0,13029,573,0,753,18,135021,7303,2020-09-17
95,Sudan,13535,0,836,0,6759,5940,0,307,19,0,0,2020-09-17
