index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,79828,4,2870,0,34839,42119,7365,2020-03-01,,,,
1,S. Korea,3736,586,21,4,3685,30,10,2020-03-01,,,,
2,Italy,1694,566,34,5,1577,83,140,2020-03-01,,,,
3,Iran,978,385,54,11,749,175,0,2020-03-01,,,,
4,Diamond Princess,705,0,7,1,688,10,36,2020-03-01,,,,
5,Japan,256,15,6,1,208,42,19,2020-03-01,,,,
6,France,130,30,2,0,116,12,9,2020-03-01,,,,
7,Germany,130,51,0,0,114,16,2,2020-03-01,,,,
8,Singapore,106,4,0,0,32,74,7,2020-03-01,,,,
9,Hong Kong,100,5,2,0,62,36,6,2020-03-01,,,,
10,Spain,84,26,0,0,82,2,3,2020-03-01,,,,
11,USA,75,7,1,0,65,9,4,2020-03-01,,,,
12,Bahrain,47,6,0,0,47,0,0,2020-03-01,,,,
13,Kuwait,46,1,0,0,46,0,0,2020-03-01,,,,
14,Thailand,42,0,1,1,11,30,1,2020-03-01,,,,
15,Taiwan,40,1,1,0,27,12,1,2020-03-01,,,,
16,U.K.,36,13,0,0,28,8,0,2020-03-01,,,,
17,Australia,29,4,1,1,13,15,0,2020-03-01,,,,
18,Malaysia,29,4,0,0,7,22,0,2020-03-01,,,,
19,Canada,24,4,0,0,20,4,0,2020-03-01,,,,
20,Switzerland,24,5,0,0,23,1,0,2020-03-01,,,,
21,U.A.E.,21,0,0,0,16,5,2,2020-03-01,,,,
22,Iraq,19,6,0,0,19,0,0,2020-03-01,,,,
23,Norway,19,4,0,0,19,0,0,2020-03-01,,,,
24,Vietnam,16,0,0,0,0,16,0,2020-03-01,,,,
25,Austria,14,4,0,0,14,0,0,2020-03-01,,,,
26,Sweden,14,1,0,0,14,0,0,2020-03-01,,,,
27,Macao,10,0,0,0,4,6,0,2020-03-01,,,,
28,Israel,10,3,0,0,9,1,0,2020-03-01,,,,
29,Lebanon,10,3,0,0,10,0,0,2020-03-01,,,,
30,Netherlands,10,3,0,0,10,0,1,2020-03-01,,,,
31,Croatia,7,1,0,0,7,0,0,2020-03-01,,,,
32,Greece,7,0,0,0,7,0,0,2020-03-01,,,,
33,Ecuador,6,5,0,0,6,0,1,2020-03-01,,,,
34,Finland,6,3,0,0,5,1,0,2020-03-01,,,,
35,Oman,6,0,0,0,5,1,0,2020-03-01,,,,
36,Mexico,5,1,0,0,5,0,0,2020-03-01,,,,
37,Denmark,4,1,0,0,4,0,0,2020-03-01,,,,
38,Pakistan,4,0,0,0,4,0,0,2020-03-01,,,,
39,Philippines,3,0,1,0,0,2,0,2020-03-01,,,,
40,Azerbaijan,3,0,0,0,3,0,0,2020-03-01,,,,
41,Czechia,3,3,0,0,3,0,0,2020-03-01,,,,
42,Georgia,3,0,0,0,3,0,0,2020-03-01,,,,
43,Iceland,3,2,0,0,3,0,0,2020-03-01,,,,
44,India,3,0,0,0,0,3,0,2020-03-01,,,,
45,Qatar,3,2,0,0,3,0,0,2020-03-01,,,,
46,Romania,3,0,0,0,2,1,0,2020-03-01,,,,
47,Algeria,2,1,0,0,2,0,0,2020-03-01,,,,
48,Belgium,2,1,0,0,1,1,0,2020-03-01,,,,
49,Brazil,2,0,0,0,2,0,0,2020-03-01,,,,
50,Egypt,2,1,0,0,1,1,0,2020-03-01,,,,
51,Russia,2,0,0,0,0,2,0,2020-03-01,,,,
52,Afghanistan,1,0,0,0,1,0,0,2020-03-01,,,,
53,Armenia,1,1,0,0,1,0,0,2020-03-01,,,,
54,Belarus,1,0,0,0,1,0,0,2020-03-01,,,,
55,Cambodia,1,0,0,0,0,1,0,2020-03-01,,,,
56,Dominican Republic,1,1,0,0,1,0,0,2020-03-01,,,,
57,Estonia,1,0,0,0,1,0,0,2020-03-01,,,,
58,Ireland,1,0,0,0,1,0,0,2020-03-01,,,,
59,Lithuania,1,0,0,0,1,0,0,2020-03-01,,,,
60,Luxembourg,1,0,0,0,1,0,0,2020-03-01,,,,
61,North Macedonia,1,0,0,0,1,0,0,2020-03-01,,,,
62,Monaco,1,0,0,0,1,0,0,2020-03-01,,,,
63,Nepal,1,0,0,0,0,1,0,2020-03-01,,,,
64,New Zealand,1,0,0,0,1,0,0,2020-03-01,,,,
65,Nigeria,1,0,0,0,1,0,0,2020-03-01,,,,
66,San Marino,1,0,0,0,1,0,1,2020-03-01,,,,
67,Sri Lanka,1,0,0,0,0,1,0,2020-03-01,,,,
68,Total:,88377,1764,3001,24,42633,42743,7608,2020-03-01,,,,
