index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,78832,8,2788,0,36476,7952,2020-02-28,,,,,
1,S. Korea,2337,571,16,3,24,7,2020-02-28,,,,,
2,Italy,889,234,21,4,46,64,2020-02-28,,,,,
3,Diamond Princess,705,0,6,2,10,34,2020-02-28,,,,,
4,Iran,388,143,34,8,73,0,2020-02-28,,,,,
5,Japan,233,19,5,1,32,13,2020-02-28,,,,,
6,Singapore,96,0,0,0,69,8,2020-02-28,,,,,
7,Hong Kong,93,1,2,0,18,6,2020-02-28,,,,,
8,USA,63,3,0,0,6,1,2020-02-28,,,,,
9,Germany,60,11,0,0,16,2,2020-02-28,,,,,
10,France,57,19,2,0,11,1,2020-02-28,,,,,
11,Kuwait,45,2,0,0,0,0,2020-02-28,,,,,
12,Thailand,41,1,0,0,28,2,2020-02-28,,,,,
13,Bahrain,38,5,0,0,0,0,2020-02-28,,,,,
14,Taiwan,34,2,1,0,5,1,2020-02-28,,,,,
15,Spain,33,8,0,0,2,2,2020-02-28,,,,,
16,Malaysia,25,3,0,0,20,0,2020-02-28,,,,,
17,Australia,24,1,0,0,15,0,2020-02-28,,,,,
18,U.K.,20,4,0,0,8,0,2020-02-28,,,,,
19,U.A.E.,19,0,0,0,5,2,2020-02-28,,,,,
20,Vietnam,16,0,0,0,16,0,2020-02-28,,,,,
21,Switzerland,15,7,0,0,0,0,2020-02-28,,,,,
22,Canada,14,0,0,0,3,0,2020-02-28,,,,,
23,Sweden,11,4,0,0,0,0,2020-02-28,,,,,
24,Macao,10,0,0,0,6,0,2020-02-28,,,,,
25,Iraq,8,1,0,0,0,0,2020-02-28,,,,,
26,Israel,7,4,0,0,1,0,2020-02-28,,,,,
27,Austria,6,1,0,0,0,0,2020-02-28,,,,,
28,Norway,6,2,0,0,0,0,2020-02-28,,,,,
29,Oman,6,0,0,0,0,0,2020-02-28,,,,,
30,Croatia,5,2,0,0,0,0,2020-02-28,,,,,
31,Greece,4,1,0,0,0,0,2020-02-28,,,,,
32,Philippines,3,0,1,0,2,0,2020-02-28,,,,,
33,Finland,3,1,0,0,1,0,2020-02-28,,,,,
34,India,3,0,0,0,3,0,2020-02-28,,,,,
35,Lebanon,3,0,0,0,0,0,2020-02-28,,,,,
36,Romania,3,2,0,0,1,0,2020-02-28,,,,,
37,Denmark,2,1,0,0,0,0,2020-02-28,,,,,
38,Georgia,2,1,0,0,0,0,2020-02-28,,,,,
39,Mexico,2,2,0,0,0,0,2020-02-28,,,,,
40,Netherlands,2,1,0,0,0,0,2020-02-28,,,,,
41,Pakistan,2,0,0,0,0,0,2020-02-28,,,,,
42,Russia,2,0,0,0,2,0,2020-02-28,,,,,
43,Afghanistan,1,0,0,0,0,0,2020-02-28,,,,,
44,Algeria,1,0,0,0,0,0,2020-02-28,,,,,
45,Azerbaijan,1,1,0,0,0,0,2020-02-28,,,,,
46,Belarus,1,1,0,0,0,0,2020-02-28,,,,,
47,Belgium,1,0,0,0,1,0,2020-02-28,,,,,
48,Brazil,1,0,0,0,0,0,2020-02-28,,,,,
49,Cambodia,1,0,0,0,1,0,2020-02-28,,,,,
50,Egypt,1,0,0,0,1,0,2020-02-28,,,,,
51,Estonia,1,0,0,0,0,0,2020-02-28,,,,,
52,Iceland,1,1,0,0,0,0,2020-02-28,,,,,
53,Lithuania,1,1,0,0,0,0,2020-02-28,,,,,
54,North Macedonia,1,0,0,0,0,0,2020-02-28,,,,,
55,Nepal,1,0,0,0,1,0,2020-02-28,,,,,
56,New Zealand,1,1,0,0,0,0,2020-02-28,,,,,
57,Nigeria,1,1,0,0,0,0,2020-02-28,,,,,
58,San Marino,1,0,0,0,0,0,2020-02-28,,,,,
59,Sri Lanka,1,0,0,0,1,0,2020-02-28,,,,,
