index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80967,0,3248,0,71150,6569,2136,56,2020-03-20,,,
1,Italy,47021,5986,4032,627,5129,37860,2655,778,2020-03-20,,,
2,Spain,21510,3433,1093,262,1588,18829,939,460,2020-03-20,,,
3,Germany,19848,4528,68,24,180,19600,2,237,2020-03-20,,,
4,Iran,19644,1237,1433,149,6745,11466,0,234,2020-03-20,,,
5,USA,19387,5598,256,49,147,18984,64,59,2020-03-20,,,
6,France,12612,1617,450,78,1587,10575,1297,193,2020-03-20,,,
7,S. Korea,8652,87,94,3,2233,6325,59,169,2020-03-20,,,
8,Switzerland,5407,1185,56,13,15,5336,0,625,2020-03-20,,,
9,UK,3983,714,177,33,65,3741,20,59,2020-03-20,,,
10,Netherlands,2994,534,106,30,2,2886,210,175,2020-03-20,,,
11,Austria,2649,470,6,0,9,2634,14,294,2020-03-20,,,
12,Belgium,2257,462,37,16,204,2016,164,195,2020-03-20,,,
13,Norway,1952,162,7,0,1,1944,27,360,2020-03-20,,,
14,Sweden,1639,200,16,5,16,1607,21,162,2020-03-20,,,
15,Denmark,1255,104,9,3,1,1245,37,217,2020-03-20,,,
16,Canada,1077,204,12,0,14,1051,1,29,2020-03-20,,,
17,Malaysia,1030,130,3,1,87,940,26,32,2020-03-20,,,
18,Portugal,1020,234,6,2,5,1009,26,100,2020-03-20,,,
19,Brazil,970,330,11,4,2,957,18,5,2020-03-20,,,
20,Japan,963,20,33,0,215,715,50,8,2020-03-20,,,
21,Australia,877,121,7,0,46,824,2,34,2020-03-20,,,
22,Czechia,833,139,0,0,4,829,6,78,2020-03-20,,,
23,Diamond Princess,712,0,8,1,527,177,14,0,2020-03-20,,,
24,Israel,705,28,1,1,15,689,10,81,2020-03-20,,,
25,Ireland,683,126,3,0,5,675,6,138,2020-03-20,,,
26,Turkey,670,311,9,5,0,661,0,8,2020-03-20,,,
27,Pakistan,501,47,3,1,13,485,0,2,2020-03-20,,,
28,Greece,495,31,10,4,19,466,20,47,2020-03-20,,,
29,Luxembourg,484,149,5,1,6,473,1,773,2020-03-20,,,
30,Qatar,470,10,0,0,10,460,6,163,2020-03-20,,,
31,Finland,450,50,0,0,10,440,2,81,2020-03-20,,,
32,Chile,434,92,0,0,6,428,7,23,2020-03-20,,,
33,Ecuador,426,166,7,4,3,416,2,24,2020-03-20,,,
