index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80817,3,3177,0,64152,13488,4020,561,2020-03-13,,,
1,Italy,17660,2547,1266,250,1439,14955,1328,2921,2020-03-13,,,
2,Iran,11364,1289,514,85,3529,7321,0,1353,2020-03-13,,,
3,S. Korea,7979,110,71,5,510,7398,93,1556,2020-03-13,,,
4,Spain,5232,2086,133,47,193,4906,190,1119,2020-03-13,,,
5,Germany,3675,930,8,2,46,3621,9,439,2020-03-13,,,
6,France,3661,785,79,18,12,3570,154,561,2020-03-13,,,
7,USA,2269,572,48,7,41,2180,10,69,2020-03-13,,,
8,Switzerland,1139,271,11,4,4,1124,0,1316,2020-03-13,,,
9,Norway,996,196,1,0,1,994,27,1837,2020-03-13,,,
10,Sweden,814,127,1,0,1,812,2,806,2020-03-13,,,
11,Netherlands,804,190,10,5,2,792,1,469,2020-03-13,,,
12,Denmark,801,127,0,0,1,800,2,1383,2020-03-13,,,
13,UK,798,208,11,1,18,769,20,118,2020-03-13,,,
14,Japan,701,10,19,0,118,564,29,55,2020-03-13,,,
15,Diamond Princess,696,0,7,0,325,364,32,0,2020-03-13,,,
16,Belgium,559,160,3,0,1,555,2,482,2020-03-13,,,
17,Austria,504,143,1,0,6,497,1,560,2020-03-13,,,
18,Qatar,320,58,0,0,0,320,0,1111,2020-03-13,,,
19,Bahrain,210,13,0,0,44,166,1,1234,2020-03-13,,,
20,Singapore,200,13,0,0,97,103,11,342,2020-03-13,,,
21,Australia,199,43,3,0,26,170,1,78,2020-03-13,,,
22,Canada,198,56,1,0,11,186,1,52,2020-03-13,,,
23,Malaysia,197,39,0,0,32,165,4,61,2020-03-13,,,
24,Greece,190,73,1,0,2,187,2,182,2020-03-13,,,
25,Finland,155,46,0,0,1,154,0,280,2020-03-13,,,
26,Brazil,151,74,0,0,0,151,2,7,2020-03-13,,,
27,Czechia,141,25,0,0,0,141,2,132,2020-03-13,,,
28,Slovenia,141,45,0,0,0,141,4,678,2020-03-13,,,
29,Iceland,134,17,0,0,0,134,0,0,2020-03-13,,,
30,Hong Kong,132,1,4,1,77,51,4,176,2020-03-13,,,
31,Israel,126,17,0,0,4,122,2,146,2020-03-13,,,
32,Portugal,112,34,0,0,1,111,1,110,2020-03-13,,,
33,Iraq,101,18,9,1,24,68,0,25,2020-03-13,,,
34,Kuwait,100,20,0,0,5,95,4,234,2020-03-13,,,
35,Ireland,90,20,1,0,0,89,6,182,2020-03-13,,,
36,Romania,89,30,0,0,7,82,1,46,2020-03-13,,,
37,Saudi Arabia,86,41,0,0,1,85,0,25,2020-03-13,,,
38,UAE,85,0,0,0,20,65,2,86,2020-03-13,,,
39,India,82,8,2,1,10,70,0,1,2020-03-13,,,
40,San Marino,80,8,5,0,2,73,3,0,2020-03-13,,,
41,Egypt,80,0,2,0,27,51,0,8,2020-03-13,,,
42,Estonia,79,52,0,0,0,79,0,596,2020-03-13,,,
43,Lebanon,77,9,3,0,1,73,3,113,2020-03-13,,,
44,Thailand,75,5,1,0,35,39,1,11,2020-03-13,,,
45,Indonesia,69,35,4,3,5,60,0,3,2020-03-13,,,
46,Poland,68,17,2,1,0,66,3,18,2020-03-13,,,
47,Philippines,64,12,5,0,2,57,1,6,2020-03-13,,,
48,Taiwan,50,1,1,0,20,29,0,21,2020-03-13,,,
49,Russia,45,11,0,0,8,37,0,3,2020-03-13,,,
50,Vietnam,44,0,0,0,16,28,0,5,2020-03-13,,,
51,Chile,43,10,0,0,0,43,0,22,2020-03-13,,,
52,Brunei,37,12,0,0,0,37,0,0,2020-03-13,,,
53,Serbia,35,11,0,0,0,35,1,40,2020-03-13,,,
54,Palestine,35,4,0,0,0,35,0,69,2020-03-13,,,
55,Luxembourg,34,8,0,0,0,34,1,0,2020-03-13,,,
56,Albania,33,10,1,0,0,32,0,115,2020-03-13,,,
57,Croatia,32,5,0,0,1,31,0,78,2020-03-13,,,
58,Slovakia,32,11,0,0,0,32,0,59,2020-03-13,,,
59,Argentina,31,0,2,1,0,29,1,7,2020-03-13,,,
60,Pakistan,28,7,0,0,2,26,0,1,2020-03-13,,,
61,Peru,28,6,0,0,0,28,0,8,2020-03-13,,,
62,Panama,27,13,1,0,0,26,0,63,2020-03-13,,,
63,Belarus,27,6,0,0,3,24,0,29,2020-03-13,,,
64,Algeria,26,0,2,0,10,14,0,6,2020-03-13,,,
65,Georgia,25,0,0,0,0,25,1,63,2020-03-13,,,
66,South Africa,24,8,0,0,0,24,0,4,2020-03-13,,,
67,Bulgaria,23,0,1,0,0,22,0,33,2020-03-13,,,
68,Costa Rica,23,0,0,0,0,23,1,45,2020-03-13,,,
69,Ecuador,19,2,0,0,0,19,1,11,2020-03-13,,,
70,Oman,19,1,0,0,9,10,0,37,2020-03-13,,,
71,Hungary,19,3,0,0,0,19,0,20,2020-03-13,,,
72,Bosnia and Herzegovina,18,7,0,0,0,18,0,55,2020-03-13,,,
73,Latvia,17,1,0,0,1,16,0,90,2020-03-13,,,
74,Tunisia,16,3,0,0,0,16,2,14,2020-03-13,,,
75,Azerbaijan,15,0,1,0,3,11,0,15,2020-03-13,,,
76,North Macedonia,14,5,0,0,1,13,0,67,2020-03-13,,,
77,Cyprus,14,4,0,0,0,14,0,116,2020-03-13,,,
78,Colombia,13,4,0,0,0,13,0,3,2020-03-13,,,
79,Mexico,12,0,0,0,4,8,1,1,2020-03-13,,,
80,Malta,12,3,0,0,1,11,0,0,2020-03-13,,,
81,Macao,10,0,0,0,10,0,0,0,2020-03-13,,,
