index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80430,21,3013,1,25154,52263,5952,2020-03-05,,,,
1,S. Korea,6088,467,40,5,5913,135,52,2020-03-05,,,,
2,Italy,3858,769,148,41,3296,414,351,2020-03-05,,,,
3,Iran,3513,591,108,16,2666,739,0,2020-03-05,,,,
4,Diamond Princess,696,0,6,0,478,212,35,2020-03-05,,,,
5,Germany,545,283,0,0,528,17,2,2020-03-05,,,,
6,France,423,138,7,3,404,12,23,2020-03-05,,,,
7,Japan,364,33,6,0,315,43,29,2020-03-05,,,,
8,Spain,282,54,3,1,276,3,7,2020-03-05,,,,
9,USA,213,55,12,1,192,9,8,2020-03-05,,,,
10,Switzerland,118,25,1,1,114,3,0,2020-03-05,,,,
11,Singapore,117,5,0,0,36,81,7,2020-03-05,,,,
12,UK,116,29,1,1,97,18,0,2020-03-05,,,,
13,Hong Kong,105,2,2,0,66,37,6,2020-03-05,,,,
14,Sweden,94,42,0,0,93,1,0,2020-03-05,,,,
15,Norway,91,32,0,0,91,0,0,2020-03-05,,,,
16,Netherlands,82,44,0,0,82,0,1,2020-03-05,,,,
17,Australia,59,6,2,0,35,22,1,2020-03-05,,,,
18,Kuwait,58,2,0,0,58,0,0,2020-03-05,,,,
19,Bahrain,55,3,0,0,51,4,0,2020-03-05,,,,
20,Malaysia,55,5,0,0,33,22,0,2020-03-05,,,,
21,Belgium,50,27,0,0,49,1,1,2020-03-05,,,,
22,Thailand,47,4,1,0,15,31,1,2020-03-05,,,,
23,Taiwan,44,2,1,0,31,12,0,2020-03-05,,,,
24,Austria,43,14,0,0,41,2,1,2020-03-05,,,,
25,Canada,37,3,0,0,29,8,1,2020-03-05,,,,
26,Iraq,36,1,3,1,33,0,0,2020-03-05,,,,
27,Iceland,35,9,0,0,35,0,0,2020-03-05,,,,
28,Greece,31,22,0,0,31,0,0,2020-03-05,,,,
29,India,30,1,0,0,27,3,0,2020-03-05,,,,
30,UAE,28,0,0,0,23,5,2,2020-03-05,,,,
31,San Marino,21,5,1,0,20,0,3,2020-03-05,,,,
32,Denmark,20,5,0,0,19,1,0,2020-03-05,,,,
33,Algeria,17,0,0,0,17,0,0,2020-03-05,,,,
34,Israel,17,2,0,0,15,2,0,2020-03-05,,,,
35,Lebanon,16,1,0,0,16,0,1,2020-03-05,,,,
36,Oman,16,1,0,0,14,2,0,2020-03-05,,,,
37,Vietnam,16,0,0,0,0,16,0,2020-03-05,,,,
38,Ecuador,13,3,0,0,13,0,1,2020-03-05,,,,
39,Ireland,13,7,0,0,13,0,0,2020-03-05,,,,
40,Czechia,12,4,0,0,12,0,0,2020-03-05,,,,
41,Finland,12,5,0,0,11,1,0,2020-03-05,,,,
42,Macao,10,0,0,0,1,9,0,2020-03-05,,,,
43,Croatia,10,0,0,0,10,0,0,2020-03-05,,,,
44,Georgia,9,6,0,0,9,0,1,2020-03-05,,,,
45,Portugal,9,3,0,0,9,0,0,2020-03-05,,,,
46,Brazil,8,5,0,0,8,0,0,2020-03-05,,,,
47,Qatar,8,0,0,0,8,0,0,2020-03-05,,,,
48,Palestine,7,7,0,0,7,0,0,2020-03-05,,,,
49,Azerbaijan,6,3,0,0,6,0,0,2020-03-05,,,,
50,Belarus,6,0,0,0,6,0,0,2020-03-05,,,,
51,Mexico,6,0,0,0,5,1,0,2020-03-05,,,,
52,Romania,6,0,0,0,5,1,0,2020-03-05,,,,
53,Slovenia,6,5,0,0,6,0,0,2020-03-05,,,,
54,Estonia,5,3,0,0,5,0,0,2020-03-05,,,,
55,Pakistan,5,0,0,0,5,0,0,2020-03-05,,,,
56,Saudi Arabia,5,3,0,0,4,1,0,2020-03-05,,,,
57,New Zealand,4,1,0,0,4,0,0,2020-03-05,,,,
58,Russia,4,1,0,0,2,2,0,2020-03-05,,,,
59,Senegal,4,0,0,0,4,0,0,2020-03-05,,,,
60,Chile,4,1,0,0,4,0,0,2020-03-05,,,,
61,Hungary,4,2,0,0,4,0,0,2020-03-05,,,,
62,Philippines,3,0,1,0,0,2,0,2020-03-05,,,,
63,Egypt,3,1,0,0,2,1,0,2020-03-05,,,,
64,Indonesia,2,0,0,0,2,0,0,2020-03-05,,,,
65,Luxembourg,2,1,0,0,2,0,0,2020-03-05,,,,
66,Morocco,2,1,0,0,2,0,1,2020-03-05,,,,
67,Bosnia and Herzegovina,2,2,0,0,2,0,0,2020-03-05,,,,
68,Afghanistan,1,0,0,0,1,0,0,2020-03-05,,,,
69,Andorra,1,0,0,0,1,0,0,2020-03-05,,,,
70,Armenia,1,0,0,0,1,0,0,2020-03-05,,,,
71,Cambodia,1,0,0,0,0,1,0,2020-03-05,,,,
72,Dominican Republic,1,0,0,0,1,0,0,2020-03-05,,,,
73,Jordan,1,0,0,0,1,0,0,2020-03-05,,,,
74,Latvia,1,0,0,0,0,1,0,2020-03-05,,,,
75,Lithuania,1,0,0,0,1,0,0,2020-03-05,,,,
76,North Macedonia,1,0,0,0,1,0,0,2020-03-05,,,,
77,Monaco,1,0,0,0,1,0,0,2020-03-05,,,,
78,Nepal,1,0,0,0,0,1,0,2020-03-05,,,,
79,Nigeria,1,0,0,0,1,0,0,2020-03-05,,,,
80,Sri Lanka,1,0,0,0,0,1,0,2020-03-05,,,,
81,Tunisia,1,0,0,0,1,0,0,2020-03-05,,,,
82,Ukraine,1,0,0,0,1,0,0,2020-03-05,,,,
83,Argentina,1,0,0,0,1,0,0,2020-03-05,,,,
84,Costa Rica,1,1,0,0,1,0,0,2020-03-05,,,,
85,Gibraltar,1,0,0,0,1,0,0,2020-03-05,,,,
