index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81093,0,3270,0,72703,5120,1749,56,2020-03-23,,,
1,Italy,63927,4789,6077,601,7432,50418,3204,1057,2020-03-23,,,
2,USA,43469,9903,545,132,295,42629,1040,131,2020-03-23,,,
3,Spain,35136,6368,2311,539,3355,29470,2355,751,2020-03-23,,,
4,Germany,29056,4183,123,29,453,28480,23,347,2020-03-23,,,
5,Iran,23049,1411,1812,127,8376,12861,0,274,2020-03-23,,,
6,France,19856,3838,860,186,2200,16796,2082,304,2020-03-23,,,
7,S. Korea,8961,64,111,7,3166,5684,59,175,2020-03-23,,,
8,Switzerland,8795,1321,120,22,131,8544,141,1016,2020-03-23,,,
9,UK,6650,967,335,54,135,6180,20,98,2020-03-23,,,
10,Netherlands,4749,545,213,34,2,4534,435,277,2020-03-23,,,
11,Austria,4474,892,21,5,9,4444,14,497,2020-03-23,,,
12,Belgium,3743,342,88,13,401,3254,322,323,2020-03-23,,,
13,Norway,2621,236,10,3,6,2605,41,483,2020-03-23,,,
14,Canada,2091,621,24,4,320,1747,1,55,2020-03-23,,,
15,Portugal,2060,460,23,9,14,2023,47,202,2020-03-23,,,
16,Sweden,2046,112,25,4,16,2005,104,203,2020-03-23,,,
17,Brazil,1924,378,34,9,2,1888,18,9,2020-03-23,,,
18,Australia,1887,278,7,0,118,1762,11,74,2020-03-23,,,
19,Turkey,1529,293,37,7,0,1492,0,18,2020-03-23,,,
20,Malaysia,1518,212,14,4,159,1345,57,47,2020-03-23,,,
21,Denmark,1450,55,24,11,1,1425,55,250,2020-03-23,,,
22,Israel,1442,371,1,0,41,1400,29,167,2020-03-23,,,
23,Czechia,1236,116,1,0,7,1228,19,115,2020-03-23,,,
24,Japan,1128,27,42,1,235,851,49,9,2020-03-23,,,
25,Ireland,1125,219,6,2,5,1114,29,228,2020-03-23,,,
26,Ecuador,981,192,18,4,3,960,2,56,2020-03-23,,,
27,Luxembourg,875,77,8,0,6,861,3,1398,2020-03-23,,,
28,Pakistan,875,99,6,1,13,856,0,4,2020-03-23,,,
29,Poland,749,115,8,1,13,728,3,20,2020-03-23,,,
30,Chile,746,114,2,1,11,733,7,39,2020-03-23,,,
31,Thailand,721,122,1,0,52,668,7,10,2020-03-23,,,
32,Diamond Princess,712,0,8,0,567,137,15,0,2020-03-23,,,
33,Finland,700,74,1,0,10,689,13,126,2020-03-23,,,
34,Greece,695,71,17,2,29,649,35,67,2020-03-23,,,
35,Iceland,588,20,1,0,51,536,14,1723,2020-03-23,,,
36,Indonesia,579,65,49,1,30,500,0,2,2020-03-23,,,
37,Romania,576,143,7,4,73,496,15,30,2020-03-23,,,
38,Saudi Arabia,562,51,0,0,19,543,0,16,2020-03-23,,,
39,Singapore,509,54,2,0,152,355,14,87,2020-03-23,,,
40,Qatar,501,7,0,0,33,468,6,174,2020-03-23,,,
41,India,499,103,10,3,34,455,0,4,2020-03-23,,,
42,Philippines,462,82,33,8,18,411,1,4,2020-03-23,,,
43,Slovenia,442,28,3,1,0,439,12,213,2020-03-23,,,
44,Russia,438,71,1,0,17,420,0,3,2020-03-23,,,
45,South Africa,402,128,0,0,4,398,0,7,2020-03-23,,,
46,Peru,395,32,5,0,1,389,19,12,2020-03-23,,,
47,Bahrain,377,43,2,0,164,211,3,222,2020-03-23,,,
48,Egypt,366,39,19,5,68,279,0,4,2020-03-23,,,
49,Hong Kong,356,38,4,0,100,252,4,47,2020-03-23,,,
50,Estonia,352,26,0,0,4,348,4,265,2020-03-23,,,
51,Panama,345,32,6,3,1,338,33,80,2020-03-23,,,
52,Mexico,316,65,3,1,4,309,1,2,2020-03-23,,,
53,Croatia,315,61,1,0,5,309,5,77,2020-03-23,,,
54,Argentina,301,35,4,0,51,246,0,7,2020-03-23,,,
55,Colombia,277,46,3,1,3,271,0,5,2020-03-23,,,
56,Lebanon,267,19,4,0,8,255,4,39,2020-03-23,,,
57,Iraq,266,33,23,3,62,181,0,7,2020-03-23,,,
58,Serbia,249,27,3,1,3,243,12,28,2020-03-23,,,
59,Dominican Republic,245,43,3,0,3,239,0,23,2020-03-23,,,
60,Armenia,235,41,0,0,2,233,6,79,2020-03-23,,,
61,Algeria,230,29,17,0,65,148,0,5,2020-03-23,,,
62,Bulgaria,201,14,3,0,3,195,8,29,2020-03-23,,,
63,UAE,198,45,2,0,41,155,2,20,2020-03-23,,,
64,Taiwan,195,26,2,0,28,165,0,8,2020-03-23,,,
65,Kuwait,189,1,0,0,30,159,5,44,2020-03-23,,,
66,San Marino,187,12,20,0,4,163,13,5511,2020-03-23,,,
67,Slovakia,186,1,0,0,7,179,2,34,2020-03-23,,,
68,Latvia,180,41,0,0,1,179,0,95,2020-03-23,,,
69,Lithuania,179,36,1,0,1,177,1,66,2020-03-23,,,
70,Hungary,167,36,7,1,16,144,6,17,2020-03-23,,,
71,Costa Rica,158,24,2,0,2,154,2,31,2020-03-23,,,
72,Uruguay,158,0,0,0,0,158,2,45,2020-03-23,,,
73,Morocco,143,28,4,0,5,134,1,4,2020-03-23,,,
74,North Macedonia,136,21,2,1,1,133,1,65,2020-03-23,,,
75,Andorra,133,20,1,0,1,131,2,1721,2020-03-23,,,
76,Bosnia and Herzegovina,132,6,1,0,2,129,1,40,2020-03-23,,,
77,Jordan,127,15,0,0,1,126,0,12,2020-03-23,,,
78,Vietnam,123,10,0,0,17,106,2,1,2020-03-23,,,
79,Faeroe Islands,118,3,0,0,23,95,0,2415,2020-03-23,,,
80,Cyprus,116,21,1,0,3,112,3,96,2020-03-23,,,
81,Moldova,109,15,1,0,2,106,3,27,2020-03-23,,,
82,Malta,107,17,0,0,2,105,1,242,2020-03-23,,,
83,Albania,104,15,4,2,2,98,2,36,2020-03-23,,,
84,New Zealand,102,0,0,0,0,102,0,21,2020-03-23,,,
85,Burkina Faso,99,24,4,0,5,90,0,5,2020-03-23,,,
86,Sri Lanka,97,15,0,0,2,95,2,5,2020-03-23,,,
87,Brunei,91,3,0,0,2,89,2,208,2020-03-23,,,
88,Tunisia,89,14,3,0,1,85,11,8,2020-03-23,,,
89,Cambodia,87,3,0,0,2,85,1,5,2020-03-23,,,
90,Belarus,81,5,0,0,22,59,0,9,2020-03-23,,,
91,Senegal,79,12,0,0,8,71,0,5,2020-03-23,,,
92,Venezuela,77,7,0,0,15,62,2,3,2020-03-23,,,
93,Ukraine,73,0,3,0,1,69,0,2,2020-03-23,,,
94,Azerbaijan,72,7,1,0,10,61,3,7,2020-03-23,,,
95,Réunion,71,7,0,0,1,70,0,79,2020-03-23,,,
96,Oman,66,11,0,0,17,49,0,13,2020-03-23,,,
97,Guadeloupe,62,4,1,0,0,61,4,155,2020-03-23,,,
98,Kazakhstan,62,2,0,0,0,62,0,3,2020-03-23,,,
99,Georgia,61,7,0,0,8,53,1,15,2020-03-23,,,
100,Palestine,59,0,0,0,17,42,0,12,2020-03-23,,,
101,Cameroon,56,16,0,0,2,54,0,2,2020-03-23,,,
102,Martinique,53,9,1,0,0,52,7,141,2020-03-23,,,
103,Liechtenstein,51,14,0,0,0,51,0,1338,2020-03-23,,,
104,Trinidad and Tobago,51,1,0,0,0,51,0,36,2020-03-23,,,
105,Uzbekistan,46,3,0,0,0,46,0,1,2020-03-23,,,
106,Afghanistan,40,0,1,0,1,38,0,1,2020-03-23,,,
107,Cuba,40,5,1,0,0,39,3,4,2020-03-23,,,
108,Nigeria,40,10,1,1,2,37,0,2,2020-03-23,,,
109,Mauritius,36,8,2,0,0,34,1,28,2020-03-23,,,
110,DRC,36,6,1,0,0,35,0,4,2020-03-23,,,
111,Channel Islands,36,4,0,0,0,36,0,207,2020-03-23,,,
112,Rwanda,36,17,0,0,0,36,0,3,2020-03-23,,,
113,Bangladesh,33,6,3,1,5,25,0,2,2020-03-23,,,
114,Puerto Rico,31,8,2,1,1,28,0,11,2020-03-23,,,
115,Guam,29,2,1,0,0,28,0,172,2020-03-23,,,
116,Ghana,27,4,2,1,0,25,0,9,2020-03-23,,,
117,Montenegro,27,6,1,1,0,26,0,43,2020-03-23,,,
118,Bolivia,27,3,0,0,0,27,0,2,2020-03-23,,,
119,Honduras,27,1,0,0,0,27,0,3,2020-03-23,,,
120,Macao,25,3,0,0,10,15,0,39,2020-03-23,,,
121,Ivory Coast,25,11,0,0,2,23,0,9,2020-03-23,,,
122,Mayotte,24,13,0,0,0,24,0,88,2020-03-23,,,
123,Monaco,23,0,0,0,1,22,0,586,2020-03-23,,,
124,Paraguay,22,0,1,0,0,21,1,3,2020-03-23,,,
125,Guatemala,20,1,1,0,0,19,0,1,2020-03-23,,,
126,Guyana,20,1,1,0,0,19,0,25,2020-03-23,,,
127,French Guiana,20,2,0,0,6,14,0,67,2020-03-23,,,
128,Jamaica,19,0,1,0,2,16,0,6,2020-03-23,,,
129,French Polynesia,18,0,0,0,0,18,0,64,2020-03-23,,,
130,Togo,18,2,0,0,0,18,0,2,2020-03-23,,,
131,Barbados,17,3,0,0,0,17,0,59,2020-03-23,,,
132,U.S. Virgin Islands,17,11,0,0,0,17,0,163,2020-03-23,,,
133,Kenya,16,1,0,0,0,16,0,3,2020-03-23,,,
134,Kyrgyzstan,16,2,0,0,0,16,0,2,2020-03-23,,,
135,Gibraltar,15,0,0,0,5,10,0,445,2020-03-23,,,
136,Isle of Man,13,8,0,0,0,13,0,153,2020-03-23,,,
137,Maldives,13,0,0,0,5,8,0,24,2020-03-23,,,
138,Madagascar,12,9,0,0,0,12,0,4,2020-03-23,,,
139,Tanzania,12,0,0,0,0,12,0,2,2020-03-23,,,
140,Ethiopia,11,0,0,0,0,11,0,10,2020-03-23,,,
141,Mongolia,10,0,0,0,0,10,0,3,2020-03-23,,,
142,Aruba,9,0,0,0,1,8,0,84,2020-03-23,,,
143,Equatorial Guinea,9,3,0,0,0,9,0,6,2020-03-23,,,
144,Uganda,9,8,0,0,0,9,0,2,2020-03-23,,,
145,New Caledonia,8,4,0,0,0,8,0,28,2020-03-23,,,
146,Saint Martin,8,3,0,0,0,8,0,207,2020-03-23,,,
147,Seychelles,7,0,0,0,0,7,0,71,2020-03-23,,,
148,Bermuda,6,0,0,0,0,6,0,96,2020-03-23,,,
149,Haiti,6,4,0,0,0,6,0,5,2020-03-23,,,
150,Cayman Islands,5,2,1,0,0,4,0,76,2020-03-23,,,
151,Gabon,5,0,1,0,0,4,0,2,2020-03-23,,,
152,Benin,5,3,0,0,0,5,0,4,2020-03-23,,,
153,Suriname,5,0,0,0,0,5,0,9,2020-03-23,,,
154,Curaçao,4,1,1,0,0,3,0,24,2020-03-23,,,
155,Bahamas,4,0,0,0,0,4,0,10,2020-03-23,,,
156,Congo,4,1,0,0,0,4,0,7,2020-03-23,,,
157,Greenland,4,0,0,0,0,4,0,70,2020-03-23,,,
158,Guinea,4,2,0,0,0,4,0,3,2020-03-23,,,
159,Namibia,4,1,0,0,0,4,0,2,2020-03-23,,,
160,Eswatini,4,0,0,0,0,4,0,3,2020-03-23,,,
161,Zimbabwe,3,0,1,1,0,2,0,2,2020-03-23,,,
162,Angola,3,1,0,0,0,3,0,9,2020-03-23,,,
163,Antigua and Barbuda,3,2,0,0,0,3,0,31,2020-03-23,,,
164,Cabo Verde,3,0,0,0,0,3,0,5,2020-03-23,,,
165,CAR,3,0,0,0,0,3,0,6,2020-03-23,,,
166,Djibouti,3,2,0,0,0,3,0,3,2020-03-23,,,
167,El Salvador,3,0,0,0,0,3,0,5,2020-03-23,,,
168,Fiji,3,1,0,0,0,3,0,3,2020-03-23,,,
169,Liberia,3,0,0,0,0,3,0,6,2020-03-23,,,
170,Niger,3,1,0,0,0,3,0,1,2020-03-23,,,
171,St. Barth,3,0,0,0,0,3,0,304,2020-03-23,,,
172,Saint Lucia,3,1,0,0,0,3,0,16,2020-03-23,,,
173,Zambia,3,0,0,0,0,3,0,2,2020-03-23,,,
174,Gambia,2,1,1,1,0,1,0,8,2020-03-23,,,
175,Sudan,2,0,1,0,0,1,0,5,2020-03-23,,,
176,Nepal,2,1,0,0,1,1,0,7,2020-03-23,,,
177,Bhutan,2,0,0,0,0,2,0,3,2020-03-23,,,
178,Dominica,2,1,0,0,0,2,0,28,2020-03-23,,,
179,Mauritania,2,0,0,0,0,2,0,4,2020-03-23,,,
180,Myanmar,2,2,0,0,0,2,0,4,2020-03-23,,,
181,Nicaragua,2,0,0,0,0,2,0,3,2020-03-23,,,
182,Sint Maarten,2,1,0,0,0,2,0,47,2020-03-23,,,
183,Belize,1,1,0,0,0,1,0,3,2020-03-23,,,
184,Chad,1,0,0,0,0,1,0,6,2020-03-23,,,
185,Eritrea,1,0,0,0,0,1,0,3,2020-03-23,,,
186,Grenada,1,0,0,0,0,1,0,9,2020-03-23,,,
187,Vatican City,1,0,0,0,0,1,0,1248,2020-03-23,,,
188,Montserrat,1,0,0,0,0,1,0,200,2020-03-23,,,
189,Mozambique,1,0,0,0,0,1,0,3,2020-03-23,,,
190,Papua New Guinea,1,0,0,0,0,1,0,1,2020-03-23,,,
191,St. Vincent Grenadines,1,0,0,0,0,1,0,9,2020-03-23,,,
192,Somalia,1,0,0,0,0,1,0,6,2020-03-23,,,
193,Syria,1,0,0,0,0,1,0,6,2020-03-23,,,
194,Timor-Leste,1,0,0,0,0,1,0,8,2020-03-23,,,
195,Turks and Caicos,1,1,0,0,0,1,0,26,2020-03-23,,,
