index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,40199,908,3623,2020-02-10,,,,,,,,
1,Japan,161,0,4,2020-02-10,,,,,,,,
2,Singapore,45,0,7,2020-02-10,,,,,,,,
3,Hong Kong,42,1,0,2020-02-10,,,,,,,,
4,Thailand,32,0,10,2020-02-10,,,,,,,,
5,S. Korea,27,0,3,2020-02-10,,,,,,,,
6,Taiwan,18,0,1,2020-02-10,,,,,,,,
7,Malaysia,18,0,3,2020-02-10,,,,,,,,
8,Australia,15,0,5,2020-02-10,,,,,,,,
9,Vietnam,14,0,3,2020-02-10,,,,,,,,
10,Germany,14,0,0,2020-02-10,,,,,,,,
11,USA,12,0,3,2020-02-10,,,,,,,,
12,France,11,0,0,2020-02-10,,,,,,,,
13,Macao,10,0,1,2020-02-10,,,,,,,,
14,U.K.,8,0,0,2020-02-10,,,,,,,,
15,U.A.E.,8,0,1,2020-02-10,,,,,,,,
16,Canada,7,0,0,2020-02-10,,,,,,,,
17,Philippines,3,1,2,2020-02-10,,,,,,,,
18,India,3,0,0,2020-02-10,,,,,,,,
19,Italy,3,0,0,2020-02-10,,,,,,,,
20,Russia,2,0,0,2020-02-10,,,,,,,,
21,Spain,2,0,0,2020-02-10,,,,,,,,
22,Finland,1,0,1,2020-02-10,,,,,,,,
23,Nepal,1,0,0,2020-02-10,,,,,,,,
24,Sweden,1,0,0,2020-02-10,,,,,,,,
25,Sri Lanka,1,0,1,2020-02-10,,,,,,,,
26,Cambodia,1,0,1,2020-02-10,,,,,,,,
27,Belgium,1,0,0,2020-02-10,,,,,,,,
