index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,1184778,33852,69504,2558,188950,926324,16491,0,0,0,0,2020-04-30
1,Europe,1373444,26064,135235,2288,503728,734481,18773,0,0,0,0,2020-04-30
2,Asia,520049,12721,18610,333,265532,235907,5729,0,0,0,0,2020-04-30
3,South America,176814,11000,8702,558,60095,108017,9802,0,0,0,0,2020-04-30
4,Oceania,8331,9,110,2,7035,1186,37,0,0,0,0,2020-04-30
5,Africa,39713,2021,1638,46,13070,25005,126,0,0,0,0,2020-04-30
6,,721,0,15,0,645,61,4,0,0,0,0,2020-04-30
7,World,3303850,85667,233814,5785,1039055,2030981,50962,424,300,0,0,2020-04-30
8,USA,1094730,30536,63841,2186,152324,878565,15226,3307,193,6376466,19264,2020-04-30
9,Spain,239639,2740,24543,268,137984,77112,2676,5125,525,1455306,31126,2020-04-30
10,Italy,205463,1872,27967,285,75945,101551,1694,3398,463,1979217,32735,2020-04-30
11,UK,171253,6032,26771,674,0,144138,1559,2523,394,901905,13286,2020-04-30
12,France,167178,758,24376,289,49476,93326,4019,2561,373,724574,11101,2020-04-30
13,Germany,163009,1470,6623,156,123500,32886,2415,1946,79,2547052,30400,2020-04-30
14,Turkey,120204,2615,3174,93,48886,68144,1514,1425,38,1033617,12255,2020-04-30
15,Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915,2020-04-30
16,Iran,94640,983,6028,71,75103,13509,2976,1127,72,463295,5516,2020-04-30
17,Brazil,85380,6019,5901,390,35935,43544,8318,402,28,339552,1597,2020-04-30
18,Canada,53236,1639,3184,188,21423,28629,557,1411,84,806449,21367,2020-04-30
19,Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532,2020-04-30
20,Netherlands,39316,514,4795,84,0,34271,783,2295,280,219744,12824,2020-04-30
21,Peru,36976,3045,1051,108,10405,25520,651,1121,32,318252,9652,2020-04-30
22,India,34862,1800,1154,75,9068,24640,0,25,8,830201,602,2020-04-30
23,Switzerland,29586,179,1737,21,23400,4449,167,3419,201,266200,30758,2020-04-30
24,Portugal,25045,540,989,16,1519,22537,172,2456,97,395771,38814,2020-04-30
25,Ecuador,24934,259,900,17,1558,22476,146,1413,51,69054,3914,2020-04-30
26,Saudi Arabia,22753,1351,162,5,3163,19428,123,654,5,200000,5745,2020-04-30
27,Sweden,21092,790,2586,124,1005,17501,531,2088,256,119500,11833,2020-04-30
28,Ireland,20612,359,1232,42,13386,5994,123,4174,250,153954,31179,2020-04-30
29,Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635,2020-04-30
30,Pakistan,16473,948,361,18,4105,12007,111,75,2,174160,788,2020-04-30
31,Singapore,16169,528,15,1,1244,14910,22,2764,3,143919,24600,2020-04-30
32,Chile,16023,1138,227,11,8580,7216,392,838,12,180517,9443,2020-04-30
33,Israel,15946,112,222,7,8561,7163,105,1842,26,364467,42108,2020-04-30
34,Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469,2020-04-30
35,Japan,14088,193,430,17,2460,11198,308,111,3,165609,1309,2020-04-30
36,Belarus,14027,846,89,5,2386,11552,92,1484,9,176625,18692,2020-04-30
37,Qatar,13409,845,10,0,1372,12027,72,4654,3,94500,32801,2020-04-30
38,Poland,12877,237,644,20,3236,8997,160,340,17,338027,8931,2020-04-30
39,UAE,12481,552,105,7,2429,9947,1,1262,11,1122000,113443,2020-04-30
40,Romania,12240,262,717,24,4017,7506,221,636,37,175374,9116,2020-04-30
41,S. Korea,10765,4,247,1,9059,1459,55,210,5,619881,12091,2020-04-30
42,Ukraine,10406,540,261,11,1238,8907,138,238,6,111859,2558,2020-04-30
43,Indonesia,10118,347,792,8,1522,7804,0,37,3,94599,346,2020-04-30
44,Denmark,9158,150,452,9,6546,2160,62,1581,78,193165,33349,2020-04-30
45,Serbia,9009,285,179,6,1343,7487,71,1031,20,85645,9802,2020-04-30
46,Philippines,8488,276,568,10,1043,6877,31,77,5,104146,950,2020-04-30
47,Norway,7738,28,210,3,32,7496,37,1427,39,172586,31835,2020-04-30
48,Czechia,7682,103,236,9,3314,4132,68,717,22,242088,22606,2020-04-30
49,Bangladesh,7667,564,168,5,160,7339,1,47,1,64666,393,2020-04-30
50,Dominican Republic,6972,320,301,8,1301,5370,144,643,28,25368,2339,2020-04-30
51,Australia,6753,7,91,2,5715,947,34,265,4,563641,22104,2020-04-30
52,Colombia,6507,300,293,15,1439,4775,118,128,6,104657,2057,2020-04-30
53,Panama,6378,178,178,2,527,5673,92,1478,41,29837,6915,2020-04-30
54,Malaysia,6002,57,102,2,4171,1729,40,185,3,160296,4953,2020-04-30
55,South Africa,5647,297,103,0,2073,3471,36,95,2,207530,3499,2020-04-30
56,Egypt,5537,269,392,12,1381,3764,0,54,4,90000,879,2020-04-30
57,Finland,4995,89,211,5,3000,1784,48,902,38,93900,16947,2020-04-30
58,Argentina,4428,143,218,4,1256,2954,157,98,5,56058,1240,2020-04-30
59,Morocco,4423,102,170,2,984,3269,1,120,5,34841,944,2020-04-30
60,Kuwait,4024,284,26,2,1539,2459,66,942,6,179000,41915,2020-04-30
61,Algeria,4006,158,450,6,1779,1777,22,91,10,6500,148,2020-04-30
62,Moldova,3897,126,116,5,1182,2599,237,966,29,11763,2916,2020-04-30
63,Luxembourg,3784,15,90,1,3213,481,23,6045,144,42643,68122,2020-04-30
64,Kazakhstan,3402,264,25,0,866,2511,41,181,1,249527,13289,2020-04-30
65,Bahrain,3040,119,8,0,1500,1532,1,1787,5,129694,76220,2020-04-30
66,Thailand,2954,7,54,0,2684,216,61,42,8,178083,2551,2020-04-30
67,Hungary,2775,48,312,12,581,1882,54,287,32,72951,7552,2020-04-30
68,Greece,2591,15,140,1,1374,1077,38,249,13,75170,7212,2020-04-30
69,Oman,2348,74,11,1,495,1842,17,460,2,40459,7923,2020-04-30
70,Afghanistan,2171,232,64,4,260,1847,7,56,2,10022,257,2020-04-30
71,Iraq,2085,82,93,1,1375,617,0,52,2,92061,2289,2020-04-30
72,Croatia,2076,14,69,2,1348,659,20,506,17,36221,8823,2020-04-30
73,Ghana,2074,403,17,1,212,1845,4,67,5,113497,3653,2020-04-30
74,Armenia,2066,134,32,2,929,1105,10,697,11,21125,7129,2020-04-30
75,Uzbekistan,2039,37,9,0,1133,897,8,61,3,242536,7247,2020-04-30
76,Nigeria,1932,204,58,7,319,1555,2,9,3,12828,62,2020-04-30
77,Cameroon,1832,0,61,0,934,837,12,69,2,0,0,2020-04-30
78,Azerbaijan,1804,38,24,1,1325,455,17,178,2,143079,14112,2020-04-30
