index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,4143356,72939,188088,1471,1924453,2030815,19547,0,0,0,0,2020-07-14
1,South America,2990513,59647,108300,1860,1894997,987216,13635,0,0,0,0,2020-07-14
2,Asia,3070840,55886,72618,1167,2154794,843428,19858,0,0,0,0,2020-07-14
3,Europe,2599065,11496,197276,458,1530085,871704,5330,0,0,0,0,2020-07-14
4,Africa,628885,14473,13803,299,316780,298302,982,0,0,0,0,2020-07-14
5,Oceania,11915,271,130,0,9440,2345,28,0,0,0,0,2020-07-14
6,,721,0,15,0,651,55,4,0,0,0,0,2020-07-14
7,World,13445295,214712,580230,5255,7831200,5033865,59384,1725,744,0,0,2020-07-14
8,USA,3543906,64423,139119,872,1590663,1814124,16155,10704,420,43798374,132293,2020-07-14
9,Brazil,1931204,43245,74262,1341,1213512,643430,8318,9083,349,4572796,21508,2020-07-14
10,India,937487,29842,24315,588,593080,320092,8944,679,18,12092503,8760,2020-07-14
11,Russia,739947,6248,11614,175,512825,215508,2300,5070,80,23495752,160999,2020-07-14
12,Peru,333867,3744,12229,175,223261,98377,1325,10121,371,1963921,59538,2020-07-14
13,Chile,319493,1836,7069,45,289220,23204,1915,16708,370,1322503,69162,2020-07-14
14,Mexico,304435,4685,35491,485,189063,79881,378,2360,275,739922,5737,2020-07-14
15,Spain,303699,666,28409,3,0,0,617,6495,608,6026446,128893,2020-07-14
16,South Africa,298292,10496,4346,174,146279,147667,539,5027,73,2232738,37631,2020-07-14
17,UK,291373,398,44968,138,0,0,162,4291,662,12270317,180715,2020-07-14
18,Iran,262173,2521,13211,179,225270,23692,3389,3120,157,2023079,24076,2020-07-14
19,Pakistan,253604,1979,5320,54,170656,77628,2151,1147,24,1606190,7267,2020-07-14
20,Italy,243344,114,34984,17,195441,12919,60,4025,579,6004611,99318,2020-07-14
21,Saudi Arabia,237803,2692,2283,40,177560,57960,2235,6827,66,2336874,67093,2020-07-14
22,Turkey,214993,992,5402,20,196720,12871,1204,2548,64,4065178,48183,2020-07-14
23,Germany,200766,330,9144,5,185500,6122,264,2396,109,6376054,76092,2020-07-14
24,Bangladesh,190057,3163,2424,33,103227,84406,1,1154,15,966400,5866,2020-07-14
25,France,172377,0,30029,0,78597,63751,492,2641,460,2489269,38133,2020-07-14
26,Colombia,159898,5621,5625,170,68806,85467,875,3141,111,1082415,21265,2020-07-14
27,Canada,108486,331,8798,8,72170,27518,2159,2874,233,3302407,87473,2020-07-14
28,Argentina,106910,3645,1968,65,45467,59475,752,2365,44,483799,10701,2020-07-14
