index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,9079225,59636,315235,1288,5888264,2875726,17570,0,0,0,0,2020-10-03
1,Asia,10977498,109905,199856,1576,9247349,1530293,20706,0,0,0,0,2020-10-03
2,South America,8255384,49080,260403,1166,7094215,900766,17337,0,0,0,0,2020-10-03
3,Europe,5260704,64546,224624,590,2594893,2441187,9038,0,0,0,0,2020-10-03
4,Africa,1514778,8763,36399,111,1253326,225053,1576,0,0,0,0,2020-10-03
5,Oceania,31534,11,935,3,28770,1829,18,0,0,0,0,2020-10-03
6,,721,0,15,0,651,55,4,0,0,0,0,2020-10-03
7,World,35119844,291941,1037467,4734,26107468,7974909,66249,4506,1331,0,0,2020-10-03
8,USA,7600352,48431,214270,748,4814550,2571532,14164,22927,646,110505345,333350,2020-10-03
9,India,6547413,75479,101812,937,5506732,938869,8944,4733,74,77850403,56272,2020-10-03
10,Brazil,4906833,24602,145987,556,4248574,512272,8318,23043,686,17900000,84059,2020-10-03
11,Russia,1204502,9859,21251,174,975859,207392,2300,8253,146,47247274,323721,2020-10-03
12,Colombia,848147,6616,26556,159,757801,63790,2220,16624,520,3861628,75688,2020-10-03
13,Peru,824985,3421,32665,56,700868,91452,1311,24933,987,3939873,119073,2020-10-03
14,Spain,810807,0,32086,0,0,0,1566,17340,686,12723989,272116,2020-10-03
15,Argentina,790818,11129,20795,196,626114,143909,3820,17457,459,2051037,45275,2020-10-03
16,Mexico,753090,4775,78492,414,541518,133080,2522,5825,607,1983157,15340,2020-10-03
17,South Africa,679716,1883,16938,29,612763,50015,539,11424,285,4251513,71456,2020-10-03
18,France,606625,16972,32198,49,97778,476649,1276,9288,493,11174392,171096,2020-10-03
19,UK,480017,7070,42317,49,0,0,368,7061,623,25048460,368482,2020-10-03
20,Chile,468471,1881,12919,52,440881,14671,849,24453,674,3430220,179049,2020-10-03
21,Iran,468119,3523,26746,179,387675,53698,4127,5555,317,4095161,48599,2020-10-03
22,Iraq,375931,3672,9347,49,303665,62919,538,9294,231,2330386,57616,2020-10-03
23,Bangladesh,367565,1182,5325,20,280069,82171,0,2226,32,1979805,11991,2020-10-03
24,Saudi Arabia,335997,419,4850,27,320974,10173,954,9614,139,6638679,189946,2020-10-03
25,Turkey,323014,1502,8384,59,283868,30762,1470,3820,99,10711883,126664,2020-10-03
