index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,568162,31321,21777,1955,37923,508462,12312,0,0,0,0,2020-04-11
1,Europe,852899,32790,73625,3562,210127,569147,29996,0,0,0,0,2020-04-11
2,Asia,286441,11354,10588,361,142458,133395,6618,0,0,0,0,2020-04-11
3,South America,47898,2922,1941,132,5224,40733,1241,0,0,0,0,2020-04-11
4,Oceania,7702,94,60,4,3688,3954,85,0,0,0,0,2020-04-11
5,Africa,14220,681,745,48,2457,11018,158,0,0,0,0,2020-04-11
6,,721,0,13,0,619,89,10,0,0,0,0,2020-04-11
7,World,1778043,79162,108749,6062,402496,1266798,50420,228,140,0,0,2020-04-11
8,USA,532092,29216,20562,1815,30298,481232,11320,1608,62,2671008,8069,2020-04-11
9,Spain,163027,4754,16606,525,59109,87312,7371,3487,355,355000,7593,2020-04-11
10,Italy,152271,4694,19468,619,32534,100269,3381,2518,322,963473,15935,2020-04-11
11,France,129654,4785,13832,635,26391,89431,6883,1986,212,333807,5114,2020-04-11
12,Germany,125452,3281,2871,135,57400,65181,4895,1497,34,1317887,15730,2020-04-11
13,UK,78991,5233,9875,917,344,68772,1559,1164,145,334974,4934,2020-04-11
14,Iran,70029,1837,4357,125,41947,23725,3987,834,52,251703,2997,2020-04-11
15,Turkey,52167,5138,1101,95,2965,48101,1626,619,13,340380,4036,2020-04-11
16,Belgium,28018,1351,3346,327,5986,18686,1262,2418,289,102151,8814,2020-04-11
17,Switzerland,25107,556,1036,34,12100,11971,386,2901,120,190000,21954,2020-04-11
18,Netherlands,24413,1316,2643,132,250,21520,1384,1425,154,101534,5926,2020-04-11
19,Canada,23318,1170,653,84,6428,16237,557,618,17,401552,10639,2020-04-11
20,Brazil,20962,1173,1140,72,173,19649,296,99,5,62985,296,2020-04-11
21,Portugal,15987,515,470,35,266,15251,233,1568,46,162798,15966,2020-04-11
22,Austria,13806,246,337,18,6604,6865,246,1533,37,140975,15653,2020-04-11
23,Russia,13584,1667,106,12,1045,12433,8,93,7,1184442,8116,2020-04-11
24,Israel,10743,335,101,6,1341,9301,175,1241,12,117339,13557,2020-04-11
25,S. Korea,10480,30,211,3,7243,3026,55,204,4,510479,9957,2020-04-11
26,Sweden,10151,466,887,17,381,8883,789,1005,88,54700,5416,2020-04-11
27,Ireland,8928,839,320,33,25,8583,194,1808,65,53000,10734,2020-04-11
28,India,8446,846,288,39,969,7189,0,6,2,189111,137,2020-04-11
29,Ecuador,7257,96,315,18,411,6531,184,411,18,21568,1222,2020-04-11
30,Chile,6927,426,73,8,1864,4990,383,362,4,76374,3995,2020-04-11
31,Peru,6848,951,181,12,1739,4928,142,208,5,67712,2054,2020-04-11
32,Norway,6409,95,119,6,32,6258,67,1182,22,124279,22924,2020-04-11
33,Poland,6356,401,208,27,375,5773,160,168,5,129560,3423,2020-04-11
34,Australia,6303,65,56,2,3265,2982,80,247,2,351380,13780,2020-04-11
35,Japan,6005,0,99,0,762,5144,109,47,8,64387,509,2020-04-11
36,Denmark,5996,177,260,13,1955,3781,106,1035,45,67771,11700,2020-04-11
37,Romania,5990,523,291,21,758,4941,208,311,15,59272,3081,2020-04-11
38,Czechia,5902,170,129,10,411,5362,92,551,12,120285,11232,2020-04-11
39,Pakistan,5011,316,86,20,762,4163,50,23,4,57836,262,2020-04-11
40,Malaysia,4530,184,73,3,1995,2462,72,140,2,71897,2221,2020-04-11
41,Philippines,4428,233,247,26,157,4024,1,40,2,24500,224,2020-04-11
42,Saudi Arabia,4033,382,52,5,720,3261,67,116,1,115585,3320,2020-04-11
43,Mexico,3844,403,233,39,633,2978,89,30,2,31492,244,2020-04-11
44,Indonesia,3842,330,327,21,286,3229,0,14,1,19452,71,2020-04-11
45,UAE,3736,376,20,4,588,3128,1,378,2,648195,65538,2020-04-11
46,Serbia,3380,275,74,3,118,3188,145,387,8,16399,1877,2020-04-11
47,Luxembourg,3270,47,62,8,500,2708,30,5224,99,28965,46272,2020-04-11
48,Panama,3234,260,79,5,23,3132,104,750,18,14588,3381,2020-04-11
49,Finland,2905,136,49,1,300,2556,80,524,9,44354,8005,2020-04-11
50,Dominican Republic,2759,139,135,9,108,2516,147,254,12,8469,781,2020-04-11
51,Qatar,2728,216,6,0,247,2475,37,947,2,47751,16574,2020-04-11
