index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,23658,490,861,2020-02-04,,,,,,,,
1,Thailand,25,0,7,2020-02-04,,,,,,,,
2,Singapore,24,0,1,2020-02-04,,,,,,,,
3,Japan,23,0,0,2020-02-04,,,,,,,,
4,Hong Kong,17,1,0,2020-02-04,,,,,,,,
5,S. Korea,16,0,0,2020-02-04,,,,,,,,
6,Australia,13,0,3,2020-02-04,,,,,,,,
7,Germany,12,0,0,2020-02-04,,,,,,,,
8,Taiwan,11,0,0,2020-02-04,,,,,,,,
9,USA,11,0,0,2020-02-04,,,,,,,,
10,Malaysia,10,0,0,2020-02-04,,,,,,,,
11,Macao,10,0,0,2020-02-04,,,,,,,,
12,Vietnam,10,0,3,2020-02-04,,,,,,,,
13,France,6,0,0,2020-02-04,,,,,,,,
14,U.A.E.,5,0,0,2020-02-04,,,,,,,,
15,Canada,5,0,0,2020-02-04,,,,,,,,
16,India,3,0,0,2020-02-04,,,,,,,,
17,Philippines,2,1,0,2020-02-04,,,,,,,,
18,Russia,2,0,0,2020-02-04,,,,,,,,
19,Italy,2,0,0,2020-02-04,,,,,,,,
20,U.K.,2,0,0,2020-02-04,,,,,,,,
21,Finland,1,0,0,2020-02-04,,,,,,,,
22,Cambodia,1,0,0,2020-02-04,,,,,,,,
23,Nepal,1,0,0,2020-02-04,,,,,,,,
24,Sri Lanka,1,0,1,2020-02-04,,,,,,,,
25,Sweden,1,0,0,2020-02-04,,,,,,,,
26,Belgium,1,0,0,2020-02-04,,,,,,,,
27,Spain,1,0,0,2020-02-04,,,,,,,,
