index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,10126922,60116,335300,577,6736136,3055486,18954,0,0,0,0,2020-10-19
1,Asia,12597367,82389,225491,1464,10996977,1374899,20809,0,0,0,0,2020-10-19
2,South America,9040874,39833,280699,1051,7977526,782649,17481,0,0,0,0,2020-10-19
3,Europe,7161346,137473,240259,1068,3229983,3691104,13526,0,0,0,0,2020-10-19
4,Africa,1665055,9971,39991,184,1367148,257916,1855,0,0,0,0,2020-10-19
5,Oceania,34477,759,955,3,30732,2790,21,0,0,0,0,2020-10-19
6,,721,0,15,0,659,47,4,0,0,0,0,2020-10-19
7,World,40626762,330541,1122710,4347,30339161,9164891,72650,5212,1440,0,0,2020-10-19
8,USA,8448125,50024,225174,400,5494798,2728153,15373,25478,679,126953276,382868,2020-10-19
9,India,7594736,46498,115236,594,6730617,748883,8944,5487,83,95083976,68700,2020-10-19
10,Brazil,5251127,15783,154226,321,4681659,415242,8318,24652,724,17900000,84033,2020-10-19
11,Russia,1415316,15982,24366,179,1075904,315046,2300,9697,167,54300208,372038,2020-10-19
12,Spain,1015795,12214,33992,73,0,0,1857,21723,727,15503165,331546,2020-10-19
13,Argentina,1002662,12982,26716,449,803965,171981,4392,22124,590,2626406,57953,2020-10-19
14,Colombia,965883,6311,29102,132,867961,68820,2115,18922,570,4467051,87513,2020-10-19
15,France,910277,13243,33623,146,105935,770719,2099,13936,515,13765883,210755,2020-10-19
16,Peru,870876,2201,33820,61,784056,53000,1094,26304,1022,4249458,128352,2020-10-19
17,Mexico,851227,4119,86167,108,619036,146024,2617,6582,666,2183272,16881,2020-10-19
18,UK,741212,18804,43726,80,0,0,592,10901,643,29922135,440077,2020-10-19
19,South Africa,705254,1461,18492,21,635257,51505,546,11847,311,4565980,76700,2020-10-19
20,Iran,534631,4251,30712,337,431360,72559,4771,6341,364,4540455,53853,2020-10-19
21,Chile,493305,1545,13676,41,465021,14608,769,25740,714,3929612,205039,2020-10-19
22,Iraq,430678,4044,10317,63,363532,56829,454,10638,255,2644770,65325,2020-10-19
23,Italy,423578,9338,36616,73,252959,134003,797,7009,606,13639444,225688,2020-10-19
24,Bangladesh,390206,1637,5681,21,305599,78926,0,2362,34,2178714,13190,2020-10-19
25,Germany,373731,6750,9899,33,294800,69032,851,4456,118,19276507,229853,2020-10-19
26,Indonesia,365240,3373,12617,106,289243,63380,0,1331,46,4092595,14916,2020-10-19
27,Philippines,359169,2638,6675,26,310303,42191,1562,3265,61,4398498,39981,2020-10-19
28,Turkey,349519,2026,9371,75,305427,34721,1447,4131,111,12524561,148028,2020-10-19
29,Saudi Arabia,342583,381,5201,16,328895,8487,844,9795,149,7403020,211671,2020-10-19
30,Pakistan,323452,433,6659,5,307409,9384,526,1456,30,4101115,18461,2020-10-19
31,Israel,304876,1767,2263,54,278394,24219,634,33147,246,4226477,459520,2020-10-19
32,Ukraine,303638,4766,5673,66,126489,171476,177,6956,130,2765787,63357,2020-10-19
33,Netherlands,236226,7992,6768,17,0,0,406,13777,395,2872319,167518,2020-10-19
34,Belgium,222253,9138,10413,21,21158,190682,412,19152,897,4112480,354378,2020-10-19
35,Canada,201437,3289,9778,18,169671,21988,188,5323,258,8698704,229875,2020-10-19
36,Poland,183248,7482,3614,41,94014,85620,672,4843,96,4008471,105949,2020-10-19
37,Romania,182854,2466,5931,59,132082,44841,757,9524,309,2860226,148981,2020-10-19
38,Czechia,181962,8077,1513,91,74908,105541,587,16982,141,1814002,169296,2020-10-19
39,Morocco,175749,2117,2976,48,146421,26352,539,4745,80,3061219,82645,2020-10-19
40,Ecuador,153423,134,12395,8,134187,6841,366,8657,699,495852,27979,2020-10-19
41,Bolivia,139771,61,8481,18,104483,26807,71,11926,724,321061,27394,2020-10-19
42,Nepal,136036,3790,757,18,94501,40778,0,4644,26,1300918,44413,2020-10-19
43,Qatar,129671,240,224,0,126650,2797,49,46182,80,886186,315615,2020-10-19
44,Panama,125181,436,2574,10,101545,21062,115,28878,594,585821,135143,2020-10-19
45,Dominican Republic,121667,320,2203,4,98880,20584,152,11182,202,545492,50136,2020-10-19
46,Kuwait,116832,686,710,9,108606,7516,133,27238,166,834167,194478,2020-10-19
47,UAE,116517,915,466,3,108811,7240,0,11739,47,11770455,1185832,2020-10-19
48,Oman,110594,641,1114,13,96400,13080,201,21498,217,376700,73225,2020-10-19
49,Kazakhstan,109508,102,1768,0,105001,2739,221,5811,94,3175675,168529,2020-10-19
50,Egypt,105547,123,6130,10,98314,1103,41,1026,60,135000,1312,2020-10-19
51,Sweden,103200,0,5918,0,0,0,30,10200,585,1925218,190274,2020-10-19
52,Portugal,101860,1949,2198,17,59966,39696,165,9998,216,3035073,297916,2020-10-19
53,Guatemala,101599,239,3541,11,91032,7026,5,5640,197,390147,21659,2020-10-19
54,Costa Rica,97075,632,1204,10,59580,36291,214,19005,236,271394,53131,2020-10-19
55,Japan,93127,471,1674,4,85941,5512,144,737,13,2441150,19319,2020-10-19
56,Ethiopia,89860,723,1365,13,43149,45346,269,776,12,1403894,12124,2020-10-19
57,Honduras,88425,831,2568,5,34964,50893,23,8886,258,209170,21020,2020-10-19
58,Belarus,88290,592,933,4,80130,7227,0,9344,99,2235892,236643,2020-10-19
59,Venezuela,86636,0,736,0,79694,6206,186,3049,26,2013074,70854,2020-10-19
60,Switzerland,83159,8737,2138,15,53400,27621,64,9588,246,1632288,188191,2020-10-19
61,Bahrain,78224,322,302,2,74683,3239,35,45518,176,1628076,947364,2020-10-19
62,Moldova,67302,252,1600,16,48493,17209,851,16696,397,331184,82157,2020-10-19
63,Austria,65927,1121,904,11,50359,14664,145,7308,100,1938028,214816,2020-10-19
64,Armenia,65460,766,1091,10,48208,16161,0,22078,368,349871,118004,2020-10-19
65,Uzbekistan,63523,399,531,6,60604,2388,252,1890,16,1377915,40994,2020-10-19
66,Lebanon,62944,658,526,6,28855,33563,211,9235,77,1071955,157267,2020-10-19
67,Nigeria,61558,118,1125,0,56697,3736,7,296,5,590635,2845,2020-10-19
68,Singapore,57915,4,28,0,57819,68,0,9876,5,3290291,561091,2020-10-19
69,Paraguay,55452,728,1207,19,36663,17582,143,7746,169,330854,46218,2020-10-19
70,Algeria,54616,214,1865,9,38215,14536,33,1239,42,0,0,2020-10-19
71,Kyrgyzstan,52526,482,1111,0,45863,5552,24,8012,169,276522,42179,2020-10-19
72,Ireland,50993,1031,1852,0,23364,25777,32,10293,374,1453608,293409,2020-10-19
73,Libya,49949,1159,732,7,27262,21955,0,7240,106,274711,39819,2020-10-19
74,Hungary,47768,1478,1173,31,14312,32283,188,4949,122,904036,93654,2020-10-19
75,Palestine,47616,481,413,5,40861,6342,0,9271,80,481747,93797,2020-10-19
76,Ghana,47372,62,310,0,46664,398,9,1515,10,510074,16316,2020-10-19
77,Azerbaijan,45295,331,630,4,40144,4521,0,4455,62,1232636,121245,2020-10-19
78,Kenya,45076,195,839,7,32084,12153,0,833,16,623828,11527,2020-10-19
79,Tunisia,42727,2185,687,61,5032,37008,173,3604,58,303202,25575,2020-10-19
80,Afghanistan,40287,87,1497,5,33760,5030,93,1028,38,117674,3003,2020-10-19
81,Jordan,38937,1364,380,35,7006,31551,55,3805,37,1593077,155675,2020-10-19
82,Myanmar,37205,1180,914,34,17568,18723,0,682,17,529213,9707,2020-10-19
83,Serbia,36282,122,778,2,31536,3968,24,4158,89,1241864,142307,2020-10-19
84,Denmark,35844,452,686,6,29562,5596,17,6182,118,4633026,799027,2020-10-19
85,Bosnia and Herzegovina,34661,549,997,13,25442,8222,0,10585,304,277668,84794,2020-10-19
86,El Salvador,31666,0,926,4,27000,3740,48,4875,143,443923,68338,2020-10-19
87,Slovakia,30695,860,92,4,7536,23067,72,5621,17,622032,113916,2020-10-19
88,Bulgaria,30527,1024,1008,22,17153,12366,88,4403,145,613396,88481,2020-10-19
89,Australia,27399,8,905,1,25108,1386,1,1071,35,8295738,324206,2020-10-19
90,Croatia,25973,393,374,11,20529,5070,35,6339,91,400636,97774,2020-10-19
91,Greece,25802,432,520,11,9989,15293,85,2479,50,1549392,148872,2020-10-19
92,S. Korea,25275,76,444,0,23368,1463,78,493,9,2479226,48344,2020-10-19
93,North Macedonia,23788,160,846,12,17392,5550,25,11418,406,221782,106455,2020-10-19
94,Cameroon,21506,65,424,1,20117,965,61,804,16,149000,5573,2020-10-19
95,Malaysia,21363,865,190,3,13717,7456,99,658,6,1903515,58589,2020-10-19
96,Ivory Coast,20324,1,121,0,20029,174,0,765,5,180101,6779,2020-10-19
97,Georgia,18663,1186,143,7,8338,10182,0,4681,36,784676,196816,2020-10-19
98,Albania,17350,295,454,3,10167,6729,20,6031,158,104383,36284,2020-10-19
99,Madagascar,16810,0,238,0,16215,357,16,603,9,85407,3061,2020-10-19
100,Norway,16603,147,278,0,11863,4462,6,3055,51,1495288,275177,2020-10-19
101,Zambia,15897,44,346,0,15031,520,0,858,19,212699,11477,2020-10-19
102,Montenegro,15760,145,240,4,11288,4232,26,25092,382,80996,128956,2020-10-19
103,Senegal,15432,14,319,2,13865,1248,5,915,19,197260,11691,2020-10-19
104,Sudan,13724,27,836,0,6764,6124,0,311,19,0,0,2020-10-19
105,Slovenia,13679,537,190,2,6385,7104,55,6580,91,289443,139221,2020-10-19
106,Finland,13555,131,351,0,9100,4104,7,2445,63,1301424,234774,2020-10-19
107,Namibia,12326,33,131,0,10426,1769,4,4825,51,117052,45823,2020-10-19
108,Guinea,11518,0,70,0,10427,1021,24,870,5,39602,2992,2020-10-19
109,Maldives,11232,22,37,0,10201,994,12,20672,68,150743,277433,2020-10-19
110,Mozambique,11080,214,75,0,8836,2169,0,352,2,167816,5326,2020-10-19
111,DRC,11052,46,303,1,10357,392,0,122,3,0,0,2020-10-19
112,Luxembourg,11010,122,135,2,8471,2404,4,17504,215,945919,1503882,2020-10-19
113,Uganda,10691,101,97,0,6992,3602,0,232,2,523399,11339,2020-10-19
114,Tajikistan,10533,40,80,0,9563,890,0,1097,8,0,0,2020-10-19
115,French Guiana,10268,25,69,0,9995,204,5,34120,229,71790,238557,2020-10-19
116,Haiti,8976,12,231,0,7303,1442,0,784,20,30938,2703,2020-10-19
117,Gabon,8884,3,54,0,8452,378,3,3964,24,213238,95150,2020-10-19
118,Jamaica,8321,47,173,2,3951,4197,12,2806,58,88893,29980,2020-10-19
119,Zimbabwe,8159,12,232,1,7683,244,0,547,16,162958,10917,2020-10-19
120,Angola,7829,207,248,1,3031,4550,29,236,7,85213,2570,2020-10-19
121,Cabo Verde,7800,48,87,1,6620,1093,23,13984,156,87480,156835,2020-10-19
122,Lithuania,7726,205,113,0,3110,4503,20,2850,42,893014,329452,2020-10-19
123,Mauritania,7621,13,163,0,7355,103,3,1627,35,84407,18016,2020-10-19
124,Guadeloupe,7122,0,96,0,2199,4827,35,17799,240,62313,155726,2020-10-19
125,Cuba,6258,38,127,2,5780,351,3,553,11,749924,66221,2020-10-19
126,Malawi,5860,3,181,0,4757,922,4,304,9,58002,3009,2020-10-19
127,Eswatini,5788,8,116,0,5427,245,19,4974,100,45570,39158,2020-10-19
128,Bahamas,5773,70,123,1,3339,2311,107,14639,312,31007,78625,2020-10-19
129,Sri Lanka,5625,87,13,0,3440,2172,0,262,6,383961,17908,2020-10-19
130,Botswana,5609,367,21,1,915,4673,1,2371,9,267517,113088,2020-10-19
131,Djibouti,5469,10,61,0,5379,29,0,5512,61,82449,83093,2020-10-19
132,Nicaragua,5353,0,154,0,4225,974,0,805,23,0,0,2020-10-19
133,Trinidad and Tobago,5298,1,97,1,3696,1505,14,3782,69,31579,22543,2020-10-19
134,Hong Kong,5257,15,105,0,4982,170,12,700,14,3587019,477305,2020-10-19
135,Congo,5156,0,92,0,3887,1177,0,928,17,0,0,2020-10-19
136,Syria,5134,57,251,3,1565,3318,0,291,14,0,0,2020-10-19
137,Suriname,5133,3,109,0,4959,65,5,8727,185,17191,29226,2020-10-19
138,Equatorial Guinea,5070,0,83,0,4954,33,1,3580,59,63589,44900,2020-10-19
139,Rwanda,4992,18,34,0,4797,161,0,383,3,535782,41069,2020-10-19
