index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81171,0,3277,0,73159,4735,1573,56,2020-03-24,,,
1,Italy,69176,5249,6820,743,8326,54030,3393,1144,2020-03-24,,,
2,USA,53588,9854,696,143,375,52517,1175,162,2020-03-24,,,
3,Spain,42058,6922,2991,680,3794,35273,2636,900,2020-03-24,,,
4,Germany,32991,3935,159,36,3243,29589,23,394,2020-03-24,,,
5,Iran,24811,1762,1934,122,8913,13964,0,295,2020-03-24,,,
6,France,22304,2448,1100,240,3281,17923,2516,342,2020-03-24,,,
7,Switzerland,9877,1082,122,2,131,9624,141,1141,2020-03-24,,,
8,S. Korea,9037,76,120,9,3507,5410,59,176,2020-03-24,,,
9,UK,8077,1427,422,87,135,7520,20,119,2020-03-24,,,
10,Netherlands,5560,811,276,63,2,5282,435,324,2020-03-24,,,
11,Austria,5283,809,28,7,9,5246,22,587,2020-03-24,,,
12,Belgium,4269,526,122,34,461,3686,381,368,2020-03-24,,,
13,Norway,2863,238,12,2,6,2845,44,528,2020-03-24,,,
14,Canada,2792,701,26,2,112,2654,1,74,2020-03-24,,,
15,Portugal,2362,302,33,10,22,2307,48,232,2020-03-24,,,
16,Australia,2317,430,8,1,118,2191,11,91,2020-03-24,,,
17,Sweden,2286,240,36,9,16,2234,136,226,2020-03-24,,,
18,Brazil,2247,323,46,12,2,2199,18,11,2020-03-24,,,
19,Israel,1930,488,3,2,53,1874,34,223,2020-03-24,,,
20,Turkey,1872,343,44,7,0,1828,0,22,2020-03-24,,,
21,Malaysia,1624,106,16,2,183,1425,64,50,2020-03-24,,,
22,Denmark,1591,131,32,8,1,1558,69,275,2020-03-24,,,
23,Czechia,1394,158,3,2,10,1381,19,130,2020-03-24,,,
24,Ireland,1329,204,7,1,5,1317,29,269,2020-03-24,,,
25,Japan,1193,65,43,1,285,865,54,9,2020-03-24,,,
26,Luxembourg,1099,224,8,0,6,1085,3,1756,2020-03-24,,,
27,Ecuador,1082,101,27,9,3,1052,2,61,2020-03-24,,,
28,Pakistan,972,97,7,1,18,947,5,4,2020-03-24,,,
29,Chile,922,176,2,0,17,903,7,48,2020-03-24,,,
30,Poland,901,152,10,2,1,890,3,24,2020-03-24,,,
31,Thailand,827,106,4,3,52,771,7,12,2020-03-24,,,
32,Romania,794,218,12,5,79,703,15,41,2020-03-24,,,
33,Finland,792,92,1,0,10,781,11,143,2020-03-24,,,
34,Saudi Arabia,767,205,1,1,28,738,0,22,2020-03-24,,,
35,Greece,743,48,20,3,29,694,35,71,2020-03-24,,,
36,Diamond Princess,712,0,10,2,587,115,15,0,2020-03-24,,,
37,Indonesia,686,107,55,6,30,601,0,3,2020-03-24,,,
38,Iceland,648,60,2,1,51,595,13,1899,2020-03-24,,,
39,Singapore,558,49,2,0,156,400,14,95,2020-03-24,,,
40,South Africa,554,152,0,0,4,550,2,9,2020-03-24,,,
41,Philippines,552,90,35,2,20,497,1,5,2020-03-24,,,
42,India,536,37,10,0,40,486,0,4,2020-03-24,,,
43,Qatar,526,25,0,0,41,485,6,183,2020-03-24,,,
44,Russia,495,57,1,0,22,472,8,3,2020-03-24,,,
45,Slovenia,480,38,4,1,3,473,12,231,2020-03-24,,,
46,Peru,416,21,7,2,1,408,9,13,2020-03-24,,,
47,Egypt,402,36,20,1,80,302,0,4,2020-03-24,,,
48,Bahrain,392,15,3,1,177,212,2,230,2020-03-24,,,
49,Argentina,387,86,6,2,52,329,0,9,2020-03-24,,,
50,Hong Kong,386,29,4,0,102,280,4,51,2020-03-24,,,
51,Croatia,382,67,1,0,5,376,6,93,2020-03-24,,,
52,Colombia,378,101,3,0,6,369,0,7,2020-03-24,,,
53,Estonia,369,17,0,0,7,362,4,278,2020-03-24,,,
54,Mexico,367,51,4,1,4,359,1,3,2020-03-24,,,
55,Panama,345,0,6,0,1,338,33,80,2020-03-24,,,
56,Lebanon,318,51,4,0,8,306,4,47,2020-03-24,,,
57,Iraq,316,50,27,4,75,214,0,8,2020-03-24,,,
58,Dominican Republic,312,67,6,3,3,303,0,29,2020-03-24,,,
59,Serbia,303,54,3,0,15,285,21,35,2020-03-24,,,
60,Algeria,264,34,19,2,24,221,0,6,2020-03-24,,,
61,Armenia,249,14,0,0,14,235,6,84,2020-03-24,,,
62,UAE,248,50,2,0,45,201,2,25,2020-03-24,,,
63,Bulgaria,218,17,3,0,3,212,8,31,2020-03-24,,,
64,Taiwan,216,21,2,0,29,185,0,9,2020-03-24,,,
65,Lithuania,209,30,2,1,1,206,1,77,2020-03-24,,,
66,Slovakia,204,18,0,0,7,197,2,37,2020-03-24,,,
67,Latvia,197,17,0,0,1,196,0,104,2020-03-24,,,
68,Kuwait,191,2,0,0,39,152,5,45,2020-03-24,,,
69,Uruguay,189,27,0,0,0,189,3,54,2020-03-24,,,
70,San Marino,187,0,21,1,4,162,12,5511,2020-03-24,,,
71,Hungary,187,20,9,1,21,157,6,19,2020-03-24,,,
72,Costa Rica,177,19,2,0,2,173,4,35,2020-03-24,,,
73,Morocco,170,27,5,1,6,159,1,5,2020-03-24,,,
74,Bosnia and Herzegovina,166,30,3,2,2,161,1,51,2020-03-24,,,
75,Andorra,164,31,1,0,1,162,7,2123,2020-03-24,,,
76,New Zealand,155,53,0,0,12,143,0,32,2020-03-24,,,
77,Jordan,154,27,0,0,1,153,0,15,2020-03-24,,,
78,North Macedonia,148,12,2,0,1,145,1,71,2020-03-24,,,
79,Vietnam,134,11,0,0,17,117,3,1,2020-03-24,,,
80,Moldova,125,16,1,0,2,122,10,31,2020-03-24,,,
81,Cyprus,124,8,3,2,3,118,3,103,2020-03-24,,,
82,Albania,123,19,5,1,10,108,2,43,2020-03-24,,,
83,Faeroe Islands,122,4,0,0,33,89,0,2497,2020-03-24,,,
84,Burkina Faso,114,15,4,0,7,103,0,5,2020-03-24,,,
85,Tunisia,114,25,4,1,1,109,11,10,2020-03-24,,,
86,Malta,110,3,0,0,2,108,1,249,2020-03-24,,,
87,Brunei,104,13,0,0,2,102,2,238,2020-03-24,,,
88,Ukraine,102,29,3,0,1,98,0,2,2020-03-24,,,
89,Sri Lanka,102,5,0,0,2,100,2,5,2020-03-24,,,
90,Réunion,94,23,0,0,1,93,0,105,2020-03-24,,,
91,Cambodia,91,4,0,0,4,87,1,5,2020-03-24,,,
92,Azerbaijan,87,15,1,0,10,76,6,9,2020-03-24,,,
93,Senegal,86,7,0,0,8,78,0,5,2020-03-24,,,
94,Oman,84,18,0,0,17,67,0,16,2020-03-24,,,
95,Venezuela,84,0,0,0,15,69,2,3,2020-03-24,,,
96,Belarus,81,0,0,0,22,59,0,9,2020-03-24,,,
97,Afghanistan,74,34,1,0,1,72,0,2,2020-03-24,,,
98,Guadeloupe,73,11,1,0,0,72,4,182,2020-03-24,,,
99,Ivory Coast,73,48,0,0,2,71,0,3,2020-03-24,,,
100,Kazakhstan,72,10,0,0,0,72,0,4,2020-03-24,,,
101,Georgia,70,9,0,0,9,61,1,18,2020-03-24,,,
102,Cameroon,66,10,0,0,2,64,0,2,2020-03-24,,,
103,Palestine,60,1,0,0,16,44,0,12,2020-03-24,,,
104,Martinique,57,4,1,0,0,56,7,152,2020-03-24,,,
105,Trinidad and Tobago,57,6,0,0,0,57,0,41,2020-03-24,,,
106,Ghana,53,26,2,0,0,51,0,2,2020-03-24,,,
107,Liechtenstein,51,0,0,0,0,51,0,1338,2020-03-24,,,
108,Uzbekistan,50,4,0,0,0,50,0,1,2020-03-24,,,
109,Cuba,48,8,1,0,1,46,2,4,2020-03-24,,,
110,Montenegro,47,20,1,0,0,46,0,75,2020-03-24,,,
111,DRC,45,9,2,0,0,43,0,5,2020-03-24,,,
112,Nigeria,44,4,1,0,2,41,0,2,2020-03-24,,,
113,Mauritius,42,6,2,0,0,40,1,33,2020-03-24,,,
114,Kyrgyzstan,42,26,0,0,0,42,0,6,2020-03-24,,,
115,Rwanda,40,4,0,0,0,40,0,3,2020-03-24,,,
116,Bangladesh,39,6,4,1,5,30,0,2,2020-03-24,,,
117,Puerto Rico,39,8,2,0,1,36,0,14,2020-03-24,,,
118,Channel Islands,36,0,0,0,0,36,0,207,2020-03-24,,,
119,Mayotte,36,12,0,0,0,36,0,132,2020-03-24,,,
120,Guam,32,3,1,0,0,31,0,190,2020-03-24,,,
121,Honduras,30,0,0,0,0,30,0,3,2020-03-24,,,
122,Macao,29,4,0,0,10,19,0,45,2020-03-24,,,
123,Bolivia,29,2,0,0,0,29,0,2,2020-03-24,,,
124,Paraguay,27,5,2,1,0,25,1,4,2020-03-24,,,
125,French Polynesia,25,7,0,0,0,25,0,89,2020-03-24,,,
126,Kenya,25,9,0,0,0,25,0,5,2020-03-24,,,
127,Monaco,23,0,0,0,1,22,0,586,2020-03-24,,,
128,French Guiana,23,3,0,0,6,17,0,77,2020-03-24,,,
129,Isle of Man,23,10,0,0,0,23,0,270,2020-03-24,,,
130,Guatemala,21,1,1,0,0,20,0,1,2020-03-24,,,
131,Jamaica,21,2,1,0,2,18,0,7,2020-03-24,,,
132,Togo,20,2,0,0,1,19,0,2,2020-03-24,,,
133,Barbados,18,1,0,0,0,18,0,63,2020-03-24,,,
134,Aruba,17,8,0,0,1,16,0,159,2020-03-24,,,
135,Madagascar,17,5,0,0,0,17,0,6,2020-03-24,,,
136,U.S. Virgin Islands,17,0,0,0,0,17,0,163,2020-03-24,,,
137,Gibraltar,15,0,0,0,5,10,0,445,2020-03-24,,,
138,Maldives,13,0,0,0,5,8,0,24,2020-03-24,,,
139,Ethiopia,12,1,0,0,0,12,0,1,2020-03-24,,,
140,Tanzania,12,0,0,0,0,12,0,2,2020-03-24,,,
141,Mongolia,10,0,0,0,0,10,0,3,2020-03-24,,,
142,New Caledonia,10,2,0,0,0,10,0,35,2020-03-24,,,
143,Equatorial Guinea,9,0,0,0,0,9,0,6,2020-03-24,,,
144,Uganda,9,0,0,0,0,9,0,2,2020-03-24,,,
145,Saint Martin,8,0,0,0,0,8,0,207,2020-03-24,,,
146,Dominica,7,5,0,0,0,7,0,97,2020-03-24,,,
147,Haiti,7,1,0,0,0,7,0,6,2020-03-24,,,
148,Namibia,7,3,0,0,2,5,0,3,2020-03-24,,,
149,Seychelles,7,0,0,0,0,7,0,71,2020-03-24,,,
150,Suriname,7,2,0,0,0,7,0,12,2020-03-24,,,
151,Cayman Islands,6,1,1,0,0,5,0,91,2020-03-24,,,
152,Curaçao,6,2,1,0,0,5,0,37,2020-03-24,,,
153,Gabon,6,0,1,0,0,5,0,3,2020-03-24,,,
154,Benin,6,0,0,0,0,6,0,5,2020-03-24,,,
155,Bermuda,6,0,0,0,0,6,0,96,2020-03-24,,,
156,Guyana,5,0,1,0,0,4,0,6,2020-03-24,,,
157,Bahamas,5,1,0,0,1,4,0,13,2020-03-24,,,
158,El Salvador,5,2,0,0,0,5,0,8,2020-03-24,,,
159,Greenland,5,1,0,0,2,3,0,88,2020-03-24,,,
160,Congo,4,0,0,0,0,4,0,7,2020-03-24,,,
161,Fiji,4,1,0,0,0,4,0,4,2020-03-24,,,
162,Guinea,4,0,0,0,0,4,0,3,2020-03-24,,,
163,Vatican City,4,3,0,0,0,4,0,4994,2020-03-24,,,
164,Eswatini,4,0,0,0,0,4,0,3,2020-03-24,,,
165,Cabo Verde,3,0,1,1,0,2,0,5,2020-03-24,,,
166,Gambia,3,1,1,0,0,2,0,1,2020-03-24,,,
167,Sudan,3,1,1,0,0,2,0,7,2020-03-24,,,
168,Zimbabwe,3,0,1,0,0,2,0,2,2020-03-24,,,
169,Angola,3,0,0,0,0,3,0,9,2020-03-24,,,
170,Antigua and Barbuda,3,0,0,0,0,3,0,31,2020-03-24,,,
171,CAR,3,0,0,0,0,3,0,6,2020-03-24,,,
172,Chad,3,1,0,0,0,3,0,2,2020-03-24,,,
173,Djibouti,3,0,0,0,0,3,0,3,2020-03-24,,,
174,Liberia,3,0,0,0,0,3,0,6,2020-03-24,,,
175,Mozambique,3,2,0,0,0,3,0,10,2020-03-24,,,
176,Myanmar,3,1,0,0,0,3,0,6,2020-03-24,,,
177,Niger,3,0,0,0,0,3,0,1,2020-03-24,,,
178,St. Barth,3,0,0,0,0,3,0,304,2020-03-24,,,
