index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,163287,19796,3148,565,5506,154633,3512,493,10,2020-03-30,,
1,Italy,101739,4050,11591,812,14620,75528,3981,1683,192,2020-03-30,,
2,Spain,87956,7846,7716,913,16780,63460,5231,1881,165,2020-03-30,,
3,Germany,66885,4450,645,104,13500,52740,1979,798,8,2020-03-30,,
4,France,44550,4376,3024,418,7927,33599,5056,683,46,2020-03-30,,
5,Iran,41495,3186,2757,117,13911,24827,3511,494,33,2020-03-30,,
6,UK,22141,2619,1408,180,135,20598,163,326,21,2020-03-30,,
7,Switzerland,15922,1093,359,59,1823,13740,301,1840,41,2020-03-30,,
8,Belgium,11899,1063,513,82,1527,9859,927,1027,44,2020-03-30,,
9,Netherlands,11750,884,864,93,250,10636,1053,686,50,2020-03-30,,
10,Turkey,10827,1610,168,37,162,10497,568,128,2,2020-03-30,,
11,S. Korea,9661,78,158,6,5228,4275,59,188,3,2020-03-30,,
12,Austria,9618,830,108,22,636,8874,193,1068,12,2020-03-30,,
13,Canada,7448,1128,89,24,1093,6266,120,197,2,2020-03-30,,
14,Portugal,6408,446,140,21,43,6225,164,628,14,2020-03-30,,
15,Israel,4695,448,16,1,161,4518,79,542,2,2020-03-30,,
16,Brazil,4630,374,163,27,120,4347,296,22,8,2020-03-30,,
17,Norway,4445,161,32,6,12,4401,97,820,6,2020-03-30,,
18,Australia,4364,201,19,2,244,4101,28,171,7,2020-03-30,,
19,Sweden,4028,328,146,36,16,3866,306,399,14,2020-03-30,,
20,Czechia,3001,184,23,7,25,2953,52,280,2,2020-03-30,,
21,Ireland,2910,295,54,8,5,2851,84,589,11,2020-03-30,,
22,Malaysia,2626,156,37,2,479,2110,94,81,1,2020-03-30,,
23,Denmark,2577,182,77,5,1,2499,137,445,13,2020-03-30,,
24,Chile,2449,310,8,1,156,2285,14,128,4,2020-03-30,,
25,Romania,2109,294,65,22,209,1835,33,110,3,2020-03-30,,
26,Poland,2055,193,31,9,7,2017,3,54,8,2020-03-30,,
27,Luxembourg,1988,38,22,1,40,1926,25,3176,35,2020-03-30,,
28,Ecuador,1966,42,62,4,3,1901,58,111,4,2020-03-30,,
29,Japan,1866,0,54,0,424,1388,56,15,4,2020-03-30,,
30,Russia,1836,302,9,1,66,1761,8,13,6,2020-03-30,,
31,Pakistan,1717,120,21,7,76,1620,11,8,10,2020-03-30,,
32,Philippines,1546,128,78,7,42,1426,1,14,7,2020-03-30,,
33,Thailand,1524,136,9,2,229,1286,11,22,1,2020-03-30,,
34,Saudi Arabia,1453,154,8,0,115,1330,12,42,2,2020-03-30,,
35,Indonesia,1414,129,122,8,75,1217,0,5,4,2020-03-30,,
36,Finland,1352,112,13,2,10,1329,49,244,2,2020-03-30,,
37,South Africa,1326,46,3,1,31,1292,7,22,5,2020-03-30,,
38,India,1251,227,32,5,102,1117,0,9,2,2020-03-30,,
39,Greece,1212,56,46,7,52,1114,72,116,4,2020-03-30,,
40,Iceland,1086,66,2,0,157,927,25,3182,6,2020-03-30,,
41,Panama,1075,86,27,3,9,1039,43,249,6,2020-03-30,,
42,Mexico,993,145,20,4,35,938,1,8,2,2020-03-30,,
43,Peru,950,98,24,6,53,873,49,29,7,2020-03-30,,
44,Dominican Republic,901,42,42,3,4,855,0,83,4,2020-03-30,,
45,Singapore,879,35,3,0,228,648,19,150,5,2020-03-30,,
46,Argentina,820,0,23,3,228,569,0,18,5,2020-03-30,,
47,Colombia,798,96,14,4,15,769,29,16,3,2020-03-30,,
48,Croatia,790,77,6,0,67,717,27,192,1,2020-03-30,,
49,Serbia,785,44,16,3,42,727,62,90,2,2020-03-30,,
50,Slovenia,756,26,11,0,10,735,28,364,5,2020-03-30,,
51,Estonia,715,36,3,0,20,692,10,539,2,2020-03-30,,
52,Diamond Princess,712,0,10,0,603,99,15,0,0,2020-03-30,,
53,Qatar,693,59,1,0,51,641,6,241,3,2020-03-30,,
