index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,76942,6,2444,2,23174,11477,2020-02-23,,,,,
1,Diamond Princess,691,57,3,1,17,36,2020-02-23,,,,,
2,S. Korea,602,166,6,4,18,7,2020-02-23,,,,,
3,Italy,157,78,3,1,2,26,2020-02-23,,,,,
4,Japan,146,12,1,0,23,7,2020-02-23,,,,,
5,Singapore,89,0,0,0,51,5,2020-02-23,,,,,
6,Hong Kong,74,4,2,0,12,6,2020-02-23,,,,,
7,Iran,43,14,8,2,0,0,2020-02-23,,,,,
8,Thailand,35,0,0,0,21,2,2020-02-23,,,,,
9,USA,35,0,0,0,7,0,2020-02-23,,,,,
10,Taiwan,28,2,1,0,2,1,2020-02-23,,,,,
11,Australia,22,1,0,0,11,0,2020-02-23,,,,,
12,Malaysia,22,0,0,0,18,0,2020-02-23,,,,,
13,Germany,16,0,0,0,14,0,2020-02-23,,,,,
14,Vietnam,16,0,0,0,15,0,2020-02-23,,,,,
15,U.K.,13,4,0,0,8,0,2020-02-23,,,,,
16,U.A.E.,13,0,0,0,3,2,2020-02-23,,,,,
17,France,12,0,1,0,10,0,2020-02-23,,,,,
18,Canada,10,1,0,0,3,0,2020-02-23,,,,,
19,Macao,10,0,0,0,6,0,2020-02-23,,,,,
20,Philippines,3,0,1,0,2,0,2020-02-23,,,,,
21,India,3,0,0,0,3,0,2020-02-23,,,,,
22,Israel,2,1,0,0,0,0,2020-02-23,,,,,
23,Russia,2,0,0,0,2,0,2020-02-23,,,,,
24,Spain,2,0,0,0,2,0,2020-02-23,,,,,
25,Belgium,1,0,0,0,1,0,2020-02-23,,,,,
26,Cambodia,1,0,0,0,1,0,2020-02-23,,,,,
27,Egypt,1,0,0,0,1,0,2020-02-23,,,,,
28,Finland,1,0,0,0,1,0,2020-02-23,,,,,
29,Lebanon,1,0,0,0,0,0,2020-02-23,,,,,
30,Nepal,1,0,0,0,1,0,2020-02-23,,,,,
31,Sri Lanka,1,0,0,0,1,0,2020-02-23,,,,,
32,Sweden,1,0,0,0,0,0,2020-02-23,,,,,
33,Iraq,1,0,0,0,0,0,2020-02-23,,,,,
