index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80152,1,2945,2,29785,47422,6806,2020-03-03,,,,
1,S. Korea,5186,851,34,6,5118,34,27,2020-03-03,,,,
2,Italy,2502,466,79,27,2263,160,229,2020-03-03,,,,
3,Iran,2336,835,77,11,1824,435,0,2020-03-03,,,,
4,Diamond Princess,706,0,6,0,600,100,36,2020-03-03,,,,
5,Japan,293,19,6,0,244,43,23,2020-03-03,,,,
6,France,212,21,4,1,196,12,8,2020-03-03,,,,
7,Germany,196,31,0,0,180,16,2,2020-03-03,,,,
8,Spain,165,45,1,1,162,2,3,2020-03-03,,,,
9,USA,118,18,9,3,100,9,7,2020-03-03,,,,
10,Singapore,110,2,0,0,32,78,7,2020-03-03,,,,
11,Hong Kong,101,1,2,0,62,37,6,2020-03-03,,,,
12,Switzerland,58,28,0,0,56,2,0,2020-03-03,,,,
13,Kuwait,56,0,0,0,56,0,0,2020-03-03,,,,
14,U.K.,51,12,0,0,43,8,0,2020-03-03,,,,
15,Bahrain,49,0,0,0,49,0,0,2020-03-03,,,,
16,Thailand,43,0,1,0,12,30,1,2020-03-03,,,,
17,Taiwan,42,1,1,0,29,12,1,2020-03-03,,,,
18,Australia,39,6,1,0,23,15,1,2020-03-03,,,,
19,Malaysia,36,7,0,0,14,22,0,2020-03-03,,,,
20,Norway,33,8,0,0,33,0,0,2020-03-03,,,,
21,Iraq,32,5,0,0,32,0,0,2020-03-03,,,,
22,Canada,30,3,0,0,23,7,0,2020-03-03,,,,
23,Sweden,30,15,0,0,29,1,0,2020-03-03,,,,
24,U.A.E.,27,6,0,0,22,5,2,2020-03-03,,,,
25,Austria,24,6,0,0,24,0,0,2020-03-03,,,,
26,Netherlands,23,5,0,0,23,0,1,2020-03-03,,,,
27,Vietnam,16,0,0,0,0,16,0,2020-03-03,,,,
28,Belgium,13,5,0,0,12,1,0,2020-03-03,,,,
29,Lebanon,13,0,0,0,13,0,0,2020-03-03,,,,
30,Israel,12,0,0,0,11,1,0,2020-03-03,,,,
31,Oman,12,6,0,0,10,2,0,2020-03-03,,,,
32,Iceland,11,2,0,0,10,1,0,2020-03-03,,,,
33,San Marino,10,2,1,0,9,0,1,2020-03-03,,,,
34,Macao,10,0,0,0,1,9,0,2020-03-03,,,,
35,Denmark,10,6,0,0,10,0,0,2020-03-03,,,,
36,Croatia,9,1,0,0,9,0,0,2020-03-03,,,,
37,Algeria,8,3,0,0,8,0,0,2020-03-03,,,,
38,Qatar,8,1,0,0,8,0,0,2020-03-03,,,,
39,Ecuador,7,1,0,0,7,0,1,2020-03-03,,,,
40,Finland,7,0,0,0,6,1,0,2020-03-03,,,,
41,Greece,7,0,0,0,7,0,0,2020-03-03,,,,
42,India,6,0,0,0,3,3,0,2020-03-03,,,,
43,Mexico,6,0,0,0,5,1,0,2020-03-03,,,,
44,Czechia,5,1,0,0,5,0,0,2020-03-03,,,,
45,Pakistan,5,1,0,0,5,0,0,2020-03-03,,,,
46,Portugal,4,2,0,0,4,0,0,2020-03-03,,,,
47,Romania,4,1,0,0,3,1,0,2020-03-03,,,,
48,Philippines,3,0,1,0,0,2,0,2020-03-03,,,,
49,Azerbaijan,3,0,0,0,3,0,0,2020-03-03,,,,
50,Georgia,3,0,0,0,3,0,0,2020-03-03,,,,
51,Russia,3,0,0,0,1,2,0,2020-03-03,,,,
52,Brazil,2,0,0,0,2,0,0,2020-03-03,,,,
53,Egypt,2,0,0,0,1,1,0,2020-03-03,,,,
54,Estonia,2,1,0,0,2,0,0,2020-03-03,,,,
55,Indonesia,2,0,0,0,2,0,0,2020-03-03,,,,
56,Ireland,2,1,0,0,2,0,0,2020-03-03,,,,
57,Senegal,2,1,0,0,2,0,0,2020-03-03,,,,
58,Afghanistan,1,0,0,0,1,0,0,2020-03-03,,,,
59,Andorra,1,0,0,0,1,0,0,2020-03-03,,,,
60,Armenia,1,0,0,0,1,0,0,2020-03-03,,,,
61,Belarus,1,0,0,0,1,0,0,2020-03-03,,,,
62,Cambodia,1,0,0,0,0,1,0,2020-03-03,,,,
63,Dominican Republic,1,0,0,0,1,0,0,2020-03-03,,,,
64,Jordan,1,0,0,0,1,0,0,2020-03-03,,,,
65,Latvia,1,0,0,0,1,0,0,2020-03-03,,,,
66,Lithuania,1,0,0,0,1,0,0,2020-03-03,,,,
67,Luxembourg,1,0,0,0,1,0,0,2020-03-03,,,,
68,North Macedonia,1,0,0,0,1,0,0,2020-03-03,,,,
69,Monaco,1,0,0,0,1,0,0,2020-03-03,,,,
70,Morocco,1,0,0,0,1,0,0,2020-03-03,,,,
71,Nepal,1,0,0,0,0,1,0,2020-03-03,,,,
72,New Zealand,1,0,0,0,1,0,0,2020-03-03,,,,
73,Nigeria,1,0,0,0,1,0,0,2020-03-03,,,,
74,Saudi Arabia,1,0,0,0,1,0,0,2020-03-03,,,,
75,Sri Lanka,1,0,0,0,0,1,0,2020-03-03,,,,
76,Tunisia,1,0,0,0,1,0,0,2020-03-03,,,,
77,Ukraine,1,1,0,0,1,0,0,2020-03-03,,,,
78,Argentina,1,1,0,0,1,0,0,2020-03-03,,,,
79,Chile,1,1,0,0,1,0,0,2020-03-03,,,,
80,Liechtenstein,1,1,0,0,1,0,0,2020-03-03,,,,
81,Total:,92880,2431,3168,51,41218,48494,7162,2020-03-03,,,,
