index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2040111,28135,123463,1501,663633,1253015,19423,0,0,0,0,2020-05-30
1,South America,844617,44563,39315,1137,345821,459481,11281,0,0,0,0,2020-05-30
2,Europe,2004226,17357,173280,749,978245,852701,8796,0,0,0,0,2020-05-30
3,Asia,1107521,27087,30207,541,672392,404922,13621,0,0,0,0,2020-05-30
4,Africa,143769,6225,4092,147,60987,78690,370,0,0,0,0,2020-05-30
5,Oceania,8794,12,125,0,8188,481,4,0,0,0,0,2020-05-30
6,,721,0,15,0,651,55,4,0,0,0,0,2020-05-30
7,World,6149759,123379,370497,4075,2729917,3049345,53499,789,475,0,0,2020-05-30
8,USA,1816122,22592,105548,1006,530647,1179927,17159,5490,319,17204748,52004,2020-05-30
9,Brazil,498440,30102,28834,890,205371,264235,8318,2346,136,930013,4378,2020-05-30
10,Russia,396575,8952,4555,181,167469,224551,2300,2718,31,10316200,70693,2020-05-30
11,Spain,286308,664,27125,4,196958,62225,617,6124,580,3556567,76071,2020-05-30
12,UK,272826,1604,38376,215,0,0,1559,4021,566,4043686,59593,2020-05-30
13,Italy,232664,416,33340,111,155633,43691,450,3848,551,3824621,63249,2020-05-30
14,France,188625,1828,28771,57,68268,91586,1325,2890,441,1384633,21217,2020-05-30
15,Germany,183294,275,8600,6,164900,9794,720,2188,103,3952971,47194,2020-05-30
16,India,181827,8336,5185,205,86936,89706,8944,132,4,3611599,2619,2020-05-30
17,Turkey,163103,983,4515,26,126984,31604,649,1936,54,2003594,23779,2020-05-30
18,Peru,155671,7386,4371,141,66447,84853,960,4727,133,1012708,30754,2020-05-30
19,Iran,148950,2282,7734,57,116827,24389,2533,1775,92,896571,10687,2020-05-30
20,Chile,94858,4220,997,53,40431,53430,1371,4966,52,563320,29491,2020-05-30
21,Canada,90166,748,7073,94,48065,35028,1618,2391,188,1631250,43255,2020-05-30
22,Mexico,84627,3227,9415,371,59610,15602,378,657,73,244858,1901,2020-05-30
23,Saudi Arabia,83384,1618,480,22,58883,24021,384,2399,14,806569,23202,2020-05-30
24,Pakistan,66457,2429,1395,78,24131,40931,111,301,6,532037,2413,2020-05-30
25,Belgium,58186,125,9453,23,15769,32964,173,5022,816,848065,73202,2020-05-30
26,Qatar,55262,2355,36,0,25839,29387,217,19211,13,217988,75782,2020-05-30
27,Netherlands,46257,131,5951,20,0,0,170,2700,347,349150,20380,2020-05-30
28,Bangladesh,44608,1764,610,28,9375,34623,1,271,4,297054,1805,2020-05-30
29,Belarus,41658,894,229,5,17964,23465,92,4408,24,526559,55723,2020-05-30
30,Ecuador,38571,0,3334,0,19190,16047,220,2189,189,113808,6460,2020-05-30
31,Sweden,37113,637,4395,45,4971,27747,190,3677,435,238800,23658,2020-05-30
32,Singapore,34366,506,23,0,20727,13616,7,5878,4,334691,57249,2020-05-30
33,UAE,33896,726,262,2,17546,16088,1,3431,27,2110493,213622,2020-05-30
34,Portugal,32203,257,1396,13,19186,11621,66,3157,137,795838,78030,2020-05-30
35,South Africa,30967,1727,643,32,16116,14208,128,523,11,701883,11848,2020-05-30
36,Switzerland,30845,17,1919,0,28400,526,27,3566,222,394717,45637,2020-05-30
37,Colombia,28236,1548,890,37,7121,20225,136,555,18,306411,6028,2020-05-30
38,Kuwait,26192,1008,205,11,10156,15831,206,6142,48,290013,68002,2020-05-30
39,Indonesia,25773,557,1573,53,7015,17185,0,94,6,311906,1141,2020-05-30
40,Ireland,24929,53,1651,6,22089,1189,42,5054,335,325795,66047,2020-05-30
41,Poland,23571,416,1061,10,11016,11494,160,623,28,899069,23753,2020-05-30
42,Egypt,23449,1367,913,34,5693,16843,41,230,9,135000,1322,2020-05-30
43,Ukraine,23204,393,696,17,9311,13197,273,530,16,348279,7960,2020-05-30
44,Romania,19133,151,1259,11,13046,4828,160,994,65,425819,22123,2020-05-30
45,Philippines,17224,590,950,8,3808,12466,56,157,9,340954,3115,2020-05-30
46,Israel,17012,25,284,0,14811,1917,39,1850,31,567429,61693,2020-05-30
47,Dominican Republic,16908,377,498,10,9557,6853,106,1560,46,76930,7098,2020-05-30
48,Japan,16804,85,886,12,14406,1512,123,133,7,287754,2275,2020-05-30
49,Austria,16685,30,668,0,15520,497,23,1853,74,442143,49117,2020-05-30
50,Argentina,16214,795,528,8,4788,10898,259,359,12,155407,3441,2020-05-30
51,Afghanistan,14525,866,249,3,1303,12973,19,374,6,37348,961,2020-05-30
52,Panama,13018,487,330,4,9414,3274,78,3021,77,63202,14669,2020-05-30
53,Denmark,11633,40,571,3,10327,735,20,2009,99,618860,106876,2020-05-30
54,S. Korea,11441,39,269,0,10398,774,15,223,5,902901,17612,2020-05-30
55,Serbia,11381,27,242,0,6606,4533,10,1302,28,242782,27777,2020-05-30
56,Bahrain,10793,344,17,2,5826,4950,10,6366,10,309573,182590,2020-05-30
57,Oman,10423,603,42,1,2396,7985,31,2046,8,72000,14135,2020-05-30
58,Kazakhstan,10382,450,38,1,5220,5124,62,554,2,788289,42028,2020-05-30
59,Nigeria,9855,553,273,12,2856,6726,7,48,1,60825,296,2020-05-30
60,Algeria,9267,133,646,8,5549,3072,34,212,15,0,0,2020-05-30
61,Czechia,9230,34,319,0,6546,2365,19,862,30,436372,40755,2020-05-30
62,Armenia,8927,251,127,7,3317,5483,10,3013,43,57081,19266,2020-05-30
63,Bolivia,8731,344,300,7,749,7682,3,749,26,22294,1912,2020-05-30
64,Norway,8437,15,236,0,7727,474,8,1557,44,245352,45289,2020-05-30
65,Moldova,8098,202,291,3,4455,3352,256,2007,72,40565,10054,2020-05-30
66,Morocco,7780,66,204,2,5401,2175,18,211,6,199998,5424,2020-05-30
67,Ghana,7768,152,35,1,2540,5193,17,250,1,211622,6824,2020-05-30
68,Malaysia,7762,30,115,0,6330,1317,9,240,4,546368,16901,2020-05-30
69,Australia,7185,12,103,0,6606,476,4,282,4,1428538,56080,2020-05-30
70,Finland,6826,50,316,2,5500,1010,11,1232,57,182700,32978,2020-05-30
