index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,date,tests_1m_pop
0,North America,819036,27630,43289,1752,86770,688977,14644,0,0,0,2020-04-19,
1,Europe,1088698,28660,101780,2502,309495,677423,25395,0,0,0,2020-04-19,
2,Asia,383155,12371,14786,385,180611,187758,6403,0,0,0,2020-04-19,
3,South America,82150,4177,3847,194,36329,41974,7534,0,0,0,2020-04-19,
4,Oceania,8140,35,83,2,5159,2898,68,0,0,0,2020-04-19,
5,Africa,22966,1225,1125,43,5840,16001,174,0,0,0,2020-04-19,
6,,721,0,15,0,644,62,7,0,0,0,2020-04-19,
7,World,2404866,74098,164925,4878,624848,1615093,54225,309,212,0,2020-04-19,
8,USA,763594,24802,40527,1513,70938,652129,13566,2307,122,3861382,2020-04-19,
9,Spain,198674,4258,20453,410,77357,100864,7371,4249,437,930230,2020-04-19,
10,Italy,178972,3047,23660,433,47055,108257,2635,2960,391,1356541,2020-04-19,
11,France,152894,1101,19718,395,36578,96598,5744,2342,302,463662,2020-04-19,
12,Germany,145184,1460,4586,48,88000,52598,2889,1733,55,1728357,2020-04-19,
13,UK,120067,5850,16060,596,0,103663,1559,1769,237,482063,2020-04-19,
14,Turkey,86306,3977,2017,127,11976,72313,1922,1023,24,634277,2020-04-19,
15,Iran,82211,1343,5118,87,57023,20070,3456,979,61,341662,2020-04-19,
16,Russia,42853,6060,361,48,3291,39201,8,294,2,1940000,2020-04-19,
17,Brazil,38654,1932,2462,101,22130,14062,6634,182,12,62985,2020-04-19,
18,Belgium,38496,1313,5683,230,8757,24056,1081,3322,490,153778,2020-04-19,
19,Canada,35056,1673,1587,117,11843,21626,557,929,42,536062,2020-04-19,
20,Netherlands,32655,1066,3684,83,250,28721,1176,1906,215,154911,2020-04-19,
21,Switzerland,27740,336,1393,25,17800,8547,386,3205,161,221263,2020-04-19,
22,Portugal,20206,521,714,27,610,18882,224,1982,70,235878,2020-04-19,
23,India,17615,1250,559,38,2854,14202,0,13,4,401586,2020-04-19,
