index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,276037,31160,7385,1314,12268,256384,5787,834,22,2020-04-03,,
1,Italy,119827,4585,14681,766,19758,85388,4068,1982,243,2020-04-03,,
2,Spain,119199,7134,11198,850,30513,77488,6416,2549,240,2020-04-03,,
3,Germany,91159,6365,1275,168,24575,65309,3936,1088,15,2020-04-03,,
4,France,64338,5233,6507,1120,14008,43823,6662,986,100,2020-04-03,,
5,Iran,53183,2715,3294,134,17935,31954,4035,633,39,2020-04-03,,
6,UK,38168,4450,3605,684,135,34428,163,562,53,2020-04-03,,
7,Turkey,20921,2786,425,69,484,20012,1251,248,5,2020-04-03,,
8,Switzerland,19606,779,591,55,4846,14169,348,2265,68,2020-04-03,,
9,Belgium,16770,1422,1143,132,2872,12755,1205,1447,99,2020-04-03,,
10,Netherlands,15723,1026,1487,148,250,13986,1324,918,87,2020-04-03,,
11,Canada,12375,1092,208,35,2186,9981,120,328,6,2020-04-03,,
12,Austria,11524,395,168,10,2022,9334,245,1280,19,2020-04-03,,
13,S. Korea,10062,86,174,5,6021,3867,55,196,3,2020-04-03,,
14,Portugal,9886,852,246,37,68,9572,245,970,24,2020-04-03,,
15,Brazil,9194,1150,363,39,127,8704,296,43,2,2020-04-03,,
16,Israel,7428,571,40,4,403,6985,113,858,5,2020-04-03,,
17,Sweden,6131,563,358,50,205,5568,469,607,35,2020-04-03,,
18,Australia,5454,140,28,3,585,4841,85,214,1,2020-04-03,,
19,Norway,5370,223,59,9,32,5279,96,991,11,2020-04-03,,
20,Ireland,4273,424,120,22,5,4148,109,865,24,2020-04-03,,
21,Czechia,4190,332,53,9,72,4065,77,391,5,2020-04-03,,
22,Russia,4149,601,34,4,281,3834,8,28,2,2020-04-03,,
23,Denmark,3757,371,139,16,1193,2425,153,649,24,2020-04-03,,
24,Chile,3737,333,22,4,427,3288,31,195,1,2020-04-03,,
25,Poland,3383,437,71,14,56,3256,50,89,2,2020-04-03,,
26,Ecuador,3368,205,145,25,65,3158,100,191,8,2020-04-03,,
27,Malaysia,3333,217,53,3,827,2453,108,103,2,2020-04-03,,
28,Romania,3183,445,133,18,283,2767,83,165,7,2020-04-03,,
29,Philippines,3018,385,136,29,52,2830,1,28,1,2020-04-03,,
30,Pakistan,2686,265,40,6,126,2520,10,12,2,2020-04-03,,
