index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80796,3,3169,0,62836,14791,4257,561,2020-03-12,,,
1,Italy,15113,2651,1016,189,1258,12839,1153,2500,2020-03-12,,,
2,Iran,10075,1075,429,75,3276,6370,0,1200,2020-03-12,,,
3,S. Korea,7869,114,66,6,333,7470,93,1535,2020-03-12,,,
4,Spain,3146,869,86,31,189,2871,190,673,2020-03-12,,,
5,France,2876,595,61,13,12,2803,129,441,2020-03-12,,,
6,Germany,2745,779,6,3,25,2714,9,328,2020-03-12,,,
7,USA,1686,385,40,2,30,1616,10,51,2020-03-12,,,
8,Switzerland,868,216,7,3,4,857,0,1003,2020-03-12,,,
9,Norway,800,171,1,1,1,798,0,1476,2020-03-12,,,
10,Diamond Princess,696,0,7,0,325,364,32,0,2020-03-12,,,
11,Japan,691,52,19,4,118,554,29,55,2020-03-12,,,
12,Sweden,687,187,1,0,1,685,2,680,2020-03-12,,,
13,Denmark,674,160,0,0,1,673,2,1164,2020-03-12,,,
14,Netherlands,614,111,5,0,2,607,1,358,2020-03-12,,,
15,UK,590,130,10,2,18,562,20,87,2020-03-12,,,
16,Belgium,399,85,3,0,1,395,2,344,2020-03-12,,,
17,Austria,361,115,1,1,4,356,1,401,2020-03-12,,,
18,Qatar,262,0,0,0,0,262,0,909,2020-03-12,,,
19,Bahrain,197,2,0,0,35,162,1,1158,2020-03-12,,,
20,Singapore,187,9,0,0,96,91,12,320,2020-03-12,,,
21,Malaysia,158,9,0,0,26,132,2,49,2020-03-12,,,
22,Australia,156,28,3,0,26,127,1,61,2020-03-12,,,
23,Canada,142,32,1,0,11,130,1,38,2020-03-12,,,
24,Hong Kong,130,0,3,0,77,50,6,173,2020-03-12,,,
25,Greece,117,18,1,1,0,116,2,112,2020-03-12,,,
26,Czechia,113,19,0,0,0,113,0,106,2020-03-12,,,
27,Finland,109,44,0,0,1,108,0,197,2020-03-12,,,
28,Iceland,109,24,0,0,0,109,0,0,2020-03-12,,,
29,Israel,109,12,0,0,4,105,2,126,2020-03-12,,,
30,Slovenia,96,39,0,0,0,96,0,462,2020-03-12,,,
31,UAE,85,11,0,0,20,65,2,86,2020-03-12,,,
32,Iraq,83,12,8,1,24,51,0,21,2020-03-12,,,
33,Egypt,80,13,2,1,27,51,0,8,2020-03-12,,,
34,Kuwait,80,8,0,0,5,75,4,187,2020-03-12,,,
35,Portugal,78,17,0,0,1,77,1,76,2020-03-12,,,
36,Brazil,77,25,0,0,0,77,2,4,2020-03-12,,,
37,India,74,12,1,1,4,69,0,1,2020-03-12,,,
38,San Marino,72,3,5,2,0,67,3,0,2020-03-12,,,
39,Ireland,70,27,1,0,0,69,6,142,2020-03-12,,,
40,Thailand,70,11,1,0,35,34,1,10,2020-03-12,,,
41,Lebanon,68,0,3,1,1,64,3,100,2020-03-12,,,
42,Romania,59,12,0,0,6,53,1,31,2020-03-12,,,
43,Philippines,52,3,2,0,2,48,1,5,2020-03-12,,,
44,Poland,51,20,1,1,0,50,3,13,2020-03-12,,,
45,Taiwan,49,1,1,0,20,28,0,21,2020-03-12,,,
46,Saudi Arabia,45,0,0,0,1,44,0,13,2020-03-12,,,
47,Vietnam,39,0,0,0,16,23,0,4,2020-03-12,,,
48,Indonesia,34,0,1,0,3,30,0,1,2020-03-12,,,
49,Russia,34,6,0,0,3,31,0,2,2020-03-12,,,
50,Chile,33,10,0,0,0,33,0,17,2020-03-12,,,
51,Palestine,31,1,0,0,0,31,0,61,2020-03-12,,,
52,Argentina,30,9,1,0,0,29,1,7,2020-03-12,,,
53,Croatia,27,8,0,0,1,26,0,66,2020-03-12,,,
54,Estonia,27,11,0,0,0,27,0,204,2020-03-12,,,
55,Algeria,26,6,2,2,10,14,0,6,2020-03-12,,,
56,Luxembourg,26,19,0,0,0,26,1,0,2020-03-12,,,
57,Georgia,25,1,0,0,0,25,1,63,2020-03-12,,,
58,Brunei,25,14,0,0,0,25,0,0,2020-03-12,,,
59,Serbia,24,6,0,0,0,24,0,27,2020-03-12,,,
60,Albania,23,8,1,0,0,22,0,80,2020-03-12,,,
61,Bulgaria,23,16,1,0,0,22,0,33,2020-03-12,,,
62,Costa Rica,23,1,0,0,0,23,1,45,2020-03-12,,,
63,Peru,22,5,0,0,0,22,0,7,2020-03-12,,,
64,Belarus,21,12,0,0,3,18,0,22,2020-03-12,,,
