index,country_or_territory_name,total_cases,total_deaths,date,new_cases,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,6070,133,2020-01-29,,,,,,,,,
1,Thailand,14,0,2020-01-29,,,,,,,,,
2,Hong Kong,11,0,2020-01-29,,,,,,,,,
3,Taiwan,8,0,2020-01-29,,,,,,,,,
4,Macau,7,0,2020-01-29,,,,,,,,,
5,Malaysia,7,0,2020-01-29,,,,,,,,,
6,Singapore,10,0,2020-01-29,,,,,,,,,
7,Japan,7,0,2020-01-29,,,,,,,,,
8,Australia,7,0,2020-01-29,,,,,,,,,
9,United States,5,0,2020-01-29,,,,,,,,,
10,South Korea,4,0,2020-01-29,,,,,,,,,
11,France,4,0,2020-01-29,,,,,,,,,
12,Germany,4,0,2020-01-29,,,,,,,,,
13,Canada,3,0,2020-01-29,,,,,,,,,
14,Vietnam,2,0,2020-01-29,,,,,,,,,
15,Cambodia,1,0,2020-01-29,,,,,,,,,
16,Nepal,1,0,2020-01-29,,,,,,,,,
17,United Arab Emirates,4,0,2020-01-29,,,,,,,,,
18,Finland,1,0,2020-01-29,,,,,,,,,
19,Sri Lanka,1,0,2020-01-29,,,,,,,,,
