index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,4306704,76899,191676,1566,2021368,2093660,19916,0,0,0,0,2020-07-16
1,South America,3114013,64567,112246,1975,2075884,925883,13682,0,0,0,0,2020-07-16
2,Asia,3194398,63514,75201,1314,2252628,866569,19983,0,0,0,0,2020-07-16
3,Europe,2628812,14721,198163,398,1558929,871720,5284,0,0,0,0,2020-07-16
4,Africa,667179,20206,14399,370,346452,306328,1003,0,0,0,0,2020-07-16
5,Oceania,12479,324,135,2,9641,2703,30,0,0,0,0,2020-07-16
6,,721,0,15,0,651,55,4,0,0,0,0,2020-07-16
7,World,13924306,240231,591835,5625,8265553,5066918,59902,1786,759,0,0,2020-07-16
8,USA,3683324,66497,141016,872,1673175,1869133,16432,11125,426,45553679,137590,2020-07-16
9,Brazil,2014738,43829,76822,1299,1366775,571141,8318,9476,361,4911063,23098,2020-07-16
10,India,1005637,35468,25609,680,636602,343426,8944,728,19,12739490,9228,2020-07-16
11,Russia,752797,6428,11937,167,531692,209168,2300,5158,82,24053516,164821,2020-07-16
12,Peru,341586,3862,12615,198,230994,97977,1302,10355,382,2003963,60747,2020-07-16
13,South Africa,324221,13172,4669,216,165591,153961,539,5464,79,2324923,39182,2020-07-16
14,Chile,323698,2493,7290,104,295301,21107,1821,16927,381,1351904,70696,2020-07-16
15,Mexico,317635,6149,36906,579,199129,81600,378,2463,286,768457,5958,2020-07-16
16,Spain,305935,1361,28416,3,0,0,617,6543,608,6026446,128893,2020-07-16
17,UK,292552,641,45119,66,0,0,145,4309,664,12669634,186591,2020-07-16
18,Iran,267061,2500,13608,198,230608,22845,3471,3178,162,2073791,24678,2020-07-16
19,Pakistan,257914,2145,5426,40,178737,73751,1942,1167,25,1652183,7475,2020-07-16
20,Italy,243736,230,35017,20,196246,12473,53,4032,579,6103492,100954,2020-07-16
21,Saudi Arabia,243238,2764,2370,45,187622,53246,2206,6983,68,2494873,71623,2020-07-16
22,Turkey,216873,933,5440,21,198820,12613,1213,2570,64,4149909,49185,2020-07-16
23,Germany,201836,584,9157,9,186400,6279,255,2409,109,6884614,82160,2020-07-16
24,Bangladesh,196323,2733,2496,39,106963,86864,1,1192,15,993291,6029,2020-07-16
25,France,173838,534,30138,18,79036,64664,481,2663,462,2602581,39868,2020-07-16
26,Colombia,173206,8037,6029,215,76164,91013,1027,3403,118,1113507,21875,2020-07-16
27,Argentina,114783,3637,2112,62,49120,63551,752,2539,47,508228,11241,2020-07-16
28,Canada,109264,435,8825,15,72836,27603,2173,2894,234,3387679,89728,2020-07-16
29,Qatar,105477,494,152,1,102168,3157,135,37566,54,430661,153380,2020-07-16
30,Iraq,86148,2281,3522,90,54316,28310,382,2140,87,744847,18505,2020-07-16
31,Egypt,85771,928,4120,53,26691,54960,41,838,40,135000,1318,2020-07-16
32,Indonesia,81668,1574,3873,76,40345,37450,0,298,14,1146286,4189,2020-07-16
33,Sweden,76877,115,5593,10,0,0,81,7610,554,681820,67495,2020-07-16
34,Ecuador,71365,1036,5207,49,31260,34898,313,4043,295,194578,11023,2020-07-16
35,Belarus,65623,180,485,5,56915,8223,89,6945,51,1162280,123003,2020-07-16
36,Kazakhstan,65188,1674,375,0,39066,25747,221,3470,20,1737546,92496,2020-07-16
37,Belgium,63039,167,9792,4,17253,35994,27,5438,845,1412925,121891,2020-07-16
38,Oman,62574,1327,290,9,40090,22194,149,12244,57,258148,50512,2020-07-16
39,Philippines,61266,2498,1643,29,21440,38183,647,559,15,1062804,9694,2020-07-16
40,Kuwait,57668,791,402,3,47545,9721,142,13496,94,449525,105205,2020-07-16
41,Ukraine,56455,848,1445,18,28931,26079,79,1291,33,840332,19220,2020-07-16
42,UAE,56129,281,335,0,47412,8382,1,5673,34,4316763,436262,2020-07-16
43,Bolivia,52218,1351,1942,44,16357,33919,71,4471,166,114270,9784,2020-07-16
44,Netherlands,51351,99,6137,1,0,0,15,2997,358,764079,44588,2020-07-16
45,Panama,49243,0,982,0,25417,22844,157,11406,227,174345,40384,2020-07-16
46,Dominican Republic,48743,1072,941,12,23636,24166,246,4492,87,201669,18583,2020-07-16
47,Portugal,47765,339,1679,3,32476,13610,72,4685,165,1413519,138643,2020-07-16
48,Singapore,47126,248,27,0,43256,3843,0,8053,5,1009532,172506,2020-07-16
49,Israel,46059,1871,384,8,20370,25305,202,5008,42,1379491,149984,2020-07-16
50,Poland,39054,333,1605,11,28928,8521,68,1032,42,1886089,49837,2020-07-16
51,Bahrain,35084,524,121,4,30809,4154,48,20600,71,703002,412780,2020-07-16
52,Afghanistan,35070,76,1113,19,22824,11133,31,900,29,82352,2114,2020-07-16
53,Romania,35003,777,1971,19,22189,10843,261,1820,102,906015,47111,2020-07-16
54,Nigeria,34854,595,769,9,14292,19793,7,169,4,202097,980,2020-07-16
55,Armenia,33559,554,607,15,21931,11021,10,11324,205,141410,47718,2020-07-16
56,Switzerland,33290,142,1969,1,29900,1421,21,3845,227,708370,81825,2020-07-16
57,Guatemala,32939,865,1404,54,4807,26728,5,1837,78,64590,3603,2020-07-16
58,Honduras,30036,930,825,18,3379,25832,58,3031,83,49308,4975,2020-07-16
59,Azerbaijan,26165,493,334,8,17256,8575,66,2580,33,601500,59303,2020-07-16
60,Ghana,26125,695,139,0,22270,3716,8,840,4,339491,10918,2020-07-16
61,Ireland,25698,15,1749,1,23364,585,9,5202,354,532062,107707,2020-07-16
62,Japan,22890,382,985,1,18814,3091,37,181,8,599239,4739,2020-07-16
63,Algeria,21355,585,1052,12,15107,5196,61,487,24,0,0,2020-07-16
64,Moldova,20264,224,666,7,13640,5958,358,5024,165,101180,25085,2020-07-16
65,Serbia,19717,383,442,13,14047,5228,177,2257,51,524578,60049,2020-07-16
66,Austria,19270,116,711,1,17244,1315,11,2139,79,726345,80629,2020-07-16
67,Nepal,17344,167,39,0,11249,6056,0,595,1,616212,21136,2020-07-16
68,Morocco,16545,283,263,4,13965,2317,31,448,7,953715,25827,2020-07-16
69,Cameroon,16157,984,373,14,13728,2056,52,608,14,135000,5082,2020-07-16
70,Uzbekistan,15066,485,75,4,8783,6208,43,450,2,1377915,41148,2020-07-16
71,S. Korea,13612,61,291,2,12396,925,15,265,6,1441348,28112,2020-07-16
72,Ivory Coast,13554,151,87,0,7363,6104,0,513,3,80633,3054,2020-07-16
73,Czechia,13551,76,355,0,8629,4567,18,1265,33,610642,57017,2020-07-16
74,Denmark,13124,32,610,0,12195,319,5,2265,105,1290888,222834,2020-07-16
75,Kyrgyzstan,12498,521,167,7,3735,8596,24,1915,26,259793,39797,2020-07-16
76,Kenya,11673,421,217,8,3638,7818,44,217,4,229390,4263,2020-07-16
77,El Salvador,10957,312,298,12,6257,4402,413,1689,46,202126,31156,2020-07-16
78,Australia,10810,323,113,2,8035,2662,30,424,4,3284182,128735,2020-07-16
79,Sudan,10527,0,668,0,5601,4258,0,240,15,401,9,2020-07-16
80,Venezuela,10428,0,100,0,3050,7278,24,367,4,1406576,49471,2020-07-16
81,Costa Rica,9546,560,42,2,2673,6831,35,1873,8,61216,12013,2020-07-16
82,Norway,9015,4,254,1,8138,623,1,1662,47,392676,72410,2020-07-16
83,Malaysia,8737,3,122,0,8538,77,3,270,4,868394,26818,2020-07-16
84,North Macedonia,8623,93,401,8,4565,3657,55,4139,192,80774,38771,2020-07-16
85,Senegal,8481,112,156,3,5735,2590,38,506,9,94078,5614,2020-07-16
86,Ethiopia,8475,294,148,2,2430,5897,35,74,1,250604,2178,2020-07-16
87,DRC,8199,36,193,1,4248,3758,0,91,2,0,0,2020-07-16
88,Bulgaria,8144,267,293,4,3927,3924,28,1172,42,196479,28287,2020-07-16
89,Bosnia and Herzegovina,7681,270,240,5,3534,3907,0,2342,73,116067,35388,2020-07-16
90,Palestine,7412,348,51,7,1313,6048,0,1452,10,141444,27706,2020-07-16
91,Finland,7293,0,328,0,6880,85,0,1316,59,294900,53221,2020-07-16
92,Haiti,6902,71,145,2,3484,3273,0,605,13,14963,1312,2020-07-16
93,Tajikistan,6741,46,56,0,5431,1254,0,706,6,0,0,2020-07-16
94,French Guiana,6393,94,34,1,3818,2541,26,21387,114,11609,38837,2020-07-16
95,Guinea,6359,83,39,1,5012,1308,24,484,3,14407,1096,2020-07-16
96,Gabon,6121,0,46,0,3664,2411,11,2748,21,52166,23420,2020-07-16
97,Madagascar,6089,484,53,10,2951,3085,61,220,2,31296,1129,2020-07-16
98,Mauritania,5659,95,150,1,2993,2516,7,1216,32,13842,2975,2020-07-16
99,Luxembourg,5285,163,111,0,4275,899,5,8438,177,314956,502852,2020-07-16
100,Djibouti,4993,8,56,0,4796,141,0,5051,57,52899,53513,2020-07-16
101,CAR,4373,11,53,0,1265,3055,2,905,11,27763,5745,2020-07-16
102,Hungary,4279,16,595,0,3156,528,5,443,62,300632,31124,2020-07-16
103,Croatia,4039,86,120,0,2729,1190,6,984,29,99414,24223,2020-07-16
104,Greece,3939,29,193,0,1374,2372,14,378,19,398347,38226,2020-07-16
105,Albania,3851,99,104,3,2137,1610,11,1338,36,30120,10467,2020-07-16
106,Paraguay,3342,144,27,2,1379,1936,12,468,4,98088,13746,2020-07-16
107,Thailand,3236,4,58,0,3095,83,1,46,8,603657,8647,2020-07-16
108,Nicaragua,3147,0,99,0,2282,766,0,475,15,0,0,2020-07-16
109,Somalia,3106,23,93,0,1444,1569,2,195,6,0,0,2020-07-16
110,Equatorial Guinea,3071,0,51,0,842,2178,0,2187,36,16000,11394,2020-07-16
111,Maldives,2899,68,15,1,2339,545,12,5360,28,65176,120501,2020-07-16
112,Mayotte,2778,35,37,0,2581,160,3,10175,136,13000,47615,2020-07-16
113,Malawi,2712,98,51,8,1073,1588,4,142,3,22296,1165,2020-07-16
114,Sri Lanka,2686,15,11,0,2007,668,1,125,5,130390,6088,2020-07-16
115,Lebanon,2599,57,40,2,1485,1074,14,381,6,194448,28495,2020-07-16
116,Mali,2440,7,121,0,1777,542,0,120,6,16317,805,2020-07-16
117,Cuba,2440,2,87,0,2285,68,2,215,8,211427,18667,2020-07-16
118,Congo,2358,136,48,1,589,1721,0,427,9,0,0,2020-07-16
119,South Sudan,2171,18,41,0,1175,955,0,194,4,12044,1075,2020-07-16
120,Estonia,2016,0,69,0,1904,43,1,1520,52,113569,85611,2020-07-16
121,Slovakia,1951,24,28,0,1514,409,2,357,5,235772,43184,2020-07-16
122,Iceland,1914,3,10,0,1892,12,0,5607,29,106883,313135,2020-07-16
123,Lithuania,1902,6,79,0,1593,230,6,699,29,472804,173800,2020-07-16
124,Guinea-Bissau,1902,60,26,0,773,1103,5,966,13,1500,762,2020-07-16
125,Slovenia,1897,19,111,0,1522,264,1,912,53,119385,57426,2020-07-16
126,Zambia,1895,0,42,0,1412,441,1,103,2,56825,3088,2020-07-16
127,Cabo Verde,1894,114,19,0,902,973,0,3405,34,41091,73876,2020-07-16
128,Sierra Leone,1678,10,64,0,1213,401,0,210,8,0,0,2020-07-16
129,Hong Kong,1656,67,10,0,1254,392,6,221,1,442256,58972,2020-07-16
130,Libya,1652,63,46,3,379,1227,0,240,7,38266,5566,2020-07-16
131,Yemen,1552,26,438,5,695,419,0,52,15,120,4,2020-07-16
132,Eswatini,1552,63,21,1,736,795,5,1337,18,17559,15129,2020-07-16
133,New Zealand,1548,1,22,0,1499,27,0,309,4,436233,87210,2020-07-16
134,Rwanda,1473,38,4,0,770,699,0,114,3,200358,15457,2020-07-16
135,Benin,1463,85,28,2,557,878,1,121,2,67622,5573,2020-07-16
136,Mozambique,1383,53,9,0,375,999,0,44,3,42551,1360,2020-07-16
137,Zimbabwe,1362,273,23,3,425,914,0,92,2,97508,6557,2020-07-16
138,Tunisia,1327,8,50,0,1093,184,0,112,4,81281,6875,2020-07-16
139,Montenegro,1287,0,24,0,330,933,7,2049,38,27367,43573,2020-07-16
140,Jordan,1206,5,10,0,1019,177,3,118,10,492161,48218,2020-07-16
141,Latvia,1179,1,31,0,1022,126,0,625,16,175696,93198,2020-07-16
142,Niger,1102,2,69,0,993,40,0,45,3,6696,276,2020-07-16
143,Liberia,1070,14,68,17,486,516,0,211,13,0,0,2020-07-16
144,Uganda,1051,8,0,0,1014,37,0,23,0,235013,5133,2020-07-16
