index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,74192,1756,2006,138,14926,12017,2020-02-19,,,,,
1,Diamond Princess,621,79,0,0,17,20,2020-02-19,,,,,
2,Japan,84,10,1,0,20,4,2020-02-19,,,,,
3,Singapore,84,3,0,0,34,4,2020-02-19,,,,,
4,Hong Kong,65,3,2,1,5,6,2020-02-19,,,,,
5,S. Korea,51,20,0,0,16,0,2020-02-19,,,,,
6,Thailand,35,0,0,0,17,2,2020-02-19,,,,,
7,Taiwan,23,1,1,0,2,0,2020-02-19,,,,,
8,Malaysia,22,0,0,0,15,0,2020-02-19,,,,,
9,Germany,16,0,0,0,9,0,2020-02-19,,,,,
10,Vietnam,16,0,0,0,14,0,2020-02-19,,,,,
11,USA,15,0,0,0,3,0,2020-02-19,,,,,
12,Australia,15,0,0,0,10,0,2020-02-19,,,,,
13,France,12,0,1,0,7,0,2020-02-19,,,,,
14,Macao,10,0,0,0,5,0,2020-02-19,,,,,
15,U.A.E.,9,0,0,0,3,1,2020-02-19,,,,,
16,U.K.,9,0,0,0,8,0,2020-02-19,,,,,
17,Canada,8,0,0,0,1,0,2020-02-19,,,,,
18,Philippines,3,0,1,0,2,0,2020-02-19,,,,,
19,India,3,0,0,0,3,0,2020-02-19,,,,,
20,Italy,3,0,0,0,0,2,2020-02-19,,,,,
21,Iran,2,2,2,2,0,0,2020-02-19,,,,,
22,Russia,2,0,0,0,2,0,2020-02-19,,,,,
23,Spain,2,0,0,0,2,0,2020-02-19,,,,,
24,Belgium,1,0,0,0,1,0,2020-02-19,,,,,
25,Finland,1,0,0,0,1,0,2020-02-19,,,,,
26,Egypt,1,0,0,0,0,0,2020-02-19,,,,,
27,Sweden,1,0,0,0,0,0,2020-02-19,,,,,
28,Nepal,1,0,0,0,1,0,2020-02-19,,,,,
29,Cambodia,1,0,0,0,1,0,2020-02-19,,,,,
30,Sri Lanka,1,0,0,0,1,0,2020-02-19,,,,,
