index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,9635402,52154,327081,529,6349291,2959030,18142,0,0,0,0,2020-10-12
1,Asia,11919861,89642,214653,1421,10256021,1449187,20945,0,0,0,0,2020-10-12
2,South America,8698935,28387,272214,797,7580423,846298,17623,0,0,0,0,2020-10-12
3,Europe,6147230,95322,231823,754,3043899,2871508,10645,0,0,0,0,2020-10-12
4,Africa,1593242,5956,38361,193,1318239,236642,1685,0,0,0,0,2020-10-12
5,Oceania,33035,530,943,1,29544,2548,10,0,0,0,0,2020-10-12
6,,721,0,15,0,659,47,4,0,0,0,0,2020-10-12
7,World,38028426,271991,1085090,3695,28578076,8365260,69054,4879,1392,0,0,2020-10-12
8,USA,8037193,45195,220010,315,5174973,2642210,14851,24241,664,119458869,360307,2020-10-12
9,India,7173345,54045,109894,710,6224621,838830,8944,5184,79,87872093,63501,2020-10-12
10,Brazil,5103408,8429,150709,203,4495269,457430,8318,23962,708,17900000,84044,2020-10-12
11,Russia,1312310,13592,22722,125,1024235,265353,2300,8991,156,51191309,350740,2020-10-12
12,Colombia,919083,7767,27985,151,798396,92702,2220,18009,548,4202181,82341,2020-10-12
13,Spain,918223,9286,33124,65,0,0,1546,19637,708,14590713,312035,2020-10-12
14,Argentina,903730,9524,24186,318,732582,146962,4287,19945,534,2239514,49425,2020-10-12
15,Peru,849371,0,33305,0,743969,72097,1210,25661,1006,4077357,123186,2020-10-12
16,Mexico,817503,3175,83781,139,594180,139542,2391,6322,648,2088941,16154,2020-10-12
17,France,743479,8505,32779,96,100828,609872,1448,11383,502,12394558,189768,2020-10-12
18,South Africa,693359,888,17863,83,624659,50837,546,11650,300,4418418,74239,2020-10-12
19,UK,617688,13972,42875,50,0,0,442,9085,631,27831743,409373,2020-10-12
20,Iran,504281,4206,28816,272,409121,66344,4533,5983,342,4340831,51498,2020-10-12
