index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80881,0,3226,0,68719,8936,3226,562,2020-03-17,,,
1,Italy,31506,3526,2503,345,2941,26062,2060,5211,2020-03-17,,,
2,Iran,16169,1178,988,135,5389,9792,0,1925,2020-03-17,,,
3,Spain,11826,1884,533,191,1028,10265,563,2529,2020-03-17,,,
4,Germany,9367,2095,26,9,67,9274,2,1118,2020-03-17,,,
5,S. Korea,8320,84,81,6,1401,6838,59,1623,2020-03-17,,,
6,France,7730,1097,175,27,602,6953,699,1184,2020-03-17,,,
7,USA,6439,1776,109,23,106,6224,12,195,2020-03-17,,,
8,Switzerland,2742,389,27,8,15,2700,0,3168,2020-03-17,,,
9,UK,1950,407,71,16,65,1814,20,287,2020-03-17,,,
10,Netherlands,1705,292,43,19,2,1660,45,995,2020-03-17,,,
11,Norway,1470,122,3,0,1,1466,27,2712,2020-03-17,,,
12,Austria,1332,314,4,1,8,1320,12,1479,2020-03-17,,,
13,Belgium,1243,185,10,0,14,1219,33,1073,2020-03-17,,,
14,Sweden,1196,75,8,1,1,1187,12,1184,2020-03-17,,,
15,Denmark,977,63,4,0,1,972,18,1687,2020-03-17,,,
16,Japan,878,45,29,1,144,705,41,69,2020-03-17,,,
17,Diamond Princess,696,0,7,0,456,233,15,0,2020-03-17,,,
18,Malaysia,673,107,2,2,49,622,10,208,2020-03-17,,,
19,Canada,598,157,8,4,12,578,1,158,2020-03-17,,,
20,Australia,452,51,5,0,27,420,1,177,2020-03-17,,,
21,Portugal,448,117,1,0,3,444,18,439,2020-03-17,,,
22,Qatar,442,3,0,0,4,438,0,1534,2020-03-17,,,
23,Czechia,434,90,0,0,3,431,2,405,2020-03-17,,,
24,Greece,387,35,5,1,14,368,11,371,2020-03-17,,,
25,Brazil,346,112,1,1,2,343,18,16,2020-03-17,,,
26,Israel,337,39,0,0,11,326,5,389,2020-03-17,,,
27,Finland,322,44,0,0,10,312,2,581,2020-03-17,,,
28,Ireland,292,69,2,0,5,285,6,591,2020-03-17,,,
29,Slovenia,275,22,1,0,0,274,4,1323,2020-03-17,,,
30,Singapore,266,23,0,0,114,152,14,455,2020-03-17,,,
31,Iceland,247,48,0,0,5,242,1,0,2020-03-17,,,
32,Pakistan,247,63,0,1,2,245,0,11,2020-03-17,,,
33,Bahrain,241,13,1,0,88,152,3,1416,2020-03-17,,,
34,Poland,238,61,5,1,1,232,3,63,2020-03-17,,,
35,Estonia,225,20,0,0,1,224,0,1696,2020-03-17,,,
36,Romania,217,49,0,0,19,198,5,113,2020-03-17,,,
37,Chile,201,45,0,0,0,201,3,105,2020-03-17,,,
38,Egypt,196,30,6,2,26,164,0,19,2020-03-17,,,
