index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,7147327,54901,265636,1851,4095540,2786151,20727,0,0,0,0,2020-08-27
1,South America,6039916,66017,196434,1677,4639327,1204155,15053,0,0,0,0,2020-08-27
2,Asia,6681839,103007,136551,1653,5325130,1220158,18861,0,0,0,0,2020-08-27
3,Europe,3480959,28625,206596,371,2033079,1241284,5561,0,0,0,0,2020-08-27
4,Africa,1225247,8683,28910,254,957846,238491,1282,0,0,0,0,2020-08-27
5,Oceania,27914,130,600,24,22400,4914,48,0,0,0,0,2020-08-27
6,,721,0,15,0,651,55,4,0,0,0,0,2020-08-27
7,World,24603923,261363,834742,5830,17073973,6695208,61536,3156,1071,0,0,2020-08-27
8,USA,6044756,44391,184748,1095,3344880,2515128,16371,18245,558,79396836,239649,2020-08-27
9,Brazil,3764493,42489,118726,970,2947250,698517,8318,17691,558,14172764,66603,2020-08-27
10,India,3384575,76826,61694,1065,2583063,739818,8944,2449,45,38576510,27912,2020-08-27
11,Russia,975576,4711,16804,121,792561,166211,2300,6685,115,35400000,242558,2020-08-27
12,South Africa,618286,2585,13628,126,531338,73320,539,10405,229,3617982,60886,2020-08-27
13,Peru,613378,0,28124,0,421877,163377,1512,18564,851,3055850,92485,2020-08-27
14,Colombia,582022,9752,18468,284,417793,145761,1493,11420,362,2619712,51401,2020-08-27
15,Mexico,573888,5267,62076,626,396758,115054,3305,4444,481,1291083,9998,2020-08-27
16,Spain,451792,3781,28996,25,0,0,715,9662,620,8517446,182162,2020-08-27
17,Chile,404102,1737,11072,82,377922,15108,1012,21111,578,2303242,120327,2020-08-27
18,Argentina,380292,10104,8050,211,274458,97784,2075,8402,178,1172811,25913,2020-08-27
19,Iran,367796,2190,21137,117,316638,30021,3822,4370,251,3138782,37297,2020-08-27
20,UK,330368,1522,41477,12,0,0,64,4863,610,16273209,239518,2020-08-27
21,Saudi Arabia,311855,1019,3785,30,286255,21815,1582,8937,108,4792192,137330,2020-08-27
22,Bangladesh,304583,2436,4127,45,193458,106998,0,1847,25,1500385,9096,2020-08-27
23,Pakistan,294638,445,6274,7,279561,8803,641,1330,28,2535778,11447,2020-08-27
24,Turkey,263998,1491,6209,26,240792,16997,862,3125,73,6727860,79640,2020-08-27
25,Italy,263949,1411,35463,5,206554,21932,67,4367,587,8313445,137531,2020-08-27
26,France,259698,6111,30576,32,85984,143138,381,3977,468,6000000,91889,2020-08-27
27,Germany,240565,1565,9359,7,215495,15711,245,2870,112,11208091,133707,2020-08-27
28,Iraq,219435,3651,6740,72,161009,51686,566,5438,167,1524864,37786,2020-08-27
29,Philippines,205581,3249,3234,97,133990,68357,841,1872,29,2439301,22215,2020-08-27
30,Indonesia,162884,2719,7064,120,118575,37245,0,595,26,2136416,7798,2020-08-27
31,Canada,126780,363,9101,7,112771,4908,45,3355,241,5293936,140077,2020-08-27
32,Qatar,117988,246,195,1,114797,2996,66,42021,69,609258,216987,2020-08-27
33,Bolivia,112094,1095,4726,62,50397,56971,71,9583,404,239073,20439,2020-08-27
34,Ukraine,112059,1974,2403,49,54217,55439,177,2565,55,1452006,33233,2020-08-27
35,Ecuador,111219,670,6471,61,95202,9546,370,6289,366,319537,18070,2020-08-27
36,Israel,110403,2000,884,9,87726,21793,409,12003,96,2217857,241135,2020-08-27
37,Kazakhstan,105243,168,1523,0,94713,9007,221,5595,81,2434444,129416,2020-08-27
38,Egypt,98062,237,5342,25,69612,23108,41,956,52,135000,1316,2020-08-27
39,Dominican Republic,92964,407,1630,17,64347,26987,226,8557,150,358533,33000,2020-08-27
40,Panama,89982,900,1948,16,63996,24038,153,20805,450,321482,74331,2020-08-27
41,Oman,85005,187,650,4,79608,4747,153,16585,127,309212,60327,2020-08-27
42,Sweden,83898,0,5820,5,0,0,21,8299,576,1094856,108305,2020-08-27
43,Romania,83150,1504,3459,38,36677,43014,492,4327,180,1730420,90046,2020-08-27
44,Belgium,83030,583,9879,1,18331,54820,85,7159,852,2189246,188769,2020-08-27
45,Kuwait,82945,674,522,1,74522,7901,97,19379,122,603604,141025,2020-08-27
