index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81008,0,3255,0,71740,6013,1927,56,2020-03-21,,,
1,Italy,53578,6557,4825,793,6072,42681,2857,886,2020-03-21,,,
2,Spain,25496,3925,1378,285,2125,21993,1612,545,2020-03-21,,,
3,USA,24218,4835,302,46,171,23745,64,73,2020-03-21,,,
4,Germany,22364,2516,84,16,209,22071,2,267,2020-03-21,,,
5,Iran,20610,966,1556,123,7635,11419,0,245,2020-03-21,,,
6,France,14459,1847,562,112,1587,12310,1525,222,2020-03-21,,,
7,S. Korea,8799,147,102,8,2612,6085,59,172,2020-03-21,,,
8,Switzerland,6863,1248,80,24,131,6652,141,793,2020-03-21,,,
9,UK,5018,1035,233,56,93,4692,20,74,2020-03-21,,,
10,Netherlands,3631,637,136,30,2,3493,354,212,2020-03-21,,,
11,Austria,2992,343,8,2,9,2975,15,332,2020-03-21,,,
12,Belgium,2815,558,67,30,263,2485,288,243,2020-03-21,,,
13,Norway,2164,205,7,0,6,2151,28,399,2020-03-21,,,
14,Sweden,1770,131,20,4,16,1734,71,175,2020-03-21,,,
15,Canada,1328,241,19,7,14,1295,1,35,2020-03-21,,,
16,Denmark,1326,71,13,4,1,1312,42,229,2020-03-21,,,
17,Portugal,1280,260,12,6,5,1263,26,126,2020-03-21,,,
18,Malaysia,1183,153,8,5,114,1061,26,37,2020-03-21,,,
19,Brazil,1178,208,18,7,2,1158,18,6,2020-03-21,,,
20,Australia,1072,144,7,0,46,1019,2,42,2020-03-21,,,
21,Japan,1054,47,36,1,215,803,55,8,2020-03-21,,,
22,Czechia,995,162,0,0,6,989,7,93,2020-03-21,,,
23,Turkey,947,277,21,12,0,926,0,11,2020-03-21,,,
24,Israel,883,178,1,0,36,846,15,102,2020-03-21,,,
25,Ireland,785,102,3,0,5,777,13,159,2020-03-21,,,
26,Diamond Princess,712,0,8,0,567,137,15,0,2020-03-21,,,
27,Luxembourg,670,186,8,3,6,656,3,1070,2020-03-21,,,
28,Pakistan,645,144,3,0,13,629,0,3,2020-03-21,,,
29,Chile,537,103,1,1,8,528,7,28,2020-03-21,,,
30,Poland,536,111,5,0,13,518,3,14,2020-03-21,,,
31,Ecuador,532,106,7,0,3,522,2,30,2020-03-21,,,
32,Greece,530,35,13,3,19,498,18,51,2020-03-21,,,
33,Finland,523,73,1,1,10,512,2,94,2020-03-21,,,
34,Qatar,481,11,0,0,27,454,6,167,2020-03-21,,,
35,Iceland,473,64,1,1,5,467,1,1386,2020-03-21,,,
36,Indonesia,450,81,38,6,20,392,0,2,2020-03-21,,,
37,Singapore,432,47,2,2,140,290,14,74,2020-03-21,,,
38,Thailand,411,89,1,0,44,366,7,6,2020-03-21,,,
39,Saudi Arabia,392,48,0,0,16,376,0,11,2020-03-21,,,
40,Slovenia,383,42,1,0,0,382,12,184,2020-03-21,,,
41,Romania,367,59,0,0,52,315,14,19,2020-03-21,,,
42,India,332,83,5,0,23,304,0,2,2020-03-21,,,
43,Peru,318,55,5,1,1,312,5,10,2020-03-21,,,
44,Bahrain,310,12,1,0,125,184,4,182,2020-03-21,,,
45,Philippines,307,77,19,1,13,275,1,3,2020-03-21,,,
46,Russia,306,53,1,0,16,289,0,2,2020-03-21,,,
47,Estonia,306,23,0,0,2,304,0,231,2020-03-21,,,
48,Egypt,294,9,10,2,42,242,0,3,2020-03-21,,,
49,Hong Kong,273,17,4,0,98,171,4,36,2020-03-21,,,
50,Panama,245,45,3,2,1,241,7,57,2020-03-21,,,
51,South Africa,240,38,0,0,2,238,0,4,2020-03-21,,,
52,Lebanon,230,53,4,0,8,218,4,34,2020-03-21,,,
53,Iraq,214,6,17,0,51,146,0,5,2020-03-21,,,
54,Croatia,206,76,1,0,5,200,0,50,2020-03-21,,,
55,Mexico,203,39,2,1,4,197,1,2,2020-03-21,,,
56,Colombia,196,51,0,0,1,195,0,4,2020-03-21,,,
57,Slovakia,178,41,0,0,7,171,2,33,2020-03-21,,,
58,Kuwait,176,17,0,0,27,149,5,41,2020-03-21,,,
59,Serbia,171,36,1,0,2,168,4,20,2020-03-21,,,
60,Bulgaria,163,36,3,0,3,157,3,23,2020-03-21,,,
61,San Marino,160,9,20,6,4,136,12,4715,2020-03-21,,,
62,Armenia,160,24,0,0,1,159,2,54,2020-03-21,,,
63,Argentina,158,0,4,1,3,151,0,3,2020-03-21,,,
64,Taiwan,153,18,2,0,28,123,0,6,2020-03-21,,,
65,UAE,153,13,2,0,38,113,2,15,2020-03-21,,,
66,Algeria,139,45,15,4,65,59,0,3,2020-03-21,,,
67,Latvia,124,13,0,0,1,123,0,66,2020-03-21,,,
68,Costa Rica,117,4,2,0,2,113,2,23,2020-03-21,,,
69,Dominican Republic,112,40,3,1,0,109,0,10,2020-03-21,,,
70,Uruguay,110,0,0,0,0,110,3,32,2020-03-21,,,
71,Hungary,103,18,4,0,7,92,6,11,2020-03-21,,,
72,Jordan,100,16,0,0,1,99,0,10,2020-03-21,,,
73,Lithuania,99,30,1,0,1,97,1,36,2020-03-21,,,
74,Morocco,96,10,3,0,3,90,1,3,2020-03-21,,,
75,Vietnam,94,3,0,0,17,77,2,10,2020-03-21,,,
76,Bosnia and Herzegovina,93,4,1,1,2,90,1,28,2020-03-21,,,
77,Faeroe Islands,92,12,0,0,3,89,0,1883,2020-03-21,,,
78,Andorra,88,13,0,0,1,87,2,1139,2020-03-21,,,
79,North Macedonia,85,9,0,0,1,84,1,41,2020-03-21,,,
80,Cyprus,84,9,1,1,3,80,3,70,2020-03-21,,,
81,Brunei,83,5,0,0,1,82,2,190,2020-03-21,,,
82,Moldova,80,14,1,0,1,78,3,20,2020-03-21,,,
83,Sri Lanka,77,4,0,0,3,74,2,4,2020-03-21,,,
84,Albania,76,6,2,0,2,72,2,26,2020-03-21,,,
85,Belarus,76,7,0,0,15,61,0,8,2020-03-21,,,
86,Malta,73,9,0,0,2,71,1,165,2020-03-21,,,
87,Venezuela,70,5,0,0,15,55,2,2,2020-03-21,,,
88,Burkina Faso,64,24,3,2,5,56,0,3,2020-03-21,,,
89,Tunisia,60,6,1,0,1,58,7,5,2020-03-21,,,
90,Guadeloupe,56,5,1,0,0,55,4,140,2020-03-21,,,
91,Senegal,56,9,0,0,5,51,0,3,2020-03-21,,,
92,Kazakhstan,54,2,0,0,0,54,0,3,2020-03-21,,,
93,Azerbaijan,53,9,1,0,11,41,0,5,2020-03-21,,,
94,Cambodia,53,2,0,0,2,51,0,3,2020-03-21,,,
95,Palestine,53,5,0,0,17,36,0,10,2020-03-21,,,
96,New Zealand,52,0,0,0,0,52,0,11,2020-03-21,,,
97,Oman,52,4,0,0,13,39,0,10,2020-03-21,,,
98,Georgia,49,5,0,0,1,48,1,12,2020-03-21,,,
99,Trinidad and Tobago,49,40,0,0,0,49,0,35,2020-03-21,,,
100,Ukraine,47,6,3,0,1,43,0,1,2020-03-21,,,
101,Réunion,47,9,0,0,0,47,0,52,2020-03-21,,,
102,Uzbekistan,41,8,0,0,0,41,0,1,2020-03-21,,,
103,Cameroon,40,13,0,0,2,38,0,2,2020-03-21,,,
104,Martinique,37,5,1,0,0,36,7,99,2020-03-21,,,
105,Liechtenstein,37,9,0,0,0,37,0,970,2020-03-21,,,
106,Channel Islands,32,20,0,0,0,32,0,184,2020-03-21,,,
107,Bangladesh,24,4,2,1,3,19,0,1,2020-03-21,,,
108,Afghanistan,24,0,0,0,1,23,0,6,2020-03-21,,,
109,Honduras,24,0,0,0,0,24,0,2,2020-03-21,,,
110,DRC,23,5,1,1,0,22,0,3,2020-03-21,,,
111,Paraguay,22,4,1,1,0,21,1,3,2020-03-21,,,
112,Nigeria,22,10,0,0,1,21,0,1,2020-03-21,,,
113,Cuba,21,0,1,0,0,20,0,2,2020-03-21,,,
114,Ghana,21,5,1,1,0,20,0,7,2020-03-21,,,
115,Puerto Rico,21,7,0,0,0,21,0,7,2020-03-21,,,
116,Jamaica,19,0,1,0,2,16,0,6,2020-03-21,,,
117,Bolivia,19,3,0,0,0,19,0,2,2020-03-21,,,
118,Guyana,18,3,1,0,0,17,0,23,2020-03-21,,,
119,Macao,18,1,0,0,10,8,0,28,2020-03-21,,,
120,Monaco,18,7,0,0,1,17,0,459,2020-03-21,,,
121,French Guiana,18,3,0,0,0,18,0,60,2020-03-21,,,
122,Guatemala,17,5,1,0,0,16,0,9,2020-03-21,,,
123,Rwanda,17,0,0,0,0,17,0,1,2020-03-21,,,
