index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2011708,30521,121959,1785,646533,1243216,19446,0,0,0,0,2020-05-29
1,South America,800011,42523,38175,1442,327855,433981,11227,0,0,0,0,2020-05-29
2,Europe,1986891,16992,172531,963,963146,851214,9017,0,0,0,0,2020-05-29
3,Asia,1080434,29168,29665,545,651407,399362,13676,0,0,0,0,2020-05-29
4,Africa,137544,5957,3945,131,58196,75403,356,0,0,0,0,2020-05-29
5,Oceania,8782,23,125,0,8164,493,4,0,0,0,0,2020-05-29
6,,721,0,15,0,651,55,4,0,0,0,0,2020-05-29
7,World,6026091,125184,366415,4866,2655952,3003724,53730,773,470,0,0,2020-05-29
8,USA,1793263,24802,104539,1209,519381,1169343,17203,5421,316,16790070,50752,2020-05-29
9,Brazil,468338,29526,27944,1180,193181,247213,8318,2205,132,871839,4104,2020-05-29
10,Russia,387623,8572,4374,232,159257,223992,2300,2656,30,10000061,68527,2020-05-29
11,Spain,285644,658,27121,2,196958,61565,617,6110,580,3556567,76071,2020-05-29
12,UK,271222,2095,38161,324,0,0,1559,3997,562,4043686,59594,2020-05-29
13,Italy,232248,516,33229,87,152844,46175,475,3841,550,3755279,62102,2020-05-29
14,France,186835,597,28714,52,67803,90318,1361,2863,440,1384633,21217,2020-05-29
15,Germany,183019,567,8594,24,164100,10325,729,2185,103,3952971,47194,2020-05-29
16,India,173491,8105,4980,269,82627,85884,8944,126,4,3483838,2527,2020-05-29
17,Turkey,162120,1141,4489,28,125963,31668,662,1924,53,1964364,23315,2020-05-29
18,Peru,148285,6506,4230,131,62791,81264,926,4503,128,963617,29264,2020-05-29
19,Iran,146668,2819,7677,50,114931,24060,2547,1748,92,896571,10687,2020-05-29
20,Chile,90638,3695,944,54,38598,51096,1350,4745,49,546506,28611,2020-05-29
21,Canada,89418,906,6979,102,47518,34921,1613,2371,185,1596449,42333,2020-05-29
22,Saudi Arabia,81766,1581,458,17,57013,24295,384,2352,13,787465,22653,2020-05-29
23,Mexico,81400,3377,9044,447,56638,15718,378,632,70,244858,1901,2020-05-29
24,Pakistan,64028,2801,1317,57,22305,40406,111,290,6,520017,2359,2020-05-29
25,Belgium,58061,212,9430,42,15682,32949,187,5012,814,836879,72237,2020-05-29
26,Qatar,52907,1993,36,3,20604,32267,216,18394,13,212897,74016,2020-05-29
27,Netherlands,46126,176,5931,28,0,0,180,2692,346,348256,20328,2020-05-29
28,Bangladesh,42844,2523,582,23,9015,33247,1,260,4,287067,1745,2020-05-29
29,Belarus,40764,906,224,5,17390,23150,92,4314,24,512418,54226,2020-05-29
30,Ecuador,38571,100,3334,21,19190,16047,220,2189,189,113808,6460,2020-05-29
31,Sweden,36476,749,4350,84,4971,27155,289,3614,431,238800,23659,2020-05-29
32,Singapore,33860,611,23,0,19631,14206,8,5792,4,334691,57250,2020-05-29
33,UAE,33170,638,260,2,17097,15813,1,3358,26,2110493,213629,2020-05-29
34,Portugal,31946,350,1383,14,18911,11652,66,3132,136,795838,78029,2020-05-29
35,Switzerland,30828,32,1919,0,28300,609,32,3564,222,390697,45173,2020-05-29
36,South Africa,29240,1837,611,34,15093,13536,128,494,10,680175,11482,2020-05-29
37,Colombia,26688,1322,853,31,6913,18922,136,525,17,283346,5574,2020-05-29
38,Indonesia,25216,678,1520,24,6492,17204,0,92,6,300545,1100,2020-05-29
39,Kuwait,25184,1072,194,9,9273,15717,191,5905,45,282341,66206,2020-05-29
40,Ireland,24876,35,1645,6,22089,1142,47,5043,333,325795,66049,2020-05-29
41,Poland,23155,330,1051,13,10692,11412,160,612,28,873456,23077,2020-05-29
42,Ukraine,22811,429,679,10,8934,13198,267,521,16,337318,7709,2020-05-29
43,Egypt,22082,1289,879,34,5511,15692,41,216,9,135000,1322,2020-05-29
44,Romania,18982,191,1248,13,12829,4905,182,986,65,421451,21895,2020-05-29
45,Israel,16987,115,284,0,14776,1927,37,1847,31,565311,61463,2020-05-29
46,Japan,16719,36,874,7,14254,1591,131,132,7,284763,2251,2020-05-29
47,Austria,16655,27,668,0,15347,640,25,1850,74,434302,48246,2020-05-29
48,Philippines,16634,1046,942,21,3720,11972,81,152,9,332689,3040,2020-05-29
49,Dominican Republic,16531,463,488,3,9266,6777,106,1525,45,76930,7098,2020-05-29
50,Argentina,15419,717,520,12,4788,10111,259,341,12,150486,3332,2020-05-29
51,Afghanistan,13659,623,246,11,1259,12154,19,352,6,35923,925,2020-05-29
52,Panama,12531,400,326,6,7540,4665,79,2909,76,63202,14670,2020-05-29
53,Denmark,11593,81,568,0,10240,785,18,2002,98,606574,104755,2020-05-29
54,S. Korea,11402,58,269,0,10363,770,15,222,5,885120,17265,2020-05-29
55,Serbia,11354,54,242,1,6524,4588,8,1299,28,239234,27371,2020-05-29
56,Bahrain,10449,397,15,0,5700,4734,9,6164,9,304179,179426,2020-05-29
57,Kazakhstan,9932,356,37,0,5057,4838,62,530,2,761727,40613,2020-05-29
58,Oman,9820,811,40,0,2396,7384,31,1928,8,72000,14136,2020-05-29
59,Nigeria,9302,387,261,2,2697,6344,7,45,1,58726,286,2020-05-29
60,Czechia,9180,40,319,0,6498,2363,19,857,30,430564,40212,2020-05-29
61,Algeria,9134,137,638,8,5422,3074,34,209,15,0,0,2020-05-29
62,Armenia,8676,460,120,7,3297,5259,10,2928,41,56042,18916,2020-05-29
63,Norway,8422,11,236,0,7727,459,8,1555,44,245352,45290,2020-05-29
64,Bolivia,8387,619,293,13,738,7356,3,719,25,22294,1912,2020-05-29
65,Moldova,7896,171,288,6,4278,3330,256,1957,71,40565,10054,2020-05-29
66,Malaysia,7732,103,115,0,6235,1382,8,239,4,519944,16084,2020-05-29
67,Morocco,7714,71,202,0,5271,2241,1,209,5,190061,5155,2020-05-29
68,Ghana,7616,313,34,0,2421,5161,17,246,1,208328,6718,2020-05-29
69,Australia,7173,23,103,0,6582,488,4,282,4,1397622,54868,2020-05-29
70,Finland,6776,33,314,1,5500,962,10,1223,57,179400,32383,2020-05-29
71,Iraq,5873,416,185,6,3044,2644,45,146,5,211485,5270,2020-05-29
72,Cameroon,5436,0,177,2,3326,1933,28,205,7,0,0,2020-05-29
73,Azerbaijan,4989,230,58,2,3125,1806,42,492,6,284669,28099,2020-05-29
74,Honduras,4752,112,196,2,519,4037,13,481,20,14790,1496,2020-05-29
75,Sudan,4521,175,233,38,816,3472,0,103,5,401,9,2020-05-29
76,Guatemala,4348,203,80,12,565,3703,5,243,4,31427,1757,2020-05-29
77,Luxembourg,4012,4,110,0,3815,87,4,6419,176,72996,116793,2020-05-29
78,Hungary,3841,25,517,8,2024,1300,24,398,54,180152,18645,2020-05-29
79,Tajikistan,3686,123,47,0,1769,1870,0,387,5,0,0,2020-05-29
80,Guinea,3656,103,22,0,2000,1634,24,279,2,14407,1100,2020-05-29
81,Uzbekistan,3468,24,14,0,2728,726,7,104,4,460000,13763,2020-05-29
82,Senegal,3429,81,41,2,1738,1650,18,205,2,39499,2365,2020-05-29
83,Thailand,3076,11,57,0,2945,74,59,44,8,375453,5380,2020-05-29
84,Djibouti,2914,0,20,0,1241,1653,0,2953,20,25257,25599,2020-05-29
85,Greece,2909,3,175,0,1374,1360,16,279,17,174844,16768,2020-05-29
86,DRC,2833,173,69,0,400,2364,0,32,8,0,0,2020-05-29
87,Ivory Coast,2750,109,32,0,1370,1348,0,105,1,26548,1009,2020-05-29
88,Gabon,2613,182,15,1,709,1889,15,1177,7,13833,6230,2020-05-29
89,Bosnia and Herzegovina,2485,23,153,0,1803,529,4,757,47,63596,19374,2020-05-29
90,Bulgaria,2485,8,136,2,1016,1333,22,357,20,79389,11418,2020-05-29
91,El Salvador,2278,84,42,3,1015,1221,30,351,6,84650,13057,2020-05-29
92,Croatia,2245,0,103,1,2059,83,4,547,25,65509,15949,2020-05-29
93,North Macedonia,2129,52,126,5,1516,487,21,1022,60,27684,13288,2020-05-29
94,Cuba,2005,22,82,0,1760,163,3,177,7,101108,8926,2020-05-29
95,Estonia,1859,8,67,1,1610,182,0,1401,51,81719,61607,2020-05-29
96,Somalia,1828,0,72,0,310,1446,2,115,5,0,0,2020-05-29
97,Iceland,1805,0,10,0,1794,1,0,5293,29,60491,177371,2020-05-29
98,Kenya,1745,127,62,4,438,1245,7,33,1,74003,1379,2020-05-29
99,Mayotte,1699,29,21,0,1385,293,9,6243,77,5200,19107,2020-05-29
100,Lithuania,1662,6,68,0,1216,378,17,610,25,294091,107910,2020-05-29
101,Kyrgyzstan,1662,68,16,0,1088,558,4,255,2,109521,16813,2020-05-29
102,Maldives,1591,78,5,0,197,1389,9,2948,9,11775,21821,2020-05-29
103,Sri Lanka,1558,28,10,0,754,794,1,73,5,60878,2844,2020-05-29
104,Slovakia,1520,0,28,0,1338,154,0,278,5,167562,30692,2020-05-29
105,New Zealand,1504,0,22,0,1481,1,0,301,4,275852,55147,2020-05-29
106,Slovenia,1473,0,108,0,1357,8,2,709,52,79284,38137,2020-05-29
107,Haiti,1443,123,35,1,22,1386,0,127,3,3475,305,2020-05-29
108,Venezuela,1327,2,11,0,302,1014,4,47,4,897695,31561,2020-05-29
109,Equatorial Guinea,1306,263,12,0,200,1094,0,934,9,854,611,2020-05-29
110,Guinea-Bissau,1256,61,8,0,42,1206,0,640,4,1500,764,2020-05-29
111,Mali,1226,32,73,1,669,484,0,61,4,3483,173,2020-05-29
112,Nepal,1212,170,6,1,206,1000,0,42,2,169632,5832,2020-05-29
113,Lebanon,1172,4,26,0,705,441,6,172,4,80239,11751,2020-05-29
114,Albania,1099,23,33,0,851,215,5,382,11,14269,4958,2020-05-29
115,Hong Kong,1080,13,4,0,1035,41,1,144,5,202930,27088,2020-05-29
116,Tunisia,1071,3,48,0,946,77,2,91,4,50380,4267,2020-05-29
117,Latvia,1064,3,24,0,745,295,3,564,13,106931,56640,2020-05-29
118,Zambia,1057,0,7,0,779,271,1,58,4,24275,1324,2020-05-29
119,Costa Rica,1022,22,10,0,653,359,2,201,2,25503,5011,2020-05-29
120,South Sudan,994,0,10,0,6,978,0,89,9,3356,300,2020-05-29
121,Ethiopia,968,137,8,1,197,763,4,8,7,101581,886,2020-05-29
122,Niger,955,0,64,0,813,78,0,40,3,6020,250,2020-05-29
123,Cyprus,942,1,17,0,784,141,4,781,14,111270,92221,2020-05-29
124,Paraguay,917,17,11,0,413,493,1,129,2,28337,3977,2020-05-29
125,CAR,874,119,1,0,23,850,0,181,2,14557,3019,2020-05-29
126,Burkina Faso,847,0,53,0,720,74,0,41,3,0,0,2020-05-29
127,Sierra Leone,829,17,45,0,386,398,0,104,6,0,0,2020-05-29
128,Uruguay,816,5,22,0,680,114,6,235,6,42624,12274,2020-05-29
129,Andorra,764,1,51,0,684,29,4,9889,660,3750,48541,2020-05-29
130,Chad,759,33,65,0,444,250,0,46,4,0,0,2020-05-29
131,Nicaragua,759,0,35,0,370,354,0,115,5,0,0,2020-05-29
132,Georgia,746,8,12,0,576,158,6,187,3,53618,13439,2020-05-29
133,Jordan,730,2,9,0,507,214,5,72,9,180119,17670,2020-05-29
134,Diamond Princess,712,0,13,0,651,48,4,0,0,0,0,2020-05-29
135,Madagascar,698,42,5,3,164,529,9,25,2,10249,371,2020-05-29
136,San Marino,671,1,42,0,344,285,1,19779,1238,4382,129167,2020-05-29
137,Malta,616,0,9,2,514,93,1,1395,20,66664,151015,2020-05-29
138,Congo,571,0,19,0,161,391,0,104,3,0,0,2020-05-29
139,Jamaica,569,0,9,0,284,276,2,192,3,11460,3872,2020-05-29
140,Channel Islands,560,0,45,0,512,3,0,3224,259,10255,59033,2020-05-29
141,Tanzania,509,0,21,0,183,305,7,9,4,0,0,2020-05-29
