index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,66291,2440,1520,140,7977,10730,2020-02-14,,,,,
1,Japan,259,8,1,0,11,9,2020-02-14,,,,,
2,Singapore,67,9,0,0,17,8,2020-02-14,,,,,
3,Hong Kong,56,3,1,0,1,7,2020-02-14,,,,,
4,Thailand,33,0,0,0,13,1,2020-02-14,,,,,
5,S. Korea,28,0,0,0,7,0,2020-02-14,,,,,
6,Malaysia,19,0,0,0,7,0,2020-02-14,,,,,
7,Taiwan,18,0,0,0,1,0,2020-02-14,,,,,
8,Germany,16,0,0,0,1,0,2020-02-14,,,,,
9,Vietnam,16,0,0,0,7,0,2020-02-14,,,,,
10,USA,15,0,0,0,3,0,2020-02-14,,,,,
11,Australia,15,0,0,0,10,0,2020-02-14,,,,,
12,France,11,0,0,0,3,1,2020-02-14,,,,,
13,Macao,10,0,0,0,3,0,2020-02-14,,,,,
14,U.K.,9,0,0,0,1,0,2020-02-14,,,,,
15,Canada,8,1,0,0,1,0,2020-02-14,,,,,
16,U.A.E.,8,0,0,0,1,1,2020-02-14,,,,,
17,Philippines,3,0,1,0,2,0,2020-02-14,,,,,
18,Italy,3,0,0,0,0,2,2020-02-14,,,,,
19,India,3,0,0,0,1,0,2020-02-14,,,,,
20,Spain,2,0,0,0,1,0,2020-02-14,,,,,
21,Russia,2,0,0,0,2,0,2020-02-14,,,,,
22,Sweden,1,0,0,0,0,0,2020-02-14,,,,,
23,Belgium,1,0,0,0,0,0,2020-02-14,,,,,
24,Egypt,1,1,0,0,0,0,2020-02-14,,,,,
25,Nepal,1,0,0,0,1,0,2020-02-14,,,,,
26,Sri Lanka,1,0,0,0,1,0,2020-02-14,,,,,
27,Finland,1,0,0,0,1,0,2020-02-14,,,,,
28,Cambodia,1,0,0,0,1,0,2020-02-14,,,,,
