index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,74582,6,2120,2,16707,12017,2020-02-20,,,,,
1,Diamond Princess,634,13,2,2,17,27,2020-02-20,,,,,
2,S. Korea,104,46,1,1,16,0,2020-02-20,,,,,
3,Japan,94,10,1,0,20,4,2020-02-20,,,,,
4,Singapore,85,1,0,0,37,4,2020-02-20,,,,,
5,Hong Kong,67,2,2,0,6,6,2020-02-20,,,,,
6,Thailand,35,0,0,0,17,2,2020-02-20,,,,,
7,Taiwan,24,1,1,0,2,1,2020-02-20,,,,,
8,Malaysia,22,0,0,0,17,0,2020-02-20,,,,,
9,Germany,16,0,0,0,13,0,2020-02-20,,,,,
10,Vietnam,16,0,0,0,14,0,2020-02-20,,,,,
11,Australia,15,0,0,0,11,0,2020-02-20,,,,,
12,USA,15,0,0,0,3,0,2020-02-20,,,,,
13,France,12,0,1,0,7,0,2020-02-20,,,,,
14,Macao,10,0,0,0,6,0,2020-02-20,,,,,
15,U.K.,9,0,0,0,8,0,2020-02-20,,,,,
16,U.A.E.,9,0,0,0,3,1,2020-02-20,,,,,
17,Canada,8,0,0,0,2,0,2020-02-20,,,,,
18,Iran,5,3,2,0,0,0,2020-02-20,,,,,
19,Philippines,3,0,1,0,2,0,2020-02-20,,,,,
20,India,3,0,0,0,3,0,2020-02-20,,,,,
21,Italy,3,0,0,0,0,2,2020-02-20,,,,,
22,Russia,2,0,0,0,2,0,2020-02-20,,,,,
23,Spain,2,0,0,0,2,0,2020-02-20,,,,,
24,Belgium,1,0,0,0,1,0,2020-02-20,,,,,
25,Cambodia,1,0,0,0,1,0,2020-02-20,,,,,
26,Egypt,1,0,0,0,1,0,2020-02-20,,,,,
27,Finland,1,0,0,0,1,0,2020-02-20,,,,,
28,Nepal,1,0,0,0,1,0,2020-02-20,,,,,
29,Sri Lanka,1,0,0,0,1,0,2020-02-20,,,,,
30,Sweden,1,0,0,0,0,0,2020-02-20,,,,,
