index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,8950182,57696,312444,1480,5782954,2854784,17523,0,0,0,0,2020-10-01
1,Asia,10751772,119641,196537,1777,9031869,1523366,20774,0,0,0,0,2020-10-01
2,South America,8138784,59345,254370,1200,7004962,879452,17350,0,0,0,0,2020-10-01
3,Europe,5093868,69160,223225,771,2559077,2311566,8812,0,0,0,0,2020-10-01
4,Africa,1496945,7228,36139,217,1239307,221499,1599,0,0,0,0,2020-10-01
5,Oceania,31394,35,929,2,28632,1833,22,0,0,0,0,2020-10-01
6,,721,0,15,0,651,55,4,0,0,0,0,2020-10-01
7,World,34463666,313105,1023659,5447,25647452,7792555,66084,4421,1313,0,0,2020-10-01
8,USA,7493859,46577,212628,888,4731133,2550098,14194,22607,641,108363538,326899,2020-10-01
9,India,6391960,81693,99804,1096,5348653,943503,8944,4621,72,75619781,54663,2020-10-01
10,Brazil,4849229,35643,144767,805,4212772,491690,8318,22773,680,17900000,84062,2020-10-01
11,Russia,1185231,8945,20891,169,964242,200098,2300,8121,143,46000000,315176,2020-10-01
12,Colombia,835339,5660,26196,198,751691,57452,2220,16374,513,3776280,74019,2020-10-01
13,Peru,814829,0,32463,0,683815,98551,1358,24628,981,3892353,117646,2020-10-01
14,Spain,778607,9419,31973,182,0,0,1561,16651,684,12723989,272116,2020-10-01
15,Argentina,765002,14001,16937,0,603140,144925,3799,16888,374,2002975,44217,2020-10-01
16,Mexico,743216,5053,77646,483,533886,131684,2458,5749,601,1952221,15102,2020-10-01
17,South Africa,676084,1745,16866,132,609584,49634,539,11364,283,4209049,70748,2020-10-01
18,France,577505,13970,32019,63,96797,448689,1238,8843,490,11020523,168742,2020-10-01
19,Chile,464750,1759,12822,81,438148,13780,849,24260,669,3355848,175175,2020-10-01
20,Iran,461044,3825,26380,211,383368,51296,4121,5472,313,4043130,47984,2020-10-01
21,UK,460178,6914,42202,59,0,0,332,6770,621,24771732,364421,2020-10-01
22,Iraq,367474,4493,9231,50,295882,62361,550,9086,228,2289877,56621,2020-10-01
23,Bangladesh,364987,1508,5272,21,277078,82637,0,2211,32,1959075,11866,2020-10-01
24,Saudi Arabia,335097,492,4794,26,319746,10557,993,9589,137,6541028,187168,2020-10-01
25,Turkey,320070,1407,8262,67,281151,30657,1507,3785,98,10493807,124092,2020-10-01
26,Italy,317409,2548,35918,24,228844,52647,291,5252,594,11452158,189482,2020-10-01
27,Philippines,314079,2415,5562,59,254223,54294,1758,2857,51,3754317,34148,2020-10-01
28,Pakistan,312806,543,6484,5,297497,8825,490,1409,29,3548476,15988,2020-10-01
29,Germany,295530,2619,9586,15,257900,28044,362,3524,114,16999253,202731,2020-10-01
30,Indonesia,291182,4174,10856,116,218487,61839,0,1062,40,3365490,12272,2020-10-01
31,Israel,253490,7996,1622,53,179468,72400,821,27560,176,3562512,387331,2020-10-01
32,Ukraine,213028,4069,4193,64,94443,114392,177,4879,96,2278248,52174,2020-10-01
33,Canada,160535,1777,9319,22,136350,14866,110,4244,246,7355960,194475,2020-10-01
34,Ecuador,138584,1537,11433,78,112296,14855,347,7826,646,439419,24813,2020-10-01
35,Bolivia,135311,670,7965,34,95529,31817,71,11553,680,301890,25775,2020-10-01
36,Romania,129658,2086,4862,37,103994,20802,557,6751,253,2445488,127337,2020-10-01
37,Morocco,126044,2391,2229,35,104136,19679,437,3405,60,2643860,71419,2020-10-01
38,Qatar,125959,199,214,0,122911,2834,58,44860,76,781128,278199,2020-10-01
39,Netherlands,124097,3252,6419,13,0,0,169,7238,374,2449577,142879,2020-10-01
40,Belgium,118452,1337,10016,15,19454,88982,157,10209,863,3236127,278921,2020-10-01
41,Panama,113342,747,2387,15,89903,21052,107,26167,551,488048,112674,2020-10-01
42,Dominican Republic,112728,519,2108,3,88205,22415,178,10366,194,481002,44230,2020-10-01
43,Kazakhstan,107979,71,1725,0,102937,3317,221,5734,92,2964281,157403,2020-10-01
44,Kuwait,105676,494,612,2,97197,7867,139,24655,143,751163,175253,2020-10-01
