index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2386174,30719,141344,1708,998168,1246662,19394,0,0,0,0,2020-06-11
1,South America,1312982,45761,56373,1750,678269,578340,11988,0,0,0,0,2020-06-11
2,Europe,2156146,15486,181458,519,1134490,840198,6745,0,0,0,0,2020-06-11
3,Asia,1499336,37140,37900,819,912574,548862,15229,0,0,0,0,2020-06-11
4,Africa,219266,7255,5868,151,100665,112733,511,0,0,0,0,2020-06-11
5,Oceania,8896,9,124,0,8349,423,2,0,0,0,0,2020-06-11
6,,721,0,15,0,651,55,4,0,0,0,0,2020-06-11
7,World,7583521,136370,423082,4947,3833166,3327273,53873,973,543,0,0,2020-06-11
8,USA,2089402,23001,116029,899,814115,1159258,16812,6314,351,23002389,69515,2020-06-11
9,Brazil,805649,30465,41058,1261,396692,367899,8318,3792,193,1364423,6422,2020-06-11
10,Russia,502436,8779,6532,174,261150,234754,2300,3443,45,13875097,95080,2020-06-11
11,India,298283,11128,8501,394,146972,142810,8944,216,6,5213140,3780,2020-06-11
12,UK,291409,1266,41279,151,0,0,516,4294,608,6240801,91957,2020-06-11
13,Spain,289787,427,27136,0,0,0,617,6198,580,4465338,95507,2020-06-11
14,Italy,236142,379,34167,53,171338,30637,236,3905,565,4443821,73492,2020-06-11
15,Peru,214788,5965,6109,206,102429,106250,1065,6520,185,1282478,38928,2020-06-11
16,Germany,186795,285,8851,7,171200,6744,462,2230,106,4694147,56036,2020-06-11
17,Iran,180156,2218,8584,78,142663,28909,2728,2146,102,1173208,13978,2020-06-11
18,Turkey,174023,987,4763,17,147860,21400,643,2065,57,2500890,29671,2020-06-11
19,France,155561,425,29346,27,72149,54066,903,2383,450,1384633,21215,2020-06-11
20,Chile,154092,5596,2648,173,126444,25000,1689,8065,139,781043,40877,2020-06-11
21,Mexico,129184,4883,15357,708,93930,19897,378,1003,119,369362,2866,2020-06-11
22,Pakistan,119536,5834,2356,101,38391,78789,111,542,11,780825,3539,2020-06-11
23,Saudi Arabia,116021,3733,857,38,80019,35145,1738,3336,25,1042312,29967,2020-06-11
24,Canada,97530,405,7996,36,57658,31876,1864,2585,212,2028496,53773,2020-06-11
25,Bangladesh,78052,3187,1049,37,16747,60256,1,474,6,457332,2779,2020-06-11
26,Qatar,75071,1476,69,3,51331,23671,230,26737,25,274793,97868,2020-06-11
27,Belgium,59711,142,9636,7,16453,33622,99,5153,832,983670,84895,2020-06-11
28,South Africa,58568,3147,1284,74,33252,24032,208,988,22,1028399,17353,2020-06-11
29,Belarus,51816,750,293,5,26643,24880,92,5483,31,678570,71810,2020-06-11
30,Sweden,48288,196,4814,19,0,0,272,4783,477,325000,32192,2020-06-11
31,Netherlands,48251,164,6044,2,0,0,77,2816,353,446164,26041,2020-06-11
32,Colombia,45212,1530,1488,55,17790,25934,335,889,29,458324,9013,2020-06-11
33,Ecuador,44440,0,3720,0,21862,18858,219,2521,211,128175,7271,2020-06-11
34,UAE,40986,479,286,2,25234,15466,1,4147,29,2582000,261244,2020-06-11
35,Egypt,39726,1442,1377,35,10691,27658,41,389,13,135000,1321,2020-06-11
36,Singapore,39387,422,25,0,27286,12076,2,6735,4,488695,83569,2020-06-11
37,Portugal,35910,310,1504,7,22002,12404,70,3521,147,954069,93553,2020-06-11
38,Indonesia,35295,979,2000,41,12636,20659,0,129,7,463620,1696,2020-06-11
39,Kuwait,34432,609,279,4,24137,10016,184,8070,65,327144,76672,2020-06-11
40,Switzerland,31044,33,1937,1,28800,307,18,3588,224,441628,51049,2020-06-11
41,Ukraine,29070,689,854,21,13141,15075,306,665,20,456509,10435,2020-06-11
42,Poland,28201,359,1215,9,13696,13290,75,745,32,1129039,29830,2020-06-11
43,Argentina,27373,1386,765,30,8332,18276,274,606,17,208519,4616,2020-06-11
44,Ireland,25238,7,1703,8,22698,837,28,5114,345,367780,74531,2020-06-11
45,Philippines,24175,443,1036,9,5165,17974,82,221,9,463025,4229,2020-06-11
46,Afghanistan,22890,748,426,21,3326,19138,19,589,11,52546,1352,2020-06-11
47,Dominican Republic,21437,629,561,11,12541,8335,110,1977,52,100035,9227,2020-06-11
48,Romania,21182,237,1369,9,15283,4530,153,1101,71,531619,27625,2020-06-11
49,Oman,19954,1067,89,5,6623,13242,92,3914,17,129527,25407,2020-06-11
50,Panama,18586,697,418,5,10977,7191,96,4312,97,82774,19202,2020-06-11
51,Israel,18569,214,300,1,15250,3019,24,2019,33,706906,76858,2020-06-11
52,Japan,17292,41,920,1,15383,989,88,137,7,328730,2599,2020-06-11
53,Austria,17034,29,674,1,15949,411,13,1892,75,506344,56238,2020-06-11
54,Iraq,16675,1261,457,31,6568,9650,98,415,11,339868,8462,2020-06-11
55,Bahrain,16667,467,34,3,11487,5146,14,9819,20,393910,232066,2020-06-11
56,Bolivia,15281,637,512,25,2261,12508,71,1310,44,39610,3396,2020-06-11
57,Armenia,14669,566,245,18,5466,8958,10,4951,83,75389,25444,2020-06-11
58,Nigeria,14554,681,387,5,4494,9673,7,71,2,85375,415,2020-06-11
59,Kazakhstan,13558,239,67,0,8593,4898,62,723,4,1050098,55964,2020-06-11
60,Serbia,12102,71,252,1,11348,502,14,1385,29,291996,33413,2020-06-11
61,Denmark,12035,19,593,0,10955,487,14,2078,102,749467,129417,2020-06-11
62,S. Korea,11947,45,276,0,10654,1017,15,233,5,1066888,20810,2020-06-11
63,Moldova,10727,406,375,4,6072,4280,339,2659,93,63328,15697,2020-06-11
64,Algeria,10589,105,741,9,7255,2593,33,242,17,0,0,2020-06-11
65,Ghana,10358,157,48,0,3824,6486,10,334,2,240204,7740,2020-06-11
