index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,75897,433,2236,0,18692,12017,2020-02-21,,,,,
1,Diamond Princess,634,0,2,0,17,27,2020-02-21,,,,,
2,S. Korea,205,94,2,1,17,0,2020-02-21,,,,,
3,Japan,108,14,1,0,22,5,2020-02-21,,,,,
4,Singapore,86,1,0,0,47,5,2020-02-21,,,,,
5,Hong Kong,69,0,2,0,6,6,2020-02-21,,,,,
6,Thailand,35,0,0,0,19,2,2020-02-21,,,,,
7,USA *,35,20,0,0,6,0,2020-02-21,,,,,
8,Taiwan,26,2,1,0,2,1,2020-02-21,,,,,
9,Malaysia,22,0,0,0,17,0,2020-02-21,,,,,
10,Italy,21,17,1,1,1,7,2020-02-21,,,,,
11,Australia,19,2,0,0,11,0,2020-02-21,,,,,
12,Iran,18,13,4,2,0,0,2020-02-21,,,,,
13,Germany,16,0,0,0,14,0,2020-02-21,,,,,
14,Vietnam,16,0,0,0,15,0,2020-02-21,,,,,
15,France,12,0,1,0,7,0,2020-02-21,,,,,
16,U.A.E.,11,2,0,0,3,1,2020-02-21,,,,,
17,Macao,10,0,0,0,6,0,2020-02-21,,,,,
18,Canada,9,1,0,0,3,0,2020-02-21,,,,,
19,U.K.,9,0,0,0,8,0,2020-02-21,,,,,
20,Philippines,3,0,1,0,2,0,2020-02-21,,,,,
21,India,3,0,0,0,3,0,2020-02-21,,,,,
22,Russia,2,0,0,0,2,0,2020-02-21,,,,,
23,Spain,2,0,0,0,2,0,2020-02-21,,,,,
24,Belgium,1,0,0,0,1,0,2020-02-21,,,,,
25,Cambodia,1,0,0,0,1,0,2020-02-21,,,,,
26,Egypt,1,0,0,0,1,0,2020-02-21,,,,,
27,Finland,1,0,0,0,1,0,2020-02-21,,,,,
28,Israel,1,1,0,0,0,0,2020-02-21,,,,,
29,Lebanon,1,1,0,0,0,0,2020-02-21,,,,,
30,Nepal,1,0,0,0,1,0,2020-02-21,,,,,
31,Sri Lanka,1,0,0,0,1,0,2020-02-21,,,,,
32,Sweden,1,0,0,0,0,0,2020-02-21,,,,,
