index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81340,0,3292,0,74588,3460,1034,57,2020-03-27,,,
1,USA,102338,16903,1607,312,2471,98260,2463,309,2020-03-27,,,
2,Italy,86498,5909,9134,919,10950,66414,3732,1431,2020-03-27,,,
3,Spain,65719,7933,5138,773,9357,51224,4165,1406,2020-03-27,,,
4,Germany,50871,6933,351,84,6658,43862,1581,607,2020-03-27,,,
5,France,32964,3809,1995,299,5700,25269,3787,505,2020-03-27,,,
6,Iran,32332,2926,2378,144,11133,18821,2893,385,2020-03-27,,,
7,UK,14543,2885,759,181,135,13649,163,214,2020-03-27,,,
8,Switzerland,12928,1117,231,39,1530,11167,203,1494,2020-03-27,,,
9,S. Korea,9332,91,139,8,4528,4665,59,182,2020-03-27,,,
10,Netherlands,8603,1172,546,112,3,8054,761,502,2020-03-27,,,
11,Austria,7697,788,58,9,225,7414,128,855,2020-03-27,,,
12,Belgium,7284,1049,289,69,858,6137,690,628,2020-03-27,,,
13,Turkey,5698,2069,92,17,42,5564,241,68,2020-03-27,,,
14,Canada,4757,714,55,16,354,4348,120,126,2020-03-27,,,
15,Portugal,4268,724,76,16,43,4149,71,419,2020-03-27,,,
16,Norway,3755,383,19,5,6,3730,70,693,2020-03-27,,,
17,Brazil,3417,432,92,15,6,3319,296,16,2020-03-27,,,
18,Australia,3180,130,13,0,170,2997,23,125,2020-03-27,,,
19,Sweden,3069,229,105,28,16,2948,214,304,2020-03-27,,,
20,Israel,3035,342,12,4,79,2944,49,351,2020-03-27,,,
21,Czechia,2279,354,9,0,11,2259,34,213,2020-03-27,,,
22,Malaysia,2161,130,26,3,259,1876,54,67,2020-03-27,,,
23,Ireland,2121,302,22,3,5,2094,59,430,2020-03-27,,,
24,Denmark,2046,169,52,11,1,1993,109,353,2020-03-27,,,
25,Ecuador,1627,224,41,7,3,1583,58,92,2020-03-27,,,
26,Chile,1610,304,5,1,43,1562,7,84,2020-03-27,,,
27,Luxembourg,1605,152,15,6,40,1550,25,2564,2020-03-27,,,
