index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,78514,19,2747,2,32973,8346,2020-02-27,,,,,
1,S. Korea,1766,505,13,1,24,18,2020-02-27,,,,,
2,Diamond Princess,705,0,4,0,10,36,2020-02-27,,,,,
3,Italy,655,185,17,5,45,35,2020-02-27,,,,,
4,Iran,245,106,26,7,54,0,2020-02-27,,,,,
5,Japan,207,35,4,1,32,13,2020-02-27,,,,,
6,Singapore,96,3,0,0,66,8,2020-02-27,,,,,
7,Hong Kong,92,3,2,0,18,6,2020-02-27,,,,,
8,USA,60,0,0,0,6,0,2020-02-27,,,,,
9,Germany,48,21,0,0,16,2,2020-02-27,,,,,
10,Kuwait,43,17,0,0,0,0,2020-02-27,,,,,
11,Thailand,40,0,0,0,22,2,2020-02-27,,,,,
12,France,38,20,2,0,11,1,2020-02-27,,,,,
13,Bahrain,33,0,0,0,0,0,2020-02-27,,,,,
14,Taiwan,32,0,1,0,5,1,2020-02-27,,,,,
15,Spain,25,12,0,0,2,2,2020-02-27,,,,,
16,Australia,23,0,0,0,15,0,2020-02-27,,,,,
17,Malaysia,22,0,0,0,20,0,2020-02-27,,,,,
18,U.A.E.,19,6,0,0,5,2,2020-02-27,,,,,
19,U.K.,16,3,0,0,8,0,2020-02-27,,,,,
20,Vietnam,16,0,0,0,16,0,2020-02-27,,,,,
21,Canada,13,1,0,0,3,0,2020-02-27,,,,,
22,Macao,10,0,0,0,6,0,2020-02-27,,,,,
23,Switzerland,8,7,0,0,0,0,2020-02-27,,,,,
24,Iraq,7,2,0,0,0,0,2020-02-27,,,,,
25,Sweden,7,5,0,0,0,0,2020-02-27,,,,,
26,Oman,6,2,0,0,0,0,2020-02-27,,,,,
27,Austria,5,3,0,0,0,0,2020-02-27,,,,,
28,Norway,4,3,0,0,0,0,2020-02-27,,,,,
29,Philippines,3,0,1,0,2,0,2020-02-27,,,,,
30,Croatia,3,0,0,0,0,0,2020-02-27,,,,,
31,Greece,3,2,0,0,0,0,2020-02-27,,,,,
32,India,3,0,0,0,3,0,2020-02-27,,,,,
33,Israel,3,1,0,0,0,0,2020-02-27,,,,,
34,Lebanon,3,1,0,0,0,0,2020-02-27,,,,,
35,Finland,2,0,0,0,1,0,2020-02-27,,,,,
36,Pakistan,2,0,0,0,0,0,2020-02-27,,,,,
37,Russia,2,0,0,0,2,0,2020-02-27,,,,,
38,Afghanistan,1,0,0,0,0,0,2020-02-27,,,,,
39,Algeria,1,0,0,0,0,0,2020-02-27,,,,,
40,Belgium,1,0,0,0,1,0,2020-02-27,,,,,
41,Brazil,1,0,0,0,0,0,2020-02-27,,,,,
42,Cambodia,1,0,0,0,1,0,2020-02-27,,,,,
43,Denmark,1,1,0,0,0,0,2020-02-27,,,,,
44,Egypt,1,0,0,0,1,0,2020-02-27,,,,,
45,Estonia,1,1,0,0,0,0,2020-02-27,,,,,
46,Georgia,1,0,0,0,0,0,2020-02-27,,,,,
47,North Macedonia,1,0,0,0,0,0,2020-02-27,,,,,
48,Nepal,1,0,0,0,1,0,2020-02-27,,,,,
49,Netherlands,1,1,0,0,0,0,2020-02-27,,,,,
50,Romania,1,0,0,0,0,0,2020-02-27,,,,,
51,San Marino,1,1,0,0,0,0,2020-02-27,,,,,
52,Sri Lanka,1,0,0,0,1,0,2020-02-27,,,,,
