index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,7700322,32843,281025,584,4593842,2825455,18564,0,0,0,0,2020-09-07
1,Asia,7857641,100335,153760,1641,6349183,1354698,19177,0,0,0,0,2020-09-07
2,South America,6745517,27483,218927,947,5383744,1142846,15039,0,0,0,0,2020-09-07
3,Europe,3831177,26205,210280,263,2168106,1452791,6072,0,0,0,0,2020-09-07
4,Africa,1312167,6915,31574,217,1049503,231090,1434,0,0,0,0,2020-09-07
5,Oceania,29346,56,793,9,24876,3677,41,0,0,0,0,2020-09-07
6,,721,0,15,0,651,55,4,0,0,0,0,2020-09-07
7,World,27476891,193837,896374,3661,19569905,7010612,60331,3525,1150,0,0,2020-09-07
8,USA,6485399,25149,193511,263,3757793,2534095,14589,19572,584,88067851,265775,2020-09-07
9,India,4277584,75022,72816,1129,3321420,883348,8944,3094,53,49551507,35842,2020-09-07
10,Brazil,4147794,10188,127001,315,3355564,665229,8318,19488,597,14408116,67695,2020-09-07
11,Russia,1030690,5185,17871,51,843277,169542,2300,7062,122,38758184,265565,2020-09-07
12,Peru,689977,0,29838,0,515039,145100,1500,20873,903,3379580,102240,2020-09-07
13,Colombia,671848,5327,21615,203,529279,120954,863,13178,424,2964722,58152,2020-09-07
14,South Africa,639362,845,15004,115,566555,57803,539,10756,252,3808949,64075,2020-09-07
15,Mexico,634023,4614,67558,232,442268,124197,2927,4908,523,1431633,11082,2020-09-07
16,Spain,525549,2440,29516,32,0,0,1034,11240,631,9987326,213595,2020-09-07
17,Argentina,488007,9215,10129,270,357388,120490,2698,10779,224,1412149,31193,2020-09-07
18,Chile,424274,1764,11652,60,395717,16905,930,22159,609,2641589,137968,2020-09-07
19,Iran,388810,2152,22410,117,335572,30828,3733,4618,266,3406055,40457,2020-09-07
20,UK,350100,2948,41554,3,0,0,69,5152,612,17619897,259299,2020-09-07
21,France,328980,4203,30726,25,87836,210418,537,5038,471,8500000,130167,2020-09-07
22,Bangladesh,327359,2202,4516,37,224573,98270,0,1984,27,1644724,9969,2020-09-07
23,Saudi Arabia,321456,768,4107,26,297623,19726,1430,9208,118,5406136,154851,2020-09-07
24,Pakistan,298903,394,6345,3,286016,6542,534,1348,29,2778689,12536,2020-09-07
25,Turkey,281509,1703,6730,57,252152,22627,1118,3331,80,7883464,93290,2020-09-07
26,Italy,278784,1108,35553,12,210238,32993,142,4612,588,9271810,153392,2020-09-07
27,Iraq,264684,4314,7589,77,202859,54236,534,6554,188,1718157,42547,2020-09-07
28,Germany,253625,1901,9405,4,227000,17220,223,3025,112,12383035,147709,2020-09-07
29,Philippines,238727,1383,3890,15,184906,49931,982,2173,35,2840157,25856,2020-09-07
30,Indonesia,196989,2880,8130,105,140652,48207,0,719,30,2452164,8948,2020-09-07
31,Ukraine,138068,2174,2877,31,62606,72585,177,3161,66,1693793,38774,2020-09-07
32,Israel,133975,3331,1026,7,105455,27494,470,14566,112,2488587,270569,2020-09-07
33,Canada,132142,247,9146,1,116459,6537,54,3496,242,5781027,152925,2020-09-07
34,Bolivia,120769,528,7008,40,71489,42272,71,10320,599,253647,21676,2020-09-07
35,Qatar,120348,253,205,2,117241,2902,59,42862,73,663648,236358,2020-09-07
36,Ecuador,110092,308,10576,52,91242,8274,424,6223,598,330998,18709,2020-09-07
37,Kazakhstan,106361,60,1588,0,99654,5119,221,5652,84,2571562,136657,2020-09-07
38,Egypt,100041,178,5541,11,79008,15492,41,974,54,135000,1315,2020-09-07
39,Dominican Republic,99898,565,1864,19,73228,24806,210,9192,172,394791,36326,2020-09-07
40,Panama,97578,535,2099,13,70247,25232,149,22551,485,369420,85375,2020-09-07
41,Romania,95897,883,3926,33,40454,51517,465,4991,204,1945738,101271,2020-09-07
42,Kuwait,90387,805,546,2,81037,8804,90,21109,128,648051,151343,2020-09-07
43,Belgium,88367,542,9907,1,18567,59893,53,7619,854,2419095,208561,2020-09-07
44,Oman,87328,256,734,6,82805,3789,160,17025,143,309212,60281,2020-09-07
45,Sweden,85558,0,5837,5,0,0,13,8462,577,1124269,111194,2020-09-07
46,Guatemala,77828,145,2862,10,66584,8382,5,4330,159,259883,14458,2020-09-07
47,Netherlands,75584,797,6243,0,0,0,42,4409,364,1648103,96144,2020-09-07
48,UAE,74454,470,390,2,66533,7531,0,7511,39,7632984,770060,2020-09-07
49,Morocco,73780,1386,1394,33,56096,16290,201,1995,38,2070053,55962,2020-09-07
50,Belarus,73031,172,716,5,71883,432,0,7729,76,1591247,168408,2020-09-07
51,Japan,71856,437,1363,6,62536,7957,209,568,11,1596561,12631,2020-09-07
52,Poland,71126,302,2124,4,55113,13889,81,1880,56,2841344,75091,2020-09-07
53,Honduras,64764,412,2007,1,13418,49339,32,6520,202,153065,15410,2020-09-07
54,Portugal,60507,249,1843,3,43016,15648,49,5937,181,2153615,211323,2020-09-07
55,Ethiopia,59648,976,933,15,21789,36926,309,517,8,1063454,9210,2020-09-07
56,Singapore,57044,22,27,0,56408,609,0,9736,5,2068284,353020,2020-09-07
57,Bahrain,56076,661,200,1,51240,4636,31,32760,117,1183388,691350,2020-09-07
58,Nigeria,55160,155,1061,4,43231,10868,7,266,5,424186,2049,2020-09-07
59,Venezuela,53289,0,428,0,42006,10855,105,1875,15,1805766,63537,2020-09-07
