index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,31210,636,1747,2020-02-07,,,,,,,,
1,Japan,86,0,4,2020-02-07,,,,,,,,
2,Singapore,33,0,2,2020-02-07,,,,,,,,
3,Hong Kong,25,1,0,2020-02-07,,,,,,,,
4,Thailand,25,0,9,2020-02-07,,,,,,,,
5,S. Korea,24,0,2,2020-02-07,,,,,,,,
6,Taiwan,16,0,1,2020-02-07,,,,,,,,
7,Malaysia,15,0,1,2020-02-07,,,,,,,,
8,Australia,15,0,5,2020-02-07,,,,,,,,
9,Germany,13,0,0,2020-02-07,,,,,,,,
10,Vietnam,12,0,3,2020-02-07,,,,,,,,
11,USA,12,0,1,2020-02-07,,,,,,,,
12,Macao,10,0,0,2020-02-07,,,,,,,,
13,Canada,7,0,0,2020-02-07,,,,,,,,
14,France,6,0,0,2020-02-07,,,,,,,,
15,U.A.E.,5,0,0,2020-02-07,,,,,,,,
16,Philippines,3,1,0,2020-02-07,,,,,,,,
17,India,3,0,0,2020-02-07,,,,,,,,
18,U.K.,3,0,0,2020-02-07,,,,,,,,
19,Italy,3,0,0,2020-02-07,,,,,,,,
20,Russia,2,0,0,2020-02-07,,,,,,,,
21,Sri Lanka,1,0,1,2020-02-07,,,,,,,,
22,Cambodia,1,0,1,2020-02-07,,,,,,,,
23,Finland,1,0,1,2020-02-07,,,,,,,,
24,Nepal,1,0,0,2020-02-07,,,,,,,,
25,Sweden,1,0,0,2020-02-07,,,,,,,,
26,Spain,1,0,0,2020-02-07,,,,,,,,
27,Belgium,1,0,0,2020-02-07,,,,,,,,
