index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,4636208,72388,197204,887,2267053,2171951,20138,0,0,0,0,2020-07-20
1,South America,3306213,40914,119295,1404,2173116,1013802,13652,0,0,0,0,2020-07-20
2,Asia,3459546,62297,81121,1226,2458910,919515,19613,0,0,0,0,2020-07-20
3,Europe,2687890,12994,199340,226,1594284,894266,5324,0,0,0,0,2020-07-20
4,Africa,739995,15125,15465,255,392369,332161,1047,0,0,0,0,2020-07-20
5,Oceania,13751,270,145,1,10057,3549,33,0,0,0,0,2020-07-20
6,,721,0,15,0,651,55,4,0,0,0,0,2020-07-20
7,World,14844324,203988,612585,3999,8896440,5335299,59811,1904,786,0,0,2020-07-20
8,USA,3960566,62016,143792,503,1847690,1969084,16628,11962,434,49126904,148374,2020-07-20
9,Brazil,2121645,21749,80251,718,1409202,632192,8318,9978,377,4911063,23096,2020-07-20
10,India,1154917,36810,28099,596,724702,402116,8944,836,20,14047908,10175,2020-07-20
11,Russia,777486,5940,12427,85,553602,211457,2300,5328,85,25251614,173030,2020-07-20
12,South Africa,373628,9300,5173,140,194865,173590,539,6296,87,2505646,42222,2020-07-20
13,Peru,357681,4091,13384,197,245081,99216,1303,10841,406,2084311,63173,2020-07-20
14,Mexico,344224,5311,39184,296,217423,87617,378,2668,304,821922,6372,2020-07-20
15,Chile,333029,2099,8633,130,303992,20404,1764,17414,451,1420390,74271,2020-07-20
16,Spain,311916,1527,28422,2,0,0,617,6671,608,6026446,128892,2020-07-20
17,UK,295372,580,45312,12,0,0,142,4350,667,13459190,198208,2020-07-20
18,Iran,276202,2414,14405,217,240087,21710,3583,3286,171,2175217,25882,2020-07-20
19,Pakistan,265083,1587,5599,31,205929,53555,1552,1199,25,1740768,7874,2020-07-20
20,Saudi Arabia,253349,2429,2523,37,203259,47567,2196,7272,72,2728424,78315,2020-07-20
21,Italy,244624,190,35058,13,197162,12404,47,4046,580,6262302,103583,2020-07-20
22,Turkey,220572,931,5508,17,203002,12062,1243,2614,65,4316781,51157,2020-07-20
23,Bangladesh,207453,2928,2668,50,113556,91229,1,1259,16,1041661,6322,2020-07-20
24,Colombia,204005,6727,6929,193,95804,101272,1040,4007,136,1236569,24290,2020-07-20
25,Germany,203487,642,9173,10,187800,6514,264,2428,109,6884614,82157,2020-07-20
26,France,176754,350,30177,8,79233,67344,477,2708,462,2764345,42345,2020-07-20
27,Argentina,130774,4019,2373,113,55913,72488,752,2892,52,552306,12215,2020-07-20
28,Canada,111124,786,8858,6,97474,4792,2177,2943,235,3573554,94642,2020-07-20
29,Qatar,107037,389,159,2,103782,3096,126,38121,57,446036,158856,2020-07-20
30,Iraq,94693,2163,3869,88,62836,27988,431,2352,96,809522,20107,2020-07-20
31,Egypt,88402,627,4352,50,28924,55126,41,863,42,135000,1318,2020-07-20
32,Indonesia,88214,1693,4239,96,46977,36998,0,322,15,1235545,4515,2020-07-20
33,Sweden,78048,36,5639,10,0,0,48,7726,558,681820,67490,2020-07-20
34,Ecuador,74620,607,5318,5,31955,37347,342,4226,301,204162,11564,2020-07-20
35,Kazakhstan,71838,1499,375,0,43029,28434,221,3824,20,1791293,95344,2020-07-20
36,Philippines,68898,1521,1835,4,23072,43991,351,628,17,1168965,10661,2020-07-20
37,Oman,68400,1739,326,8,45150,22924,170,13380,64,274745,53745,2020-07-20
38,Belarus,66213,118,503,4,58290,7420,89,7007,53,1999317,211587,2020-07-20
39,Belgium,63893,187,9800,0,17289,36804,28,5512,845,1444885,124642,2020-07-20
40,Kuwait,59763,559,408,0,50339,9016,138,13984,95,462704,108272,2020-07-20
41,Bolivia,59582,1444,2151,45,18553,38878,71,5101,184,128410,10993,2020-07-20
42,Ukraine,59493,651,1498,13,31439,26556,89,1361,34,881997,20174,2020-07-20
43,UAE,57193,271,340,1,49621,7232,1,5779,34,4536152,458373,2020-07-20
44,Panama,54426,958,1127,31,29164,24135,175,12605,261,189941,43989,2020-07-20
45,Dominican Republic,53956,1101,993,12,25561,27402,244,4971,91,216481,19946,2020-07-20
46,Israel,52003,1714,415,6,22154,29434,264,5654,45,1477455,160635,2020-07-20
47,Netherlands,51910,185,6136,0,0,0,17,3029,358,764079,44587,2020-07-20
48,Portugal,48771,135,1691,2,33547,13533,61,4784,166,1466662,143860,2020-07-20
49,Singapore,48035,123,27,0,44371,3637,0,8207,5,1009532,172491,2020-07-20
50,Poland,40383,279,1627,3,30539,8217,72,1067,43,1971736,52101,2020-07-20
51,Guatemala,39039,362,1502,17,25539,11998,5,2177,84,121125,6755,2020-07-20
52,Romania,38139,681,2038,12,22747,13354,293,1983,106,967192,50295,2020-07-20
53,Nigeria,37225,562,801,12,15333,21091,7,180,4,214228,1038,2020-07-20
54,Bahrain,36936,514,128,2,32965,3843,46,21679,75,735492,431692,2020-07-20
55,Afghanistan,35526,51,1185,4,23741,10600,31,912,30,83937,2154,2020-07-20
56,Armenia,34981,104,650,9,23502,10829,10,11804,219,147108,49639,2020-07-20
57,Honduras,33835,1042,900,9,3801,29134,51,3414,91,78825,7953,2020-07-20
58,Switzerland,33634,43,1971,2,30300,1363,22,3885,228,728292,84119,2020-07-20
59,Ghana,28430,763,153,5,24901,3376,8,914,5,349752,11245,2020-07-20
60,Azerbaijan,27890,369,363,9,19490,8037,66,2749,36,634698,62570,2020-07-20
61,Kyrgyzstan,27143,611,1037,34,13109,12997,24,4157,159,262894,40264,2020-07-20
62,Ireland,25766,6,1753,0,23364,649,9,5215,355,567819,114932,2020-07-20
63,Japan,25096,454,985,0,19757,4354,47,198,8,639821,5060,2020-07-20
64,Algeria,23691,607,1087,9,16400,6204,64,540,25,0,0,2020-07-20
65,Serbia,21253,359,482,10,14047,6724,190,2433,55,558440,63928,2020-07-20
66,Moldova,21115,135,695,11,14467,5953,362,5235,172,128076,31754,2020-07-20
