index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,1118745,27949,64244,2696,173572,880929,16900,0,0,0,0,2020-04-28
1,Europe,1322706,24004,126422,2425,459794,736490,24631,0,0,0,0,2020-04-28
2,Asia,494687,11461,17901,313,245970,230816,5832,0,0,0,0,2020-04-28
3,South America,155203,11029,7568,838,54267,93368,9775,0,0,0,0,2020-04-28
4,Oceania,8312,21,107,5,6918,1287,45,0,0,0,0,2020-04-28
5,Africa,35678,1642,1527,59,11868,22283,120,0,0,0,0,2020-04-28
6,,721,0,15,0,645,61,4,0,0,0,0,2020-04-28
7,World,3136052,76106,217784,6336,953034,1965234,57307,402,279,0,0,2020-04-28
8,USA,1035396,25040,59246,2450,141951,834199,15635,3128,179,5861166,17707,2020-04-28
9,Spain,232128,2706,23822,301,123903,84403,7764,4965,510,1345560,28779,2020-04-28
10,Italy,201505,2091,27359,382,68941,105205,1863,3333,453,1846934,30547,2020-04-28
11,France,165911,2638,23660,367,46886,95365,4387,2542,362,463662,7103,2020-04-28
12,UK,161145,3996,21678,586,0,139123,1559,2374,319,763387,11245,2020-04-28
13,Germany,159912,1154,6314,188,117400,36198,2409,1909,75,2072669,24738,2020-04-28
14,Turkey,114653,2392,2992,92,38809,72852,1621,1359,35,948115,11242,2020-04-28
15,Russia,93558,6411,867,73,8456,84235,2300,641,6,3139258,21511,2020-04-28
16,Iran,92584,1112,5877,71,72439,14268,2983,1102,70,442590,5269,2020-04-28
17,Brazil,72899,6398,5063,520,32544,35292,8318,343,24,339552,1597,2020-04-28
18,Canada,50026,1526,2859,152,19190,27977,557,1325,76,740859,19629,2020-04-28
19,Belgium,47334,647,7331,124,10943,29060,876,4084,633,220204,19000,2020-04-28
20,Netherlands,38416,171,4566,48,0,33600,861,2242,266,209726,12240,2020-04-28
21,India,31360,1909,1008,69,7747,22605,0,23,7,716733,519,2020-04-28
22,Peru,31190,2491,854,72,9179,21157,600,946,26,267612,8116,2020-04-28
23,Switzerland,29264,100,1699,34,22600,4965,185,3381,196,256500,29637,2020-04-28
24,Portugal,24322,295,948,20,1389,21985,172,2385,93,379551,37223,2020-04-28
25,Ecuador,24258,1018,871,208,1557,21830,146,1375,49,61529,3487,2020-04-28
26,Saudi Arabia,20077,1266,152,8,2784,17141,118,577,4,200000,5745,2020-04-28
27,Ireland,19877,229,1159,57,9233,9485,146,4025,235,153954,31179,2020-04-28
28,Sweden,19621,695,2355,81,1005,16261,524,1943,233,119500,11833,2020-04-28
29,Israel,15728,173,210,6,7746,7772,116,1817,24,313135,36177,2020-04-28
30,Mexico,15529,852,1434,83,9086,5009,378,120,11,71103,551,2020-04-28
31,Austria,15357,83,569,20,12580,2208,136,1705,63,239578,26601,2020-04-28
32,Singapore,14951,528,14,0,1128,13809,20,2556,2,121774,20815,2020-04-28
33,Pakistan,14612,697,312,20,3233,11067,111,66,1,157223,712,2020-04-28
34,Chile,14365,552,207,9,7710,6448,426,751,11,166165,8692,2020-04-28
35,Japan,13614,0,385,0,1899,11330,300,108,3,150692,1191,2020-04-28
36,Poland,12218,316,596,34,2655,8967,160,323,16,310744,8211,2020-04-28
37,Belarus,12208,919,79,4,1993,10136,92,1292,8,161028,17041,2020-04-28
38,Qatar,11921,677,10,0,1134,10777,72,4138,3,88607,30755,2020-04-28
39,Romania,11616,277,663,22,3404,7549,243,604,34,150309,7813,2020-04-28
40,UAE,11380,541,89,7,2181,9110,1,1151,9,1057326,106904,2020-04-28
41,S. Korea,10752,14,244,1,8854,1654,55,210,5,608514,11869,2020-04-28
42,Indonesia,9511,415,773,8,1254,7484,0,35,3,79618,291,2020-04-28
43,Ukraine,9410,401,239,19,992,8179,121,215,5,98719,2257,2020-04-28
44,Denmark,8851,153,434,7,6121,2296,66,1528,75,166846,28805,2020-04-28
45,Serbia,8497,222,168,6,1260,7069,79,972,19,73363,8396,2020-04-28
46,Philippines,7958,181,530,19,975,6453,31,73,5,89889,820,2020-04-28
47,Norway,7660,61,206,1,32,7422,44,1413,38,165951,30611,2020-04-28
48,Czechia,7504,59,227,4,2948,4329,73,701,21,226255,21128,2020-04-28
49,Australia,6738,18,88,5,5626,1024,42,264,3,536000,21020,2020-04-28
50,Bangladesh,6462,549,155,3,139,6168,1,39,9,54733,332,2020-04-28
51,Dominican Republic,6416,123,286,4,1165,4965,144,591,26,23979,2210,2020-04-28
52,Panama,6021,242,167,2,455,5399,89,1395,39,27834,6451,2020-04-28
53,Colombia,5949,352,269,16,1268,4412,118,117,5,90899,1786,2020-04-28
54,Malaysia,5851,31,100,1,4032,1719,36,181,3,152142,4701,2020-04-28
55,Egypt,5042,260,359,22,1304,3379,0,49,4,90000,879,2020-04-28
56,South Africa,4996,203,93,3,2073,2830,36,84,2,185000,3119,2020-04-28
57,Finland,4740,45,199,6,2800,1741,56,855,36,85800,15485,2020-04-28
58,Morocco,4252,132,165,3,778,3309,1,115,4,32250,874,2020-04-28
59,Argentina,4127,124,207,10,1162,2758,144,91,5,53600,1186,2020-04-28
60,Luxembourg,3741,12,89,1,3123,529,19,5976,142,39741,63486,2020-04-28
61,Algeria,3649,132,437,5,1651,1561,22,83,10,6500,148,2020-04-28
62,Moldova,3638,157,103,1,975,2560,212,902,26,11763,2916,2020-04-28
63,Kuwait,3440,152,23,1,1176,2241,67,806,5,179000,41915,2020-04-28
64,Kazakhstan,3027,192,25,0,774,2228,41,161,1,216276,11518,2020-04-28
65,Thailand,2938,7,54,2,2652,232,61,42,8,178083,2551,2020-04-28
66,Bahrain,2811,88,8,0,1310,1493,2,1652,5,121706,71525,2020-04-28
67,Hungary,2649,66,291,11,516,1842,49,274,30,67172,6953,2020-04-28
68,Greece,2566,32,138,2,577,1851,40,246,13,69833,6700,2020-04-28
69,Oman,2131,82,10,0,364,1757,3,417,2,0,0,2020-04-28
70,Croatia,2047,8,63,4,1232,752,21,499,15,33577,8179,2020-04-28
71,Uzbekistan,1939,35,8,0,992,939,8,58,2,242536,7247,2020-04-28
72,Iraq,1928,81,90,2,1319,519,0,48,2,73782,1834,2020-04-28
73,Armenia,1867,59,30,1,866,971,10,630,10,19296,6512,2020-04-28
74,Afghanistan,1828,125,58,1,228,1542,7,47,1,9000,231,2020-04-28
75,Iceland,1795,3,10,0,1636,149,1,5260,29,46377,135906,2020-04-28
76,Azerbaijan,1717,39,22,0,1221,474,15,169,2,132640,13082,2020-04-28
77,Cameroon,1705,0,58,0,915,732,12,64,2,0,0,2020-04-28
78,Ghana,1671,121,16,5,188,1467,4,54,5,100622,3238,2020-04-28
79,Estonia,1660,13,50,0,240,1370,9,1251,38,49527,37336,2020-04-28
80,Bosnia and Herzegovina,1585,20,63,3,682,840,4,483,19,27603,8413,2020-04-28
81,Nigeria,1532,195,44,4,255,1233,2,7,2,10918,53,2020-04-28
82,New Zealand,1472,3,19,0,1214,239,1,305,4,126066,26143,2020-04-28
83,Cuba,1437,48,58,2,575,804,12,127,5,43508,3841,2020-04-28
84,North Macedonia,1421,22,71,6,589,761,13,682,34,15771,7570,2020-04-28
85,Slovenia,1408,6,86,3,223,1099,24,677,41,50290,24190,2020-04-28
86,Bulgaria,1399,36,58,0,222,1119,39,201,8,27000,3886,2020-04-28
87,Slovakia,1384,3,20,2,423,941,6,253,4,75866,13896,2020-04-28
88,Lithuania,1344,0,44,3,536,764,17,494,16,111809,41072,2020-04-28
89,Guinea,1240,77,7,0,269,964,0,94,5,0,0,2020-04-28
90,Ivory Coast,1183,19,14,0,525,644,0,45,5,0,0,2020-04-28
91,Djibouti,1072,37,2,0,498,572,0,1085,2,12571,12724,2020-04-28
92,Hong Kong,1038,0,4,0,811,223,4,138,5,145640,19426,2020-04-28
93,Bolivia,1014,64,53,3,98,863,3,87,5,5791,496,2020-04-28
94,Tunisia,975,8,40,1,279,656,18,82,3,21477,1817,2020-04-28
95,Cyprus,837,15,15,0,148,674,15,693,12,53219,44079,2020-04-28
96,Latvia,836,18,13,0,267,556,4,443,7,51561,27336,2020-04-28
97,Senegal,823,87,9,0,296,518,1,49,5,466,28,2020-04-28
98,Albania,750,14,30,2,431,289,4,261,10,7758,2696,2020-04-28
99,Andorra,743,0,41,1,398,304,17,9616,531,1673,21653,2020-04-28
100,Lebanon,717,7,24,0,145,548,44,105,4,30879,4524,2020-04-28
101,Diamond Princess,712,0,13,0,645,54,4,0,0,0,0,2020-04-28
102,Niger,709,8,31,2,403,275,0,29,1,5116,211,2020-04-28
103,Kyrgyzstan,708,13,8,0,416,284,13,109,1,45627,6994,2020-04-28
104,Costa Rica,705,8,6,0,306,393,8,138,1,12729,2499,2020-04-28
105,Honduras,702,41,64,3,79,559,10,71,6,3643,368,2020-04-28
106,Burkina Faso,638,3,42,0,476,120,0,31,2,0,0,2020-04-28
107,Uruguay,620,14,15,0,386,219,11,178,4,17505,5039,2020-04-28
108,Sri Lanka,619,31,7,0,134,478,2,29,3,17715,827,2020-04-28
109,San Marino,553,15,41,0,64,448,5,16298,1208,2170,63953,2020-04-28
110,Channel Islands,530,5,36,1,352,142,0,3048,207,5342,30725,2020-04-28
111,Guatemala,530,30,15,0,49,466,5,30,8,7200,402,2020-04-28
112,Somalia,528,48,28,2,19,481,2,33,2,0,0,2020-04-28
113,Georgia,511,14,6,0,168,337,6,128,2,11504,2884,2020-04-28
114,DRC,471,12,30,2,56,385,0,5,3,0,0,2020-04-28
115,Mayotte,460,59,4,0,235,221,4,1686,15,2700,9897,2020-04-28
116,Malta,458,8,4,0,303,151,1,1037,9,30528,69139,2020-04-28
117,Jordan,449,0,8,1,348,93,5,44,8,63737,6247,2020-04-28
118,Taiwan,429,0,6,0,307,116,0,18,3,61684,2590,2020-04-28
119,Mali,424,16,24,1,122,278,0,21,1,2172,107,2020-04-28
120,Réunion,418,0,0,0,300,118,2,467,0,0,0,2020-04-28
121,Kenya,374,11,14,0,124,236,2,7,3,17992,335,2020-04-28
122,Jamaica,364,14,7,0,29,328,3,123,2,3621,1223,2020-04-28
123,El Salvador,345,22,8,0,97,240,4,53,1,21364,3294,2020-04-28
124,Palestine,343,1,2,0,83,258,0,67,4,27000,5293,2020-04-28
125,Mauritius,334,0,10,0,303,21,3,263,8,14445,11358,2020-04-28
