index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,77345,0,2593,1,25066,11477,2020-02-24,,,,,
1,S. Korea,833,231,8,2,22,6,2020-02-24,,,,,
2,Diamond Princess,691,0,3,0,2,36,2020-02-24,,,,,
3,Italy,229,72,7,4,1,23,2020-02-24,,,,,
4,Japan,159,13,1,0,23,7,2020-02-24,,,,,
5,Singapore,90,1,0,0,49,7,2020-02-24,,,,,
6,Hong Kong,81,7,2,0,12,6,2020-02-24,,,,,
7,Iran,61,18,12,4,3,0,2020-02-24,,,,,
8,USA,53,18,0,0,5,0,2020-02-24,,,,,
9,Thailand,35,0,0,0,15,2,2020-02-24,,,,,
10,Taiwan,30,2,1,0,2,1,2020-02-24,,,,,
11,Australia,22,0,0,0,11,0,2020-02-24,,,,,
12,Malaysia,22,0,0,0,17,0,2020-02-24,,,,,
13,Germany,16,0,0,0,14,0,2020-02-24,,,,,
14,Vietnam,16,0,0,0,15,0,2020-02-24,,,,,
15,U.K.,13,0,0,0,8,0,2020-02-24,,,,,
16,U.A.E.,13,0,0,0,3,2,2020-02-24,,,,,
17,France,12,0,1,0,11,0,2020-02-24,,,,,
18,Canada,11,1,0,0,3,0,2020-02-24,,,,,
19,Macao,10,0,0,0,5,0,2020-02-24,,,,,
20,Kuwait,5,5,0,0,0,0,2020-02-24,,,,,
21,Philippines,3,0,1,0,2,0,2020-02-24,,,,,
22,India,3,0,0,0,3,0,2020-02-24,,,,,
23,Spain,3,1,0,0,2,0,2020-02-24,,,,,
24,Bahrain,2,2,0,0,0,0,2020-02-24,,,,,
25,Israel,2,0,0,0,0,0,2020-02-24,,,,,
26,Oman,2,2,0,0,0,0,2020-02-24,,,,,
27,Russia,2,0,0,0,2,0,2020-02-24,,,,,
28,Afghanistan,1,1,0,0,0,0,2020-02-24,,,,,
29,Belgium,1,0,0,0,1,0,2020-02-24,,,,,
30,Cambodia,1,0,0,0,1,0,2020-02-24,,,,,
31,Egypt,1,0,0,0,1,0,2020-02-24,,,,,
32,Finland,1,0,0,0,1,0,2020-02-24,,,,,
33,Iraq,1,0,0,0,0,0,2020-02-24,,,,,
34,Lebanon,1,0,0,0,0,0,2020-02-24,,,,,
35,Nepal,1,0,0,0,1,0,2020-02-24,,,,,
36,Sri Lanka,1,0,0,0,1,0,2020-02-24,,,,,
37,Sweden,1,0,0,0,0,0,2020-02-24,,,,,
