index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,66493,2642,1523,143,8251,11053,2020-02-15,,,,,
1,Japan,260,1,1,0,11,9,2020-02-15,,,,,
2,Singapore,67,0,0,0,17,8,2020-02-15,,,,,
3,Hong Kong,56,0,1,0,1,7,2020-02-15,,,,,
4,Thailand,34,1,0,0,14,2,2020-02-15,,,,,
5,S. Korea,28,0,0,0,9,0,2020-02-15,,,,,
6,Malaysia,21,2,0,0,7,0,2020-02-15,,,,,
7,Taiwan,18,0,0,0,1,0,2020-02-15,,,,,
8,Germany,16,0,0,0,1,0,2020-02-15,,,,,
9,Vietnam,16,0,0,0,7,0,2020-02-15,,,,,
10,USA,15,0,0,0,3,0,2020-02-15,,,,,
11,Australia,15,0,0,0,10,0,2020-02-15,,,,,
12,France,11,0,0,0,3,1,2020-02-15,,,,,
13,Macao,10,0,0,0,3,0,2020-02-15,,,,,
14,U.K.,9,0,0,0,1,0,2020-02-15,,,,,
15,Canada,8,0,0,0,1,0,2020-02-15,,,,,
16,U.A.E.,8,0,0,0,1,1,2020-02-15,,,,,
17,Philippines,3,0,1,0,2,0,2020-02-15,,,,,
18,Italy,3,0,0,0,0,2,2020-02-15,,,,,
19,India,3,0,0,0,1,0,2020-02-15,,,,,
20,Spain,2,0,0,0,1,0,2020-02-15,,,,,
21,Russia,2,0,0,0,2,0,2020-02-15,,,,,
22,Sweden,1,0,0,0,0,0,2020-02-15,,,,,
23,Belgium,1,0,0,0,0,0,2020-02-15,,,,,
24,Egypt,1,0,0,0,0,0,2020-02-15,,,,,
25,Cambodia,1,0,0,0,1,0,2020-02-15,,,,,
26,Nepal,1,0,0,0,1,0,2020-02-15,,,,,
27,Sri Lanka,1,0,0,0,1,0,2020-02-15,,,,,
28,Finland,1,0,0,0,1,0,2020-02-15,,,,,
