index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2968637,55792,164016,1438,1291177,1513444,18721,0,0,0,0,2020-06-26
1,South America,2049002,63817,79541,1690,1172573,796888,12770,0,0,0,0,2020-06-26
2,Europe,2388694,15671,190091,598,1326733,871870,6074,0,0,0,0,2020-06-26
3,Asia,2118052,45514,52939,920,1371515,693598,19187,0,0,0,0,2020-06-26
4,Africa,362616,11757,9317,213,175652,177647,881,0,0,0,0,2020-06-26
5,Oceania,9225,39,126,0,8549,550,1,0,0,0,0,2020-06-26
6,,721,0,15,0,651,55,4,0,0,0,0,2020-06-26
7,World,9896947,192590,496045,4859,5346850,4054052,57638,1270,636,0,0,2020-06-26
8,USA,2552446,46831,127619,642,1062583,1362244,15786,7712,386,31280987,94511,2020-06-26
9,Brazil,1280054,46907,56109,1055,697526,526419,8318,6023,264,2859064,13452,2020-06-26
10,Russia,620794,6800,8781,176,384152,227861,2300,4254,60,18402719,126103,2020-06-26
11,India,509446,18276,15689,381,295917,197840,8944,369,11,7776228,5636,2020-06-26
12,UK,309360,1380,43414,184,0,0,311,4557,640,8911226,131277,2020-06-26
13,Spain,294985,419,28338,8,0,0,617,6309,606,5162909,110426,2020-06-26
14,Peru,272364,3762,8939,178,159806,103619,1172,8263,271,1604521,48676,2020-06-26
15,Chile,263360,4296,5068,165,223431,34861,2086,13779,265,1043330,54585,2020-06-26
16,Italy,239961,255,34708,30,187615,17638,105,3969,574,5215922,86267,2020-06-26
17,Iran,217724,2628,10239,109,177852,29633,2912,2593,122,1557872,18552,2020-06-26
18,Mexico,202951,6104,25060,736,116862,61029,378,1574,194,528651,4101,2020-06-26
19,Pakistan,195745,2775,3962,59,84168,107615,2765,887,18,1193017,5403,2020-06-26
20,Turkey,194511,1396,5065,19,167198,22248,963,2307,60,3186622,37790,2020-06-26
21,Germany,194399,614,9026,14,177100,8273,364,2320,108,5412655,64605,2020-06-26
22,Saudi Arabia,174577,3938,1474,46,120471,52632,2273,5016,42,1479759,42517,2020-06-26
23,France,162936,1588,29778,26,75351,57807,651,2496,456,1384633,21213,2020-06-26
24,Bangladesh,130474,3868,1661,40,53133,75680,1,792,10,699941,4251,2020-06-26
25,South Africa,124590,6215,2340,48,64111,58139,539,2101,39,1493104,25181,2020-06-26
26,Canada,102794,172,8508,4,65726,28560,2077,2724,225,2558363,67794,2020-06-26
27,Qatar,92784,946,109,3,76072,16603,200,33045,39,341914,121773,2020-06-26
28,Colombia,84442,3843,2811,157,34937,46694,335,1660,55,688959,13542,2020-06-26
29,Sweden,65137,303,5280,50,0,0,171,6450,523,444607,44028,2020-06-26
30,Egypt,62755,1625,2620,87,16737,43398,41,613,26,135000,1320,2020-06-26
31,Belgium,61106,99,9731,5,16918,34457,38,5273,840,1178721,101711,2020-06-26
32,Belarus,60713,331,373,6,42689,17651,89,6425,39,939524,99427,2020-06-26
33,Argentina,55343,2886,1184,34,18416,35743,457,1225,26,318721,7053,2020-06-26
34,Ecuador,53856,700,4406,63,26493,22957,288,3053,250,142715,8091,2020-06-26
35,Indonesia,51427,1240,2683,63,21333,27411,0,188,10,731781,2676,2020-06-26
36,Netherlands,50005,91,6103,3,0,0,39,2918,356,577437,33700,2020-06-26
37,UAE,46973,410,310,2,35469,11194,1,4750,31,3136000,317140,2020-06-26
38,Kuwait,43703,915,341,2,33969,9393,162,10236,80,372284,87198,2020-06-26
39,Singapore,42955,219,26,0,36825,6104,1,7343,4,684359,116991,2020-06-26
40,Iraq,41193,2054,1559,122,18859,20775,247,1025,39,500723,12455,2020-06-26
41,Ukraine,41117,1109,1086,19,18299,21732,378,940,25,620624,14190,2020-06-26
42,Portugal,40866,451,1555,6,26633,12678,67,4008,152,1102066,108078,2020-06-26
43,Oman,36034,1132,153,9,19482,16399,105,7061,30,176953,34673,2020-06-26
44,Philippines,34073,1004,1224,12,9182,23667,137,311,11,647804,5913,2020-06-26
45,Poland,33395,276,1429,17,19218,12748,77,882,38,1447130,38236,2020-06-26
46,Switzerland,31486,58,1962,4,29000,524,12,3638,227,545177,62999,2020-06-26
47,Afghanistan,30451,276,683,8,10306,19462,19,783,18,69558,1788,2020-06-26
48,Dominican Republic,29764,623,712,14,16357,12695,181,2744,66,135969,12536,2020-06-26
49,Panama,29037,0,564,0,14800,13673,130,6732,131,117266,27186,2020-06-26
50,Bolivia,28503,1016,913,37,7338,20252,71,2442,78,66597,5707,2020-06-26
51,Romania,25697,411,1579,14,18181,5937,186,1336,82,675382,35105,2020-06-26
52,Ireland,25414,9,1730,3,23364,320,12,5148,350,415028,84067,2020-06-26
53,Bahrain,24805,724,73,2,19137,5595,48,14593,43,521101,306558,2020-06-26
54,Nigeria,23298,684,554,5,8253,14491,7,113,3,125090,607,2020-06-26
55,Armenia,23247,759,410,13,12149,10688,10,7845,138,105046,35450,2020-06-26
56,Israel,22800,400,314,5,16872,5614,46,2479,34,920460,100076,2020-06-26
57,Kazakhstan,19750,465,150,10,12548,7052,121,1052,8,1424647,75888,2020-06-26
58,Japan,18197,87,969,1,16392,836,51,144,8,440739,3485,2020-06-26
59,Austria,17522,45,698,0,16348,476,10,1946,78,590442,65563,2020-06-26
60,Ghana,15834,361,103,8,11755,3976,6,510,3,286453,9223,2020-06-26
61,Moldova,15776,323,515,13,8765,6496,455,3911,128,63328,15698,2020-06-26
62,Guatemala,15619,800,623,22,2949,12047,5,872,35,31427,1755,2020-06-26
63,Azerbaijan,15369,517,187,7,8364,6818,66,1516,18,456215,45002,2020-06-26
64,Honduras,15366,795,426,9,1600,13340,13,1552,43,21540,2175,2020-06-26
65,Serbia,13565,193,265,1,12232,1068,26,1552,30,374875,42903,2020-06-26
66,Algeria,12685,240,885,7,9066,2734,48,289,20,0,0,2020-06-26
67,Denmark,12675,39,604,1,11508,563,11,2188,104,998736,172435,2020-06-26
68,S. Korea,12602,39,282,0,11172,1148,15,246,6,1232315,24036,2020-06-26
69,Cameroon,12592,0,313,0,10100,2179,52,475,12,0,0,2020-06-26
70,Nepal,11755,593,27,1,2698,9030,0,404,9,493020,16927,2020-06-26
71,Morocco,11633,295,218,1,8656,2759,7,315,6,620435,16813,2020-06-26
72,Czechia,11038,168,349,4,7668,3021,13,1031,33,536312,50082,2020-06-26
73,Sudan,9257,273,572,16,4014,4671,0,211,13,401,9,2020-06-26
74,Norway,8832,44,249,0,8138,445,4,1629,46,313162,57772,2020-06-26
75,Ivory Coast,8739,405,64,4,3587,5088,0,331,2,50914,1931,2020-06-26
76,Malaysia,8606,6,121,0,8294,191,2,266,4,729116,22532,2020-06-26
