index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
73,Nepal,23310,338,79,4,16493,6738,0,799,3,764638,26194,2020-08-10
74,Austria,22106,73,723,2,20010,1373,24,2453,80,965758,107164,2020-08-10
75,Australia,21407,323,314,19,11876,9217,51,838,12,4918546,192648,2020-08-10
76,El Salvador,20872,449,563,14,9720,10589,534,3216,87,263587,40616,2020-08-10
77,Czechia,18494,141,390,0,12983,5121,17,1727,36,751790,70187,2020-08-10
78,Cameroon,18042,0,395,0,15320,2327,30,678,15,149000,5599,2020-08-10
79,Ivory Coast,16798,83,105,0,13052,3641,0,635,4,109677,4148,2020-08-10
80,Denmark,14815,373,620,3,12925,1270,2,2557,107,1755433,302951,2020-08-10
81,S. Korea,14626,28,305,0,13658,663,16,285,6,1628303,31757,2020-08-10
82,Palestine,14510,302,100,3,8045,6365,0,2838,20,214862,42020,2020-08-10
83,Bosnia and Herzegovina,14498,811,425,31,8159,5914,0,4422,130,152346,46468,2020-08-10
84,Bulgaria,13512,116,459,12,7980,5073,54,1946,66,308478,44434,2020-08-10
85,Madagascar,13202,116,151,3,11011,2040,82,476,5,49228,1773,2020-08-10
86,Sudan,11956,0,781,0,6266,4909,0,272,18,401,9,2020-08-10
87,North Macedonia,11942,103,528,1,8087,3327,3,5732,253,114807,55107,2020-08-10
88,Senegal,11312,137,236,4,7390,3686,45,674,14,121106,7214,2020-08-10
89,Norway,9684,46,256,0,8857,571,2,1785,47,494706,91176,2020-08-10
90,DRC,9489,35,224,0,8363,902,0,106,2,0,0,2020-08-10
91,Malaysia,9094,11,125,0,8803,166,1,281,4,1036339,31976,2020-08-10
92,French Guiana,8324,57,49,1,7549,726,19,27798,164,43127,144022,2020-08-10
93,Zambia,8210,125,241,6,6802,1167,0,445,13,94449,5124,2020-08-10
94,Gabon,8006,83,51,0,5823,2132,9,3589,23,91767,41133,2020-08-10
95,Guinea,7930,0,50,0,6898,982,24,602,4,14407,1094,2020-08-10
96,Tajikistan,7827,82,62,0,6614,1151,0,819,6,0,0,2020-08-10
97,Haiti,7634,23,183,1,4982,2469,0,669,16,18933,1658,2020-08-10
98,Finland,7601,17,333,2,6980,288,1,1372,60,408540,73721,2020-08-10
99,Luxembourg,7216,11,121,1,6170,925,6,11508,193,647643,1032864,2020-08-10
100,Paraguay,6907,0,75,0,5222,1610,32,967,11,138415,19381,2020-08-10
101,Lebanon,6812,295,80,2,2290,4442,37,999,12,371239,54418,2020-08-10
102,Mauritania,6555,32,157,0,5570,828,3,1406,34,57604,12357,2020-08-10
103,Albania,6536,125,200,1,3379,2957,20,2271,70,42242,14680,2020-08-10
104,Greece,5749,126,213,1,3804,1732,24,552,20,658178,63182,2020-08-10
105,Croatia,5649,45,158,1,4906,585,8,1377,39,129379,31538,2020-08-10
106,Libya,5541,90,120,1,710,4711,0,805,17,62907,9142,2020-08-10
107,Djibouti,5347,3,59,0,5120,168,0,5404,60,60665,61308,2020-08-10
108,Maldives,5157,116,19,0,2835,2303,12,9523,35,89555,165375,2020-08-10
109,Equatorial Guinea,4821,0,83,0,2182,2556,0,3426,59,44356,31517,2020-08-10
110,Zimbabwe,4748,99,104,0,1524,3120,0,319,7,149748,10060,2020-08-10
111,Hungary,4731,35,605,3,3525,601,6,490,63,362660,37552,2020-08-10
112,Malawi,4674,16,146,0,2430,2098,4,244,8,34877,1819,2020-08-10
113,CAR,4641,0,60,0,1721,2860,2,959,12,29817,6163,2020-08-10
114,Hong Kong,4149,69,55,1,2916,1178,36,553,7,692430,92280,2020-08-10
115,Nicaragua,3902,0,123,0,2913,866,0,588,19,0,0,2020-08-10
116,Montenegro,3696,78,68,4,2521,1107,0,5885,108,39875,63488,2020-08-10
117,Congo,3664,0,58,0,1589,2017,0,662,10,0,0,2020-08-10
118,Thailand,3351,0,58,0,3160,133,1,48,8,749213,10731,2020-08-10
119,Eswatini,3309,73,61,3,1634,1614,10,2849,53,27837,23968,2020-08-10
120,Somalia,3227,0,93,0,1728,1406,2,202,6,0,0,2020-08-10
121,Namibia,3101,152,19,0,715,2367,11,1218,7,35175,13818,2020-08-10
122,Mayotte,3068,0,39,0,2835,194,1,11219,143,13000,47537,2020-08-10
123,Cuba,3046,93,88,0,2460,498,6,269,8,301598,26629,2020-08-10
124,Cabo Verde,2883,25,32,0,2128,723,0,5179,57,61633,110725,2020-08-10
125,Sri Lanka,2871,27,11,0,2593,267,1,134,5,166737,7783,2020-08-10
126,Slovakia,2599,3,31,0,1866,702,8,476,6,279526,51196,2020-08-10
