index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
151,Guyana,19,0,4,1,0,15,0,24,5,2020-04-02,,
152,Maldives,19,0,0,0,13,6,0,35,0,2020-04-02,,
153,Sint Maarten,18,2,1,0,6,11,0,420,23,2020-04-02,,
154,New Caledonia,18,2,0,0,1,17,0,63,0,2020-04-02,,
155,Syria,16,6,2,0,0,14,0,9,1,2020-04-02,,
156,Haiti,16,0,0,0,1,15,0,1,0,2020-04-02,,
157,Equatorial Guinea,15,0,0,0,1,14,0,11,0,2020-04-02,,
158,Mongolia,14,0,0,0,2,12,0,4,0,2020-04-02,,
159,Namibia,14,0,0,0,3,11,0,6,0,2020-04-02,,
160,Benin,13,0,0,0,1,12,0,1,0,2020-04-02,,
161,Saint Lucia,13,0,0,0,1,12,0,71,0,2020-04-02,,
162,Dominica,12,0,0,0,0,12,0,167,0,2020-04-02,,
163,Curaçao,11,0,1,0,3,7,0,67,6,2020-04-02,,
164,Libya,11,1,1,1,0,10,0,2,1,2020-04-02,,
165,Greenland,10,0,0,0,2,8,0,176,0,2020-04-02,,
166,Grenada,10,1,0,0,0,10,0,89,0,2020-04-02,,
167,Laos,10,0,0,0,0,10,0,1,0,2020-04-02,,
168,Mozambique,10,0,0,0,0,10,0,3,0,2020-04-02,,
169,Seychelles,10,0,0,0,0,10,0,102,0,2020-04-02,,
170,Suriname,10,0,0,0,0,10,0,17,0,2020-04-02,,
171,MS Zaandam,9,0,2,0,0,7,0,0,0,2020-04-02,,
172,Zimbabwe,9,1,1,0,0,8,0,6,7,2020-04-02,,
173,Antigua and Barbuda,9,2,0,0,0,9,0,92,0,2020-04-02,,
174,Guinea-Bissau,9,0,0,0,0,9,0,5,0,2020-04-02,,
175,Saint Kitts and Nevis,9,1,0,0,0,9,0,169,0,2020-04-02,,
176,Eswatini,9,0,0,0,0,9,0,8,0,2020-04-02,,
177,Angola,8,0,2,0,1,5,0,2,6,2020-04-02,,
178,Sudan,8,1,2,0,2,4,0,2,5,2020-04-02,,
179,Chad,8,1,0,0,0,8,0,5,0,2020-04-02,,
180,Fiji,7,2,0,0,0,7,0,8,0,2020-04-02,,
181,Vatican City,7,1,0,0,0,7,0,8739,0,2020-04-02,,
182,Cabo Verde,6,0,1,0,0,5,0,11,2,2020-04-02,,
183,Mauritania,6,0,1,0,2,3,0,1,2,2020-04-02,,
184,Nepal,6,1,0,0,1,5,0,2,0,2020-04-02,,
185,Liberia,6,0,0,0,0,6,0,1,0,2020-04-02,,
186,St. Barth,6,0,0,0,1,5,0,607,0,2020-04-02,,
187,Nicaragua,5,0,1,0,0,4,0,8,2,2020-04-02,,
188,Bhutan,5,1,0,0,1,4,0,6,0,2020-04-02,,
189,Montserrat,5,0,0,0,0,5,0,1002,0,2020-04-02,,
190,Somalia,5,0,0,0,1,4,0,3,0,2020-04-02,,
191,Turks and Caicos,5,0,0,0,0,5,0,129,0,2020-04-02,,
192,Botswana,4,0,1,0,0,3,0,2,4,2020-04-02,,
193,Gambia,4,0,1,0,2,1,0,2,4,2020-04-02,,
194,Anguilla,3,1,0,0,0,3,0,200,0,2020-04-02,,
195,Belize,3,0,0,0,0,3,0,8,0,2020-04-02,,
196,British Virgin Islands,3,0,0,0,0,3,0,99,0,2020-04-02,,
197,Burundi,3,1,0,0,0,3,0,3,0,2020-04-02,,
198,CAR,3,0,0,0,0,3,0,6,0,2020-04-02,,
199,Malawi,3,3,0,0,0,3,0,2,0,2020-04-02,,
200,Caribbean Netherlands,2,0,0,0,0,2,0,76,0,2020-04-02,,
201,St. Vincent Grenadines,2,0,0,0,1,1,0,18,0,2020-04-02,,
202,Sierra Leone,2,0,0,0,0,2,0,3,0,2020-04-02,,
203,Papua New Guinea,1,0,0,0,0,1,0,1,0,2020-04-02,,
204,Timor-Leste,1,0,0,0,0,1,0,8,0,2020-04-02,,
205,China,81589,35,3318,6,76408,1863,429,57,2,2020-04-02,,
