index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80824,0,3189,0,65573,12062,3610,562,2020-03-14,,,
1,Italy,21157,3497,1441,175,1966,17750,1518,3499,2020-03-14,,,
2,Iran,12729,1365,611,97,4339,7779,0,1515,2020-03-14,,,
3,S. Korea,8086,107,72,5,714,7300,59,1577,2020-03-14,,,
4,Spain,6391,1159,195,62,517,5679,293,1367,2020-03-14,,,
5,Germany,4599,924,9,1,46,4544,9,549,2020-03-14,,,
6,France,4469,808,91,12,12,4366,154,685,2020-03-14,,,
7,USA,2836,589,57,8,49,2730,10,86,2020-03-14,,,
8,Switzerland,1375,236,13,2,4,1358,0,1589,2020-03-14,,,
9,UK,1140,342,21,10,18,1101,20,168,2020-03-14,,,
10,Norway,1108,112,3,2,1,1104,27,2044,2020-03-14,,,
11,Sweden,961,147,2,1,1,958,2,952,2020-03-14,,,
12,Netherlands,959,155,12,2,2,945,45,560,2020-03-14,,,
13,Denmark,827,23,1,1,1,825,2,1428,2020-03-14,,,
14,Japan,804,70,22,1,144,638,35,64,2020-03-14,,,
15,Diamond Princess,696,0,7,0,456,233,15,0,2020-03-14,,,
16,Belgium,689,130,4,1,1,684,24,594,2020-03-14,,,
17,Austria,655,151,1,0,6,648,1,727,2020-03-14,,,
18,Qatar,337,17,0,0,4,333,0,1170,2020-03-14,,,
19,Australia,248,49,3,0,27,218,1,97,2020-03-14,,,
20,Canada,247,49,1,0,11,235,1,65,2020-03-14,,,
21,Malaysia,238,41,0,0,35,203,4,74,2020-03-14,,,
22,Greece,228,38,3,2,8,217,5,219,2020-03-14,,,
23,Finland,225,70,0,0,10,215,0,406,2020-03-14,,,
24,Bahrain,212,2,0,0,60,152,2,1246,2020-03-14,,,
25,Singapore,212,12,0,0,105,107,11,362,2020-03-14,,,
26,Israel,193,50,0,0,4,189,3,223,2020-03-14,,,
27,Czechia,189,48,0,0,0,189,2,176,2020-03-14,,,
28,Slovenia,181,40,1,1,0,180,3,871,2020-03-14,,,
29,Portugal,169,57,0,0,2,167,10,166,2020-03-14,,,
30,Iceland,161,27,0,0,0,161,1,0,2020-03-14,,,
31,Brazil,151,0,0,0,1,150,2,7,2020-03-14,,,
32,Hong Kong,142,10,4,0,81,57,4,189,2020-03-14,,,
33,Ireland,129,39,2,1,0,127,6,261,2020-03-14,,,
34,Romania,123,28,0,0,9,114,1,64,2020-03-14,,,
35,Estonia,115,36,0,0,0,115,0,867,2020-03-14,,,
36,Philippines,111,47,8,3,2,101,1,10,2020-03-14,,,
37,Iraq,110,9,10,1,26,74,0,27,2020-03-14,,,
38,Egypt,109,16,2,0,27,80,0,11,2020-03-14,,,
39,Kuwait,104,4,0,0,5,99,4,244,2020-03-14,,,
40,Poland,103,35,3,1,13,87,3,27,2020-03-14,,,
41,Saudi Arabia,103,17,0,0,1,102,0,30,2020-03-14,,,
42,San Marino,101,21,5,0,4,92,3,0,2020-03-14,,,
43,India,97,15,2,0,10,85,0,1,2020-03-14,,,
44,Indonesia,96,27,5,1,8,83,0,4,2020-03-14,,,
45,Lebanon,93,16,3,0,1,89,3,136,2020-03-14,,,
46,UAE,85,0,0,0,20,65,2,86,2020-03-14,,,
