index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2353872,26152,139622,1683,980378,1233872,19418,0,0,0,0,2020-06-10
1,South America,1267115,48087,54623,1778,625773,586719,11919,0,0,0,0,2020-06-10
2,Europe,2139738,14351,180941,757,1120777,838020,6903,0,0,0,0,2020-06-10
3,Asia,1462196,37926,37081,784,889424,535691,15080,0,0,0,0,2020-06-10
4,Africa,212009,6489,5717,149,97163,109129,499,0,0,0,0,2020-06-10
5,Oceania,8887,9,124,0,8332,431,3,0,0,0,0,2020-06-10
6,,721,0,15,0,651,55,4,0,0,0,0,2020-06-10
7,World,7444538,133014,418123,5151,3722498,3303917,53826,955,536,0,0,2020-06-10
8,USA,2065474,19925,115126,978,801354,1148994,16852,6242,348,22556255,68168,2020-06-10
9,Brazil,775184,33100,39797,1300,380300,355087,8318,3648,187,1182581,5566,2020-06-10
10,Russia,493657,8404,6358,216,252783,234516,2300,3383,44,13545303,92820,2020-06-10
11,UK,290143,1003,41128,245,0,0,516,4275,606,6042622,89038,2020-06-10
12,Spain,289360,314,27136,0,0,0,617,6189,580,4465338,95508,2020-06-10
13,India,287155,12375,8107,388,140979,138069,8944,208,6,5061332,3670,2020-06-10
14,Italy,235763,202,34114,71,169939,31710,249,3899,564,4381349,72459,2020-06-10
15,Peru,208823,5087,5903,165,98031,104889,1065,6339,179,1255756,38118,2020-06-10
16,Germany,186866,350,8844,13,170700,7322,492,2231,106,4694147,56037,2020-06-10
17,Iran,177938,2011,8506,81,140590,28842,2639,2120,101,1128601,13447,2020-06-10
18,Turkey,173036,922,4746,17,146839,21451,631,2053,56,2451700,29088,2020-06-10
19,France,155136,545,29319,23,71832,53985,933,2377,449,1384633,21215,2020-06-10
20,Chile,148496,5737,2475,192,95631,50390,1689,7772,130,761090,39834,2020-06-10
21,Mexico,124301,4199,14649,596,90748,18904,378,965,114,357055,2771,2020-06-10
22,Pakistan,113702,5385,2255,83,36308,75139,111,515,10,754252,3419,2020-06-10
23,Saudi Arabia,112288,3717,819,36,77954,33515,1693,3229,24,1019812,29322,2020-06-10
24,Canada,97125,472,7960,63,56639,32526,1864,2575,211,1989179,52732,2020-06-10
25,Bangladesh,74865,3190,1012,37,15900,57953,1,455,6,441560,2683,2020-06-10
