index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,72440,1892,1870,100,12994,11741,2020-02-18,,,,,
1,Diamond Princess,542,88,0,0,17,20,2020-02-18,,,,,
2,Singapore,81,4,0,0,29,4,2020-02-18,,,,,
3,Japan,74,8,1,0,20,4,2020-02-18,,,,,
4,Hong Kong,62,2,1,0,2,7,2020-02-18,,,,,
5,Thailand,35,0,0,0,17,2,2020-02-18,,,,,
6,S. Korea,31,1,0,0,12,0,2020-02-18,,,,,
7,Taiwan,22,0,1,0,2,0,2020-02-18,,,,,
8,Malaysia,22,0,0,0,11,0,2020-02-18,,,,,
9,Germany,16,0,0,0,9,0,2020-02-18,,,,,
10,Vietnam,16,0,0,0,7,0,2020-02-18,,,,,
11,Australia,15,0,0,0,10,0,2020-02-18,,,,,
12,USA,15,0,0,0,3,0,2020-02-18,,,,,
13,France,12,0,1,0,5,0,2020-02-18,,,,,
14,Macao,10,0,0,0,5,0,2020-02-18,,,,,
15,U.A.E.,9,0,0,0,3,1,2020-02-18,,,,,
16,U.K.,9,0,0,0,8,0,2020-02-18,,,,,
17,Canada,8,0,0,0,1,0,2020-02-18,,,,,
18,Philippines,3,0,1,0,2,0,2020-02-18,,,,,
19,Italy,3,0,0,0,0,2,2020-02-18,,,,,
20,India,3,0,0,0,3,0,2020-02-18,,,,,
21,Russia,2,0,0,0,2,0,2020-02-18,,,,,
22,Spain,2,0,0,0,2,0,2020-02-18,,,,,
23,Egypt,1,0,0,0,0,0,2020-02-18,,,,,
24,Cambodia,1,0,0,0,1,0,2020-02-18,,,,,
25,Sweden,1,0,0,0,0,0,2020-02-18,,,,,
26,Nepal,1,0,0,0,1,0,2020-02-18,,,,,
27,Belgium,1,0,0,0,1,0,2020-02-18,,,,,
28,Sri Lanka,1,0,0,0,1,0,2020-02-18,,,,,
29,Finland,1,0,0,0,1,0,2020-02-18,,,,,
