index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80026,0,2912,0,32292,44822,7110,2020-03-02,,,,
1,S. Korea,4335,599,28,7,4277,30,27,2020-03-02,,,,
2,Italy,2036,335,52,11,1835,149,166,2020-03-02,,,,
3,Iran,1501,523,66,12,1144,291,0,2020-03-02,,,,
4,Diamond Princess,705,0,7,0,598,100,36,2020-03-02,,,,
5,Japan,274,18,6,0,226,42,19,2020-03-02,,,,
6,France,191,61,3,1,176,12,8,2020-03-02,,,,
7,Germany,165,35,0,0,149,16,2,2020-03-02,,,,
8,Spain,120,36,0,0,118,2,3,2020-03-02,,,,
9,Singapore,108,2,0,0,30,78,6,2020-03-02,,,,
10,Hong Kong,100,0,2,0,62,36,6,2020-03-02,,,,
11,USA,99,24,6,5,84,9,7,2020-03-02,,,,
12,Kuwait,56,10,0,0,56,0,0,2020-03-02,,,,
13,Bahrain,49,2,0,0,49,0,0,2020-03-02,,,,
14,Thailand,43,1,1,0,12,30,1,2020-03-02,,,,
15,Taiwan,41,1,1,0,28,12,1,2020-03-02,,,,
16,U.K.,40,4,0,0,32,8,0,2020-03-02,,,,
17,Australia,33,4,1,0,17,15,1,2020-03-02,,,,
18,Malaysia,29,0,0,0,7,22,0,2020-03-02,,,,
19,Canada,27,3,0,0,20,7,0,2020-03-02,,,,
20,Iraq,26,7,0,0,26,0,0,2020-03-02,,,,
21,Norway,25,6,0,0,25,0,0,2020-03-02,,,,
22,Switzerland,24,0,0,0,23,1,0,2020-03-02,,,,
23,U.A.E.,21,0,0,0,16,5,2,2020-03-02,,,,
24,Austria,18,4,0,0,18,0,0,2020-03-02,,,,
25,Netherlands,18,8,0,0,18,0,1,2020-03-02,,,,
26,Vietnam,16,0,0,0,0,16,0,2020-03-02,,,,
27,Sweden,15,1,0,0,15,0,0,2020-03-02,,,,
28,Lebanon,13,3,0,0,13,0,0,2020-03-02,,,,
29,Israel,12,2,0,0,11,1,0,2020-03-02,,,,
30,Macao,10,0,0,0,4,6,0,2020-03-02,,,,
31,San Marino,8,0,1,0,7,0,1,2020-03-02,,,,
32,Belgium,8,6,0,0,7,1,0,2020-03-02,,,,
33,Croatia,8,1,0,0,8,0,0,2020-03-02,,,,
34,Greece,7,0,0,0,7,0,0,2020-03-02,,,,
35,Qatar,7,4,0,0,7,0,0,2020-03-02,,,,
36,Ecuador,6,0,0,0,6,0,1,2020-03-02,,,,
37,Finland,6,0,0,0,5,1,0,2020-03-02,,,,
38,Iceland,6,3,0,0,6,0,0,2020-03-02,,,,
39,India,6,3,0,0,3,3,0,2020-03-02,,,,
40,Oman,6,0,0,0,4,2,0,2020-03-02,,,,
41,Mexico,5,0,0,0,5,0,0,2020-03-02,,,,
42,Denmark,4,0,0,0,4,0,0,2020-03-02,,,,
43,Pakistan,4,0,0,0,4,0,0,2020-03-02,,,,
44,Philippines,3,0,1,0,0,2,0,2020-03-02,,,,
45,Algeria,3,0,0,0,3,0,0,2020-03-02,,,,
46,Azerbaijan,3,0,0,0,3,0,0,2020-03-02,,,,
47,Czechia,3,0,0,0,3,0,0,2020-03-02,,,,
48,Georgia,3,0,0,0,3,0,0,2020-03-02,,,,
49,Romania,3,0,0,0,2,1,0,2020-03-02,,,,
50,Russia,3,1,0,0,1,2,0,2020-03-02,,,,
51,Brazil,2,0,0,0,2,0,0,2020-03-02,,,,
52,Egypt,2,0,0,0,1,1,0,2020-03-02,,,,
53,Indonesia,2,2,0,0,2,0,0,2020-03-02,,,,
54,Portugal,2,2,0,0,2,0,0,2020-03-02,,,,
55,Afghanistan,1,0,0,0,1,0,0,2020-03-02,,,,
56,Andorra,1,1,0,0,1,0,0,2020-03-02,,,,
57,Armenia,1,0,0,0,1,0,0,2020-03-02,,,,
58,Belarus,1,0,0,0,1,0,0,2020-03-02,,,,
59,Cambodia,1,0,0,0,0,1,0,2020-03-02,,,,
60,Dominican Republic,1,0,0,0,1,0,0,2020-03-02,,,,
61,Estonia,1,0,0,0,1,0,0,2020-03-02,,,,
62,Ireland,1,0,0,0,1,0,0,2020-03-02,,,,
63,Jordan,1,1,0,0,1,0,0,2020-03-02,,,,
64,Latvia,1,1,0,0,1,0,0,2020-03-02,,,,
65,Lithuania,1,0,0,0,1,0,0,2020-03-02,,,,
66,Luxembourg,1,0,0,0,1,0,0,2020-03-02,,,,
67,North Macedonia,1,0,0,0,1,0,0,2020-03-02,,,,
68,Monaco,1,0,0,0,1,0,0,2020-03-02,,,,
69,Morocco,1,1,0,0,1,0,0,2020-03-02,,,,
70,Nepal,1,0,0,0,0,1,0,2020-03-02,,,,
71,New Zealand,1,0,0,0,1,0,0,2020-03-02,,,,
72,Nigeria,1,0,0,0,1,0,0,2020-03-02,,,,
73,Saudi Arabia,1,1,0,0,1,0,0,2020-03-02,,,,
74,Senegal,1,1,0,0,1,0,0,2020-03-02,,,,
75,Sri Lanka,1,0,0,0,0,1,0,2020-03-02,,,,
76,Tunisia,1,1,0,0,1,0,0,2020-03-02,,,,
77,Total:,90308,1718,3087,36,41495,45726,7398,2020-03-02,,,,
